wavelength (nm)	buffer (mdeg)	5C before (mdeg)	95C (mdeg)	5C after (mdeg)
250	0.697382	0.695806	0.400345	
249	0.713596	0.695249	0.355498	0.399732
248	0.718023	0.677222	0.315952	0.405042
247	0.718747	0.656251	0.266737	0.35604
246	0.701159	0.600162	0.231062	0.338384
245	0.706091	0.571273	0.236811	0.314004
244	0.687146	0.543044	0.227204	0.25006
243	0.637199	0.516804	0.142914	0.138053
242	0.599369	0.416113	0.105037	0.0548172
241	0.619184	0.26446	0.0644221	-0.0199849
240	0.633916	0.123495	0.0674625	-0.148821
239	0.616918	-0.0597036	-0.0332254	-0.314706
238	0.630955	-0.277388	-0.122312	-0.57899
237	0.66792	-0.567843	-0.237585	-0.856438
236	0.634152	-0.897831	-0.286285	-1.12633
235	0.597171	-1.20468	-0.346287	-1.46212
234	0.586232	-1.5896	-0.40804	-1.85124
233	0.594335	-2.01314	-0.499219	-2.29458
232	0.603219	-2.57807	-0.590985	-2.79667
231	0.58478	-3.13644	-0.682168	-3.29768
230	0.563674	-3.66212	-0.828211	-3.82872
229	0.508501	-4.23106	-0.93437	-4.33892
228	0.483932	-4.75439	-1.01841	-4.90544
227	0.520179	-5.2338	-1.06378	-5.44164
226	0.527666	-5.72356	-1.1842	-5.89659
225	0.585336	-6.16464	-1.31699	-6.29618
224	0.528515	-6.49054	-1.42098	-6.6169
223	0.497519	-6.73969	-1.55468	-6.84546
222	0.42223	-6.94712	-1.6235	-7.0124
221	0.432597	-7.01231	-1.64921	-7.13339
220	0.456707	-7.05629	-1.61001	-7.19724
219	0.472049	-7.01082	-1.66975	-7.18574
218	0.465439	-6.94402	-1.7737	-7.14571
217	0.424146	-6.8331	-1.83434	-6.99756
216	0.389406	-6.69624	-1.89336	-6.77366
215	0.4668	-6.53448	-1.89916	-6.64197
214	0.458267	-6.36455	-1.95959	-6.54409
213	0.464358	-6.24998	-1.95115	-6.42264
212	0.468728	-6.25973	-2.13055	-6.33808
211	0.484362	-6.22069	-2.24183	-6.29284
210	0.477318	-6.30147	-2.30886	-6.413
209	0.481643	-6.31277	-2.44484	-6.62628
208	0.515307	-6.35573	-2.71907	-6.61155
207	0.441683	-6.22462	-2.94788	-6.45606
206	0.399802	-5.69603	-3.0848	-6.07515
205	0.378978	-4.99119	-3.28925	-5.57542
204	0.297593	-4.23641	-3.38895	-4.82565
203	0.237597	-3.41101	-3.34515	-3.85262
202	0.294179	-2.23433	-3.22298	-2.59137
201	0.395477	-0.72473	-3.28505	-1.37955
200	0.580864	1.02016	-3.22933	0.342569
199	0.645897	3.06285	-3.09418	2.40674
198	0.620531	5.36891	-2.84743	4.58689
197	0.708839	7.68298	-2.11533	7.00832
196	0.642993	9.82364	-1.52538	9.14753
195	0.710778	11.6779	-1.08343	11.1835
194	0.772577	13.4936	-0.682565	12.6165
193	0.757012	14.7305	-0.182757	13.7956
192	0.73142	15.3966	0.417515	14.4914
191	0.678981	15.9108	1.00216	14.6993
190	0.524197	16.0403	0.757232	14.3712
189	0.578072	15.7955	1.02982	14.4286
188	0.700777	15.2845	1.39127	13.9841
187	0.812112	14.8657	1.67002	13.6601
186	0.717638	13.5699	2.27274	12.9027
185	0.746733	12.4406	1.87463	11.6128
