wavelength (nm)	buffer (mdeg)	5C before (mdeg)	95C (mdeg)	5C after (mdeg)
250	0.718678	0.817247	0.410402	0.571255
249	0.749103	0.790012	0.41198	0.513265
248	0.730485	0.807586	0.37019	0.496159
247	0.719	0.782493	0.286251	0.45946
246	0.748549	0.716266	0.288679	0.426901
245	0.74533	0.662821	0.209769	0.359333
244	0.743675	0.554201	0.12743	0.295691
243	0.723261	0.428178	0.0518705	0.181917
242	0.675515	0.317909	-0.0817032	0.0908966
241	0.593853	0.188053	-0.190288	-0.0275468
240	0.579621	-0.0286006	-0.354906	-0.128927
239	0.599481	-0.240344	-0.431251	-0.283335
238	0.599487	-0.495637	-0.608772	-0.573677
237	0.600246	-0.817472	-0.770537	-0.874687
236	0.595188	-1.25152	-0.944157	-1.2413
235	0.583955	-1.72397	-1.12096	-1.61055
234	0.557639	-2.25059	-1.30728	-1.98338
233	0.565054	-2.81137	-1.47436	-2.40329
232	0.560989	-3.42604	-1.71131	-2.90348
231	0.518458	-4.10185	-1.88595	-3.44906
230	0.471263	-4.74656	-2.11602	-3.94229
229	0.487451	-5.36203	-2.2589	-4.45395
228	0.580664	-5.97546	-2.38561	-4.93744
227	0.601651	-6.59156	-2.48032	-5.40647
226	0.5777	-7.14538	-2.53921	-5.88543
225	0.524253	-7.63202	-2.70021	-6.23806
224	0.501416	-8.06562	-2.82903	-6.5025
223	0.477917	-8.40645	-2.97715	-6.74575
222	0.433315	-8.64706	-3.04884	-6.92267
221	0.306744	-8.76354	-3.16252	-6.99235
220	0.445908	-8.83587	-3.19486	-6.96834
219	0.462158	-8.84602	-3.23798	-6.99642
218	0.485865	-8.80828	-3.29145	-7.08331
217	0.455052	-8.67205	-3.42543	-7.23585
216	0.517587	-8.51387	-3.52175	-7.28451
215	0.53226	-8.24606	-3.65349	-7.14862
214	0.536583	-7.94691	-3.69683	-6.89356
213	0.54433	-7.55047	-3.80312	-6.62177
212	0.561911	-7.08437	-3.80865	-6.47813
211	0.522078	-6.63812	-3.87223	-6.34453
210	0.460942	-6.20075	-4.11497	-6.29496
209	0.400809	-5.61373	-4.31465	-6.20246
208	0.367325	-4.74904	-4.6288	-6.02495
207	0.397291	-3.60015	-4.80998	-5.61074
206	0.443642	-2.17968	-5.38278	-4.87869
205	0.60611	-0.543015	-5.63635	-3.88501
204	0.590864	1.35818	-5.70754	-2.71952
203	0.570947	3.54018	-5.75002	-1.31493
202	0.587461	5.91077	-5.75937	0.193399
201	0.585047	8.48539	-5.56398	2.11294
200	0.629622	11.2948	-5.26947	3.81058
199	0.557651	13.7196	-4.43557	5.81504
198	0.627678	16.2474	-3.71297	8.15444
197	0.608549	18.1144	-3.26801	10.6328
196	0.717061	19.6851	-2.55109	12.3336
195	0.753792	20.6886	-1.84558	13.3869
194	0.876885	20.9047	-0.994164	14.0234
193	0.873184	20.5808	-0.149183	14.6363
192	0.898994	19.437	0.652902	14.6624
191	1.05187	19.0829	2.18487	14.0888
190	0.916745	18.3161	2.17123	13.2276
189	0.734673	16.8395	2.46983	12.0012
188	0.505451	13.5407	0.244459	10.801
187	0.64525	12.1389	3.00623	9.28547
186	1.13679	10.8485	2.63553	7.17331
185	1.29615	10.5523	2.82272	4.81685
