1000nM	1000nM	1000nM	1000nM	1000nM	1000nM	300nM	300nM	300nM	300nM	300nM	300nM	100nM	100nM	100nM	100nM	100nM	100nM	30nM	30nM	30nM	30nM	30nM	30nM	10nM	10nM	10nM	10nM	10nM	10nM	3nM	3nM	3nM	3nM	3nM	3nM	50%seeds	50%seeds	50%seeds	50%seeds	50%seeds	50%seeds
241019_tauJB6elongation50percSeeds: B07 X	241019_tauJB6elongation50percSeeds: B07 Y	241019_tauJB6elongation50percSeeds: B08 X	241019_tauJB6elongation50percSeeds: B08 Y	241019_tauJB6elongation50percSeeds: B09 X	241019_tauJB6elongation50percSeeds: B09 Y	241019_tauJB6elongation50percSeeds: B04 X	241019_tauJB6elongation50percSeeds: B04 Y	241019_tauJB6elongation50percSeeds: B05 X	241019_tauJB6elongation50percSeeds: B05 Y	241019_tauJB6elongation50percSeeds: B06 X	241019_tauJB6elongation50percSeeds: B06 Y	241019_tauJB6elongation50percSeeds: B01 X	241019_tauJB6elongation50percSeeds: B01 Y	241019_tauJB6elongation50percSeeds: B02 X	241019_tauJB6elongation50percSeeds: B02 Y	241019_tauJB6elongation50percSeeds: B03 X	241019_tauJB6elongation50percSeeds: B03 Y	241019_tauJB6elongation50percSeeds: A10 X	241019_tauJB6elongation50percSeeds: A10 Y	241019_tauJB6elongation50percSeeds: A11 X	241019_tauJB6elongation50percSeeds: A11 Y	241019_tauJB6elongation50percSeeds: A12 X	241019_tauJB6elongation50percSeeds: A12 Y	241019_tauJB6elongation50percSeeds: A07 X	241019_tauJB6elongation50percSeeds: A07 Y	241019_tauJB6elongation50percSeeds: A08 X	241019_tauJB6elongation50percSeeds: A08 Y	241019_tauJB6elongation50percSeeds: A09 X	241019_tauJB6elongation50percSeeds: A09 Y	241019_tauJB6elongation50percSeeds: A04 X	241019_tauJB6elongation50percSeeds: A04 Y	241019_tauJB6elongation50percSeeds: A05 X	241019_tauJB6elongation50percSeeds: A05 Y	241019_tauJB6elongation50percSeeds: A06 X	241019_tauJB6elongation50percSeeds: A06 Y	241019_tauJB6elongation50percSeeds: A01 X	241019_tauJB6elongation50percSeeds: A01 Y	241019_tauJB6elongation50percSeeds: A02 X	241019_tauJB6elongation50percSeeds: A02 Y	241019_tauJB6elongation50percSeeds: A03 X	241019_tauJB6elongation50percSeeds: A03 Y
0.0	0.5	522.0	0.5	630.0	0.49999999999999994	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5	0.0	0.5
18.0	0.49111824873616305	540.0	0.4956714075948139	648.0	0.5018210422369157	18.0	0.5076998460030799	18.0	0.5061208875286917	18.0	0.5037509172697687	18.0	0.4981053388767336	18.0	0.49396435569497044	18.0	0.4946318457414077	18.0	0.5020323013984266	18.0	0.5021321835918156	18.0	0.4998356544722285	18.0	0.5019396109588019	18.0	0.5026243893247917	18.0	0.49458529624489317	18.0	0.49891357956563875	18.0	0.5024614224184685	18.0	0.49699291798012935	18.0	0.5105613335116298	18.0	0.4940969213303507	18.0	0.502800938446085
36.0	0.493347749563616	558.0	0.4992350332387387	666.0	0.5021401939691587	36.0	0.5121979041900644	36.0	0.5073960724305024	36.0	0.5024415061501404	36.0	0.5037572093461385	36.0	0.5038997913027216	36.0	0.4970846296511453	36.0	0.5036581425171679	36.0	0.4998526140374321	36.0	0.4971867912599115	36.0	0.5024245136985024	36.0	0.5087383512682626	36.0	0.5034110678890474	36.0	0.5064667882997692	36.0	0.505965820437983	36.0	0.4989236013224327	36.0	0.5102884308369107	36.0	0.4953984536117101	36.0	0.5098866980886888
54.0	0.481547708598804	576.0	0.4904472443471755	684.0	0.5115457832546717	54.0	0.5132608458941932	54.0	0.49973154002067144	54.0	0.49900430196111595	54.0	0.5068293434838643	54.0	0.49846983665506295	54.0	0.49434138448893883	54.0	0.5065846565309021	54.0	0.5079097133244771	54.0	0.5066704949507254	54.0	0.5052873048732726	54.0	0.5103437469358092	54.0	0.5039974978986258	54.0	0.5054838364782044	54.0	0.5012849459404887	54.0	0.5006919705784362	54.0	0.5150096471095513	54.0	0.5014946628779482	54.0	0.5077794089756468
72.0	0.484592880460691	594.0	0.499869395918809	702.0	0.508898701240186	72.0	0.5128590020792176	72.0	0.4986174311064578	72.0	0.5047193359103271	72.0	0.5043031286528424	72.0	0.5025927767789211	72.0	0.4932978755448838	72.0	0.5055685058316889	72.0	0.5103268431105906	72.0	0.5052203873527416	72.0	0.5074507170965515	72.0	0.5120837266712938	72.0	0.5100475008307759	72.0	0.510398595586029	72.0	0.5098373458690657	72.0	0.49926531518832706	72.0	0.5127309097756467	72.0	0.505458038599249	72.0	0.5112564360121661
90.0	0.48210961531141416	612.0	0.493469795940452	720.0	0.5078849251495319	90.0	0.5099294310410089	90.0	0.5047920106310152	90.0	0.5008047422506049	90.0	0.5118710688457767	90.0	0.49917116152149243	90.0	0.49884891281428984	90.0	0.508555988887376	90.0	0.5139525377897608	90.0	0.5088746584996606	90.0	0.5126820716537048	90.0	0.5114973246609923	90.0	0.5026291612096097	90.0	0.503224771765485	90.0	0.5050730333234876	90.0	0.5022040544350188	90.0	0.5198127341846077	90.0	0.5057099480730605	90.0	0.5128105617330345
108.0	0.48229087554128836	630.0	0.4918092583367384	738.0	0.5151127732032695	108.0	0.5053795220391889	108.0	0.4988590450878535	108.0	0.492470886062137	108.0	0.5067330047826814	108.0	0.5068007259774981	108.0	0.5063471162576542	108.0	0.5086372809433131	108.0	0.5142473097148966	108.0	0.5167149069127596	108.0	0.5165239933605625	108.0	0.5223217289822945	108.0	0.5151689895810935	108.0	0.51176955470558	108.0	0.5114477001970806	108.0	0.5063473350589883	108.0	0.5293916180672487	108.0	0.5066756010560045	108.0	0.5158485702043368
126.0	0.47540298680606785	648.0	0.49929100641639196	756.0	0.49680848267757033	126.0	0.5075572562622822	126.0	0.502751714788118	126.0	0.4962354430310685	126.0	0.5078355476962205	126.0	0.5070345009329746	126.0	0.5018503457564687	126.0	0.5201096223374311	126.0	0.5154951775313048	126.0	0.5140660437004426	126.0	0.52220295044667	126.0	0.5268687478490582	126.0	0.5141916062317963	126.0	0.5132094929003287	126.0	0.5143680318800095	126.0	0.5128057271243924	126.0	0.5329120625711252	126.0	0.5110840168477057	126.0	0.5177012285495529
144.0	0.47870192298977876	666.0	0.49205180877323584	774.0	0.5240114744434556	144.0	0.5161774542286932	144.0	0.5020134498449643	144.0	0.5007774628522793	144.0	0.5113144452389414	144.0	0.5054618330506782	144.0	0.5023129321955858	144.0	0.5154556521350342	144.0	0.5194844242514758	144.0	0.5188900683097353	144.0	0.5166265689401145	144.0	0.5312138906139149	144.0	0.5209844205094122	144.0	0.5188140427601288	144.0	0.5228703689797363	144.0	0.5109177580153259	144.0	0.5421771083778392	144.0	0.5168863317278303	144.0	0.5194134009538995
