time/h	3 uM CTD	3 uM CTD	3 uM CTD	3 uM CTD	750 nM CTD	750 nM CTD	750 nM CTD	750 nM CTD	187 nM CTD	187 nM CTD	187 nM CTD	187 nM CTD	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone
0.0000	16773	15973	16492	15875	16173	15982	16283	16743	15387	16042	16441	16346	15727	15512	15748	15973
0.036111	15545	15712	16080	15870	15592	15991	16227	15898	15550	15852	16139	15944	15409	15540	15481	14863
0.072222	15872	15262	15803	15410	15523	15418	15594	16013	14885	15904	15665	15882	14890	14989	15633	14759
0.10833	15150	14763	14986	15072	15388	15483	15634	15477	14889	15143	15393	15496	15031	15240	15066	14875
0.14444	15096	14834	15255	14954	15016	15318	15232	15393	15023	15589	15421	15366	14549	14690	15205	13941
0.18056	14642	14968	14884	14989	15096	15147	15353	15526	14993	14954	15596	15186	14361	14921	15132	14634
0.21667	15143	14336	14714	14651	15110	14767	15123	15294	14858	14861	15424	15349	14801	14906	14955	14373
0.25278	14924	14538	14621	14689	14835	14736	15024	15051	14206	15435	15322	15112	14674	14957	14890	14373
0.28889	14811	14418	14477	14747	14984	15125	14691	15124	14655	14863	14808	14969	14883	14682	14814	14574
0.32500	14619	14484	14759	14232	14835	14945	14888	15005	14561	15179	14750	14886	14385	14884	15194	14282
0.36111	14351	14184	14678	14272	14575	14732	14849	14826	14327	15318	14787	14909	14817	14848	15077	14491
0.39722	14901	14278	14485	14445	14732	14947	14739	15192	14234	15227	15227	14986	14281	14795	15253	14470
0.43333	14391	14151	14592	14536	14414	14795	14790	15193	14638	14762	14956	15046	14237	14891	14881	14489
0.46944	14523	14519	14748	14454	14517	14846	15115	15371	14492	14686	14575	14947	14482	15022	15068	14571
0.50556	14761	14375	14526	14118	14712	14710	14945	14880	14513	14906	14854	14936	14538	14876	14909	14584
0.54167	14801	14083	14962	14378	14483	14211	14700	15042	14057	15012	14890	14916	14700	15014	15273	14404
0.57778	14513	14470	14752	14526	14390	14800	14910	14691	14482	15169	14702	15208	14894	15062	15245	15075
0.61389	14643	14566	14263	13985	14569	14842	14278	15040	14779	14738	14677	14927	15239	15329	15250	15094
0.65000	14137	14564	14613	14272	14850	14710	14952	15189	14298	15158	14950	15222	15716	15562	15968	15692
0.68611	14739	14081	14665	14711	14834	14761	14760	14686	14730	15123	14692	14854	15963	15778	15941	15599
