wavenumber (1/cm)	full-length (a.u.)	NTD (a.u.)	CTD (a.u.)
1599.66	2.30E-05	0.00E+00	0.00E+00
1600.15	0.00E+00	1.79E-06	1.21E-05
1600.63	1.78E-05	2.99E-06	1.14E-04
1601.11	7.42E-05	5.80E-06	2.22E-04
1601.59	1.52E-04	1.18E-05	3.33E-04
1602.07	2.36E-04	1.96E-05	4.41E-04
1602.56	3.16E-04	2.73E-05	5.44E-04
1603.04	3.97E-04	3.22E-05	6.44E-04
1603.52	4.94E-04	3.53E-05	7.47E-04
1604	6.23E-04	3.86E-05	8.59E-04
1604.48	7.89E-04	4.62E-05	9.83E-04
1604.97	9.87E-04	6.06E-05	1.12E-03
1605.45	1.20E-03	8.14E-05	1.27E-03
1605.93	1.42E-03	1.05E-04	1.42E-03
1606.41	1.64E-03	1.27E-04	1.57E-03
1606.9	1.87E-03	1.44E-04	1.72E-03
1607.38	2.15E-03	1.58E-04	1.88E-03
1607.86	2.50E-03	1.73E-04	2.04E-03
1608.34	2.92E-03	1.93E-04	2.21E-03
1608.82	3.41E-03	2.22E-04	2.39E-03
1609.31	3.95E-03	2.58E-04	2.56E-03
1609.79	4.50E-03	2.96E-04	2.74E-03
1610.27	5.07E-03	3.29E-04	2.91E-03
1610.75	5.67E-03	3.50E-04	3.08E-03
1611.23	6.30E-03	3.61E-04	3.27E-03
1611.72	6.99E-03	3.68E-04	3.47E-03
1612.2	7.72E-03	3.80E-04	3.69E-03
1612.68	8.48E-03	4.04E-04	3.92E-03
1613.16	9.22E-03	4.44E-04	4.16E-03
1613.65	9.95E-03	4.94E-04	4.39E-03
1614.13	1.06E-02	5.48E-04	4.61E-03
1614.61	1.14E-02	5.90E-04	4.83E-03
1615.09	1.22E-02	6.06E-04	5.06E-03
1615.57	1.32E-02	5.86E-04	5.31E-03
1616.06	1.44E-02	5.29E-04	5.60E-03
1616.54	1.59E-02	4.48E-04	5.91E-03
1617.02	1.76E-02	3.67E-04	6.25E-03
