"time (h)"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"
0.00000000000000	0.3763	0.3875	0.3911	0.3917	0.3986			0.3618	0.3745	0.3750	0.3774	0.3760			0.403	0.410	0.416	0.423	0.425			0.4390	0.4594	0.4626	0.4622	0.4669			0.5912	0.6257	0.6188	0.6256	0.6357	0.6529	0.6613
0.22166666666667	0.3599	0.3737	0.3754	0.3746	0.3810			0.3466	0.3566	0.3540	0.3590	0.3570			0.386	0.393	0.397	0.405	0.404			0.4399	0.4596	0.4644	0.4618	0.4650			0.6203	0.6622	0.6563	0.6710	0.6821	0.7057	0.7134
0.44333333333333	0.3588	0.3682	0.3712	0.3704	0.3773			0.3430	0.3520	0.3532	0.3506	0.3535			0.386	0.391	0.397	0.404	0.403			0.4610	0.4648	0.4655	0.4694	0.4624			0.6685	0.7172	0.7100	0.7284	0.7397	0.7652	0.7786
0.66500000000000	0.3594	0.3691	0.3723	0.3729	0.3768			0.3396	0.3514	0.3510	0.3527	0.3543			0.392	0.395	0.400	0.409	0.410			0.4691	0.4774	0.4912	0.4802	0.4875			0.7176	0.7781	0.7685	0.7837	0.8010	0.8324	0.8463
0.88666666666667	0.3605	0.3712	0.3766	0.3756	0.3796			0.3452	0.3540	0.3508	0.3538	0.3568			0.398	0.395	0.411	0.414	0.416			0.4892	0.5035	0.5097	0.5051	0.5101			0.7649	0.8268	0.8208	0.8436	0.8546	0.8866	0.9049
1.10833333333333	0.3598	0.3740	0.3780	0.3773	0.3798			0.3480	0.3514	0.3552	0.3542	0.3574			0.402	0.400	0.417	0.422	0.424			0.5056	0.5195	0.5362	0.5243	0.5380			0.8035	0.8726	0.8690	0.8909	0.9008	0.9382	0.9602
1.33000000000000	0.3638	0.3750	0.3799	0.3758	0.3837			0.3509	0.3563	0.3548	0.3554	0.3601			0.407	0.405	0.419	0.434	0.431			0.5210	0.5421	0.5584	0.5457	0.5609			0.8451	0.9128	0.9108	0.9290	0.9488	0.9856	1.0123
1.55166666666667	0.3627	0.3773	0.3770	0.3772	0.3816			0.3466	0.3554	0.3578	0.3629	0.3618			0.412	0.410	0.418	0.442	0.433			0.5385	0.5626	0.5838	0.5565	0.5798			0.8825	0.9495	0.9533	0.9752	0.9946	1.0303	1.0603
1.77333333333333	0.3655	0.3775	0.3787	0.3789	0.3829			0.3472	0.3587	0.3596	0.3618	0.3600			0.413	0.409	0.423	0.449	0.427			0.5546	0.5771	0.6098	0.5825	0.6039			0.9171	0.9855	0.9913	1.0105	1.0217	1.0706	1.0955
1.99500000000000	0.3682	0.3783	0.3818	0.3788	0.3849			0.3457	0.3570	0.3595	0.3638	0.3682			0.422	0.411	0.432	0.451	0.425			0.5707	0.5958	0.6257	0.5993	0.6235			0.9438	1.0239	1.0237	1.0544	1.0678	1.1106	1.1394
2.21666666666667	0.3698	0.3818	0.3831	0.3826	0.3862			0.3461	0.3606	0.3582	0.3648	0.3688			0.424	0.417	0.436	0.453	0.431			0.5876	0.6127	0.6444	0.6195	0.6436			0.9795	1.0580	1.0688	1.0946	1.1038	1.1483	1.1805
2.43833333333333	0.3689	0.3815	0.3820	0.3803	0.3895			0.3473	0.3624	0.3608	0.3658	0.3688			0.425	0.422	0.436	0.456	0.443			0.5980	0.6349	0.6694	0.6376	0.6609			1.0070	1.0813	1.0939	1.1209	1.1385	1.1925	1.2270
2.66000000000000	0.3679	0.3853	0.3811	0.3860	0.3889			0.3514	0.3643	0.3646	0.3662	0.3711			0.430	0.426	0.440	0.461	0.450			0.6206	0.6469	0.6878	0.6528	0.6774			1.0440	1.1223	1.1234	1.1626	1.1762	1.2258	1.2808
2.88166666666667	0.3718	0.3855	0.3868	0.3864	0.3902			0.3542	0.3653	0.3669	0.3684	0.3738			0.435	0.423	0.438	0.465	0.459			0.6328	0.6650	0.7083	0.6664	0.7013			1.0708	1.1599	1.1656	1.1912	1.2174	1.2744	1.3255
3.10333333333333	0.3738	0.3843	0.3887	0.3906	0.3922			0.3523	0.3692	0.3668	0.3695	0.3773			0.440	0.428	0.447	0.473	0.467			0.6541	0.6831	0.7285	0.6850	0.7138			1.0899	1.1815	1.1956	1.2385	1.2662	1.3234	1.3808
3.32500000000000	0.3742	0.3860	0.3877	0.3898	0.3956			0.3564	0.3672	0.3696	0.3755	0.3787			0.443	0.433	0.450	0.479	0.474			0.6657	0.6991	0.7530	0.7029	0.7317			1.1246	1.2366	1.2462	1.2880	1.3154	1.3728	1.4408
3.54666666666667	0.3752	0.3879	0.3903	0.3915	0.3936			0.3557	0.3714	0.3727	0.3734	0.3820			0.449	0.434	0.454	0.481	0.485			0.6840	0.7190	0.7789	0.7247	0.7517			1.1608	1.2668	1.2801	1.3298	1.3592	1.4223	1.4829
3.76833333333333	0.3736	0.3879	0.3915	0.3915	0.3934			0.3606	0.3729	0.3724	0.3769	0.3828			0.454	0.440	0.459	0.488	0.499			0.6991	0.7314	0.8001	0.7420	0.7694			1.1903	1.3094	1.3293	1.3855	1.4251	1.4658	1.5533
3.99000000000000	0.3791	0.3903	0.3926	0.3966	0.3946			0.3615	0.3726	0.3724	0.3807	0.3865			0.463	0.442	0.467	0.500	0.509			0.7128	0.7545	0.8211	0.7608	0.7894			1.2258	1.3513	1.3810	1.4371	1.4898	1.5196	1.6098
4.21166666666667	0.3779	0.3916	0.3955	0.3969	0.3979			0.3661	0.3737	0.3774	0.3821	0.3863			0.465	0.450	0.471	0.503	0.522			0.7303	0.7701	0.8442	0.7852	0.8074			1.2738	1.4084	1.4148	1.4941	1.5384	1.5797	1.6726
4.43333333333333	0.3792	0.3963	0.3970	0.3990	0.3984			0.3647	0.3758	0.3764	0.3838	0.3881			0.469	0.452	0.477	0.508	0.534			0.7477	0.7797	0.8738	0.7862	0.8219			1.3156	1.4521	1.4522	1.5396	1.5916	1.6244	1.7126
4.65500000000000	0.3806	0.3962	0.3978	0.3984	0.4022			0.3687	0.3770	0.3762	0.3852	0.3901			0.478	0.458	0.487	0.521	0.548			0.7711	0.8065	0.9157	0.8158	0.8498			1.3752	1.5074	1.5048	1.5923	1.6494	1.6673	1.7928
4.87666666666667	0.3805	0.3993	0.4018	0.3962	0.4050			0.3680	0.3816	0.3822	0.3850	0.3906			0.484	0.468	0.494	0.535	0.566			0.7869	0.8245	0.9546	0.8335	0.8631			1.4105	1.5517	1.5636	1.6507	1.7087	1.7285	1.8527
5.09833333333333	0.3822	0.3974	0.3996	0.4000	0.4014			0.3712	0.3814	0.3834	0.3861	0.3924			0.489	0.475	0.496	0.543	0.583			0.8062	0.8460	0.9922	0.8565	0.8871			1.4729	1.6108	1.6219	1.7038	1.7798	1.7780	1.9202
5.32000000000000	0.3817	0.3980	0.4010	0.4020	0.4058			0.3708	0.3818	0.3814	0.3867	0.3940			0.505	0.485	0.503	0.557	0.602			0.8266	0.8743	1.0343	0.8794	0.9090			1.5256	1.6611	1.6682	1.7612	1.8326	1.8438	1.9745
5.54166666666667	0.3860	0.4004	0.4010	0.4012	0.4059			0.3715	0.3840	0.3856	0.3863	0.3947			0.515	0.497	0.515	0.572	0.632			0.8548	0.8916	1.0813	0.9025	0.9316			1.5743	1.7086	1.7196	1.8228	1.9022	1.8878	2.0358
5.76333333333333	0.3867	0.4035	0.4046	0.3999	0.4066			0.3718	0.3842	0.3855	0.3884	0.3955			0.524	0.508	0.525	0.584	0.661			0.8727	0.9237	1.1334	0.9304	0.9601			1.6373	1.7601	1.7714	1.8903	1.9559	1.9534	2.1018
5.98500000000000	0.3847	0.4003	0.4045	0.4082	0.4106			0.3728	0.3868	0.3888	0.3888	0.3964			0.534	0.518	0.533	0.597	0.692			0.9089	0.9580	1.1955	0.9615	0.9899			1.6884	1.8312	1.8224	1.9316	2.0236	1.9912	2.1514
6.20666666666667	0.3885	0.4034	0.4046	0.4064	0.4107			0.3750	0.3867	0.3871	0.3925	0.4017			0.549	0.529	0.549	0.615	0.728			0.9370	0.9852	1.2462	0.9955	1.0244			1.7464	1.8792	1.8790	1.9970	2.0644	2.0668	2.2111
6.42833333333333	0.3871	0.4031	0.4074	0.4046	0.4108			0.3767	0.3890	0.3909	0.3928	0.3994			0.557	0.540	0.556	0.637	0.768			0.9754	1.0217	1.2983	1.0335	1.0479			1.8110	1.9359	1.9366	2.0451	2.1222	2.1142	2.2686
6.65000000000000	0.3886	0.4078	0.4093	0.4052	0.4117			0.3799	0.3904	0.3898	0.3957	0.4019			0.575	0.564	0.571	0.671	0.821			1.0124	1.0721	1.3763	1.0693	1.0906			1.8736	1.9937	2.0019	2.1109	2.1676	2.1690	2.3121
6.87166666666667	0.3917	0.4106	0.4094	0.4093	0.4133			0.3802	0.3894	0.3928	0.3962	0.4036			0.597	0.579	0.588	0.697	0.861			1.0570	1.1181	1.4255	1.1185	1.1286			1.9184	2.0530	2.0489	2.1585	2.2201	2.2301	2.3656
7.09333333333333	0.3889	0.4090	0.4114	0.4075	0.4184			0.3823	0.3909	0.3930	0.3973	0.4048			0.617	0.599	0.601	0.737	0.922			1.0981	1.1646	1.4973	1.1653	1.1688			1.9786	2.1250	2.1114	2.2215	2.2634	2.2994	2.4026
7.31500000000000	0.3928	0.4141	0.4099	0.4090	0.4178			0.3823	0.3930	0.3904	0.4011	0.4061			0.642	0.629	0.623	0.777	0.971			1.1391	1.2170	1.5694	1.2150	1.2110			2.0368	2.1640	2.1560	2.2730	2.3071	2.3405	2.4585
