"Time (h)"	"Time (h)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"	"Normalized ThT intensity"
0.00000000		3.430000000	3.13	3.99	3.01	2.580000000	2.64	2.70								2.65	2.80	2.65	2.48																																										
0.15000000	0.06382847		3.15	3.25	3.43	2.980000000	2.98	2.10	3.08	2.300000000	2.68	2.84		4.61	4.41	4.31	3.38																																												
0.34165833	0.01667223	3.620000000	4.39	3.61	3.95	3.220000000	3.06			4.500000000	3.50	3.44	3.50			3.20	3.07	3.28	3.60																																										
0.54583250	0.08646831	4.120000000	4.16	3.62	4.00	3.220000000	2.77	2.98		3.670000000	3.74	3.84	4.07	4.42	4.77	3.25	3.35	2.97	3.16																																										
0.76250000	0.08962370	4.630000000	4.51	4.65	4.55	2.930000000	3.22	2.86		3.130000000	2.92	4.68	3.32	4.60	4.69	5.06	4.80	4.32	4.56																																										
1.28888889	0.13877773		6.11	6.23	5.46	4.200000000	4.20			3.890000000	3.63																																																		
1.52777778	0.04811252					3.680000000	3.75			4.420000000	4.49	4.38	4.37	4.43	4.39	3.60	3.51	3.39	4.31																																										
1.86111111	0.12729377	8.420000000		8.83		3.870000000	3.16	3.64	4.40	4.160000000	4.12	5.17	5.05																																																
2.47211111	0.31556833					4.580000000	3.74	4.16	4.13	3.380000000	3.46	3.65	3.34	3.44	3.23	4.06	3.41	4.30	3.58																																										
5.30000000	2.02210012	6.130000000	8.07	7.08		4.210000000	4.23	4.09	4.41	4.140000000	3.96	3.92	4.30							4.380000000	4.000000000	4.180000000	4.700000000	5.090000000	4.820000000	4.290000000	3.940000000																																		
16.33333330	2.88675135	4.750000000	4.39	4.91	5.01	3.080000000	2.85	3.05	3.29	3.370000000	3.19	3.18	3.16																																																
25.11110000	1.98841133	4.110000000	6.04	5.14	5.16											3.58	3.40	3.52	3.79	3.500000000	3.560000000	3.550000000	3.880000000																																						
121.50000000		3.300000000	3.00	3.36	3.59											3.09	3.52	2.83	3.09																																										
																																																													
0.00000000																																0.000000000	0.000000000	0.000000000																											
0.00833333																																0.007662835	-0.008333333	-0.003408316																											
0.01666667																																-0.005108557	-0.009722222	-0.004089980																											
0.02500000																																-0.005747126	-0.006944444	-0.002726653																											
0.03333333																																-0.010217114	-0.013194444	-0.008861622																											
0.04166667																																-0.009578544	-0.012500000	-0.010224949																											
0.05000000																																-0.009578544	-0.015277778	-0.010224949																											
0.05833333																																-0.017241379	-0.012500000	-0.010906612																											
0.06666667																																-0.007024266	-0.015972222	-0.009543286																											
0.07500000																																-0.016602810	-0.014583333	-0.011588275																											
0.08333333																																-0.006385696	-0.013194444	-0.014314928																											
0.09166667																																-0.009578544	-0.014583333	-0.008179959																											
0.10000000																																-0.015964240	-0.025000000	-0.014314928																											
0.10833333																																-0.012771392	-0.017361111	-0.008861622																											
0.11666667																																-0.014048531	-0.022916667	-0.008179959																											
0.12500000																																-0.016602810	-0.019444444	-0.010906612																											
0.14000000																																-0.011494253	-0.020833333	-0.013633265																											
0.14833333																																-0.011494253	-0.016666667	-0.007498296																											
0.15666667																																-0.019157088	-0.011805556	-0.007498296																											
0.16500000																																-0.012132822	-0.016666667	-0.012951602																											
0.17333333																																-0.014048531	-0.018750000	-0.012269939																											
0.18166667																																-0.007662835	-0.012500000	-0.012951602																											
0.19000000																																-0.014048531	-0.020138889	-0.012951602																											
0.19833333																																-0.014687101	-0.018750000	-0.014996592																											
0.20666667																																-0.014048531	-0.021527778	-0.005453306																											
0.21500000																																-0.018518519	-0.018750000	-0.012269939																											
0.22333333																																-0.019157088	-0.015277778	-0.019086571																											
0.23166667																																-0.004469987	-0.014583333	-0.012269939																											
0.24000000																																-0.009578544	-0.016666667	-0.011588275																											
0.24833333																																-0.015325670	-0.015277778	-0.011588275																											
0.25666667																																-0.010217114	-0.020138889	-0.010906612																											
0.26500000																																-0.010217114	-0.013194444	-0.012269939																											
0.27333333																																-0.011494253	-0.020138889	-0.010906612																											
0.28166667																																-0.011494253	-0.018750000	-0.008179959																											
0.29000000																																-0.017241379	-0.013194444	-0.012269939																											
0.29833333																																-0.013409962	-0.018750000	-0.006134969																											
0.30666667																																-0.012771392	-0.016666667	-0.010906612																											
0.31500000																																-0.007024266	-0.015277778	-0.002044990																											
