"[JB6] (nM)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm)"	"MDS (Rh, nm) JB6 alone"	"MDS (Rh, nm) JB6 alone"	"MDS (Rh, nm) JB6 alone"	"MDS (Rh, nm) JB6 alone"	"MDS (Rh, nm) JB6 alone"	"MDS (Rh, nm) JB6 alone"
75.00	5.13	4.97	5.69	5.64	4.83	5.82						
47.90	7.79	7.19	7.78	6.68	6.12	6.19						
30.60	10.70	12.10	9.08	8.82	8.28	8.58						
19.60	11.90	11.30	11.00	8.18	10.20							
12.50	12.70		6.06		8.16	7.19						
8.00	4.51	13.10		8.48	8.52	8.10						
5.10	10.30	10.50	11.70	5.88	9.13	8.76						
3.30		7.35	9.92	6.45	8.28	6.52						
												
												
12.50							3.585					
