"Fraction supernatant"	"Diffused fraction (supernatant)"	"Diffused fraction (supernatant)"	"Diffused fraction (supernatant)"	"Diffused fraction (supernatant)"	"Diffused fraction (JB6 alone)"	"Diffused fraction (JB6 alone)"	"Diffused fraction (JB6 alone)"	"Diffused fraction (JB6 alone)"
0.00014250	0.415800416							
0.00021134	0.438333333							
0.00030644	0.437919463							
0.00044433	0.428057554							
0.00064428	0.427046263							
0.00093420	0.428312160							
0.00135460	0.428330523							
0.00196416	0.406304729							
0.00284804	0.400343643							
0.00412965	0.397569444							
0.00598799	0.350584307							
0.00868259	0.319008264							
0.01258975	0.327848101							
0.01825514	0.289367429							
0.02646995	0.274556213							
0.11701058	0.229651163							
0.24601476	0.232832618							
0.35672140	0.295138889							
0.51724603	0.338770389							
0.75000674	0.221945137							
								
								
								
0.00000000					0.412780656	0.427710843	0.425233645	0.428143713
								
								
								
0.00032668	0.442136499							
0.00045735	0.429090909							
0.00064029	0.422370618							
0.00089640	0.425269646							
0.00125497	0.416139241							
0.00175695	0.399676375							
0.00245973	0.408094435							
0.00344363	0.353612167							
0.00482107	0.343328336							
0.00674950	0.376329787							
0.00944930	0.312412831							
0.01322902	0.237960340							
0.01852063	0.268261965							
0.02592887	0.263888889							
0.03630043	0.298026999							
