(ppm)	"Intensity (a.u.) (without JB6)"	"Intensity (a.u.) (With JB6)"
8.98701851104037	-3.10e+007	-1.02e+007
8.98677402717754	-3.46e+007	-6202368.00
8.98652954331471	-3.83e+007	-6575104.00
8.98628505945188	-4.00e+007	-9973760.00
8.98604057558905	-3.87e+007	-1.32e+007
8.98579609172622	-3.60e+007	-1.32e+007
8.98555160786339	-3.41e+007	-9220096.00
8.98530712400055	-3.41e+007	-3843072.00
8.98506264013772	-3.50e+007	-1018880.00
8.98481815627489	-3.55e+007	-2668544.00
8.98457367241206	-3.49e+007	-7534592.00
8.98432918854923	-3.29e+007	-1.36e+007
8.98408470468640	-2.85e+007	-2.04e+007
8.98384022082357	-2.14e+007	-2.82e+007
8.98359573696074	-1.27e+007	-3.59e+007
8.98335125309791	-4771328.00	-4.14e+007
8.98310676923508	817152.00	-4.39e+007
8.98286228537225	3833856.00	-4.35e+007
8.98261780150942	4652544.00	-4.06e+007
8.98237331764659	3365888.00	-3.53e+007
8.98212883378376	95744.00	-2.87e+007
8.98188434992093	-4403712.00	-2.33e+007
8.98163986605810	-8897536.00	-2.10e+007
8.98139538219527	-1.23e+007	-2.15e+007
8.98115089833244	-1.42e+007	-2.33e+007
8.98090641446961	-1.49e+007	-2.53e+007
8.98066193060678	-1.46e+007	-2.76e+007
8.98041744674395	-1.29e+007	-3.06e+007
8.98017296288112	-8347136.00	-3.51e+007
8.97992847901829	117760.00	-4.04e+007
8.97968399515546	1.05e+007	-4.37e+007
8.97943951129263	1.85e+007	-4.18e+007
8.97919502742980	2.13e+007	-3.44e+007
8.97895054356697	1.99e+007	-2.51e+007
8.97870605970414	1.68e+007	-1.78e+007
8.97846157584131	1.36e+007	-1.34e+007
8.97821709197848	1.07e+007	-1.00e+007
8.97797260811565	9783808.00	-6541312.00
8.97772812425282	1.31e+007	-3971072.00
8.97748364038999	2.06e+007	-3876864.00
8.97723915652716	2.94e+007	-6419456.00
8.97699467266433	3.61e+007	-1.06e+007
8.97675018880149	3.96e+007	-1.57e+007
8.97650570493866	4.00e+007	-2.13e+007
8.97626122107583	3.73e+007	-2.68e+007
8.97601673721300	3.13e+007	-3.08e+007
8.97577225335017	2.36e+007	-3.19e+007
8.97552776948734	1.67e+007	-2.98e+007
8.97528328562451	1.25e+007	-2.63e+007
8.97503880176168	1.05e+007	-2.42e+007
8.97479431789885	8647680.00	-2.41e+007
8.97454983403602	4660736.00	-2.45e+007
8.97430535017319	-2112000.00	-2.34e+007
8.97406086631036	-1.03e+007	-2.07e+007
8.97381638244753	-1.72e+007	-1.83e+007
8.97357189858470	-2.13e+007	-1.77e+007
8.97332741472187	-2.27e+007	-1.92e+007
8.97308293085904	-2.30e+007	-2.20e+007
8.97283844699621	-2.40e+007	-2.45e+007
8.97259396313338	-2.65e+007	-2.49e+007
8.97234947927055	-3.05e+007	-2.29e+007
8.97210499540772	-3.53e+007	-1.95e+007
8.97186051154489	-3.97e+007	-1.59e+007
8.97161602768206	-4.28e+007	-1.17e+007
8.97137154381923	-4.47e+007	-6093824.00
8.97112705995640	-4.56e+007	-307200.00
8.97088257609357	-4.52e+007	3113984.00
8.97063809223074	-4.35e+007	3394560.00
8.97039360836791	-4.06e+007	2279424.00
8.97014912450508	-3.73e+007	1388544.00
8.96990464064225	-3.42e+007	659456.00
8.96966015677942	-3.11e+007	-29696.00
8.96941567291659	-2.82e+007	260096.00
8.96917118905376	-2.62e+007	1606656.00
8.96892670519093	-2.57e+007	1862656.00
8.96868222132810	-2.69e+007	-889856.00
8.96843773746526	-2.84e+007	-5496832.00
8.96819325360243	-2.84e+007	-9168896.00
8.96794876973960	-2.63e+007	-1.10e+007
8.96770428587677	-2.33e+007	-1.20e+007
8.96745980201394	-2.11e+007	-1.28e+007
8.96721531815111	-2.02e+007	-1.27e+007
8.96697083428828	-1.93e+007	-1.20e+007
8.96672635042545	-1.74e+007	-1.19e+007
8.96648186656262	-1.54e+007	-1.26e+007
8.96623738269979	-1.50e+007	-1.20e+007
8.96599289883696	-1.69e+007	-8884224.00
8.96574841497413	-2.01e+007	-5435392.00
8.96550393111130	-2.29e+007	-3971072.00
8.96525944724847	-2.47e+007	-3762176.00
8.96501496338564	-2.60e+007	-2139136.00
8.96477047952281	-2.77e+007	1489920.00
8.96452599565998	-3.03e+007	4567040.00
8.96428151179715	-3.30e+007	4548608.00
8.96403702793432	-3.47e+007	1765376.00
8.96379254407149	-3.49e+007	-1336320.00
8.96354806020866	-3.36e+007	-2935808.00
8.96330357634583	-3.12e+007	-3154944.00
8.96305909248300	-2.77e+007	-3342336.00
