"time (days)"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 1000 nM JB6"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 300 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 150 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 50 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"	"Fluoresence intensity (a.u.) 0 nM"
0.000	0.376	0.388	0.391	0.392	0.399			0.362	0.375	0.375	0.377	0.376			0.403	0.410	0.416	0.423	0.425			0.439	0.459	0.463	0.462	0.467			0.591	0.626	0.619	0.626	0.636	0.653	0.661
0.009	0.360	0.374	0.375	0.375	0.381			0.347	0.357	0.354	0.359	0.357			0.386	0.393	0.397	0.405	0.404			0.440	0.460	0.464	0.462	0.465			0.620	0.662	0.656	0.671	0.682	0.706	0.713
0.018	0.359	0.368	0.371	0.370	0.377			0.343	0.352	0.353	0.351	0.354			0.386	0.391	0.397	0.404	0.403			0.461	0.465	0.466	0.469	0.462			0.669	0.717	0.710	0.728	0.740	0.765	0.779
0.028	0.359	0.369	0.372	0.373	0.377			0.340	0.351	0.351	0.353	0.354			0.392	0.395	0.400	0.409	0.410			0.469	0.477	0.491	0.480	0.488			0.718	0.778	0.769	0.784	0.801	0.832	0.846
0.037	0.361	0.371	0.377	0.376	0.380			0.345	0.354	0.351	0.354	0.357			0.398	0.395	0.411	0.414	0.416			0.489	0.504	0.510	0.505	0.510			0.765	0.827	0.821	0.844	0.855	0.887	0.905
0.046	0.360	0.374	0.378	0.377	0.380			0.348	0.351	0.355	0.354	0.357			0.402	0.400	0.417	0.422	0.424			0.506	0.520	0.536	0.524	0.538			0.804	0.873	0.869	0.891	0.901	0.938	0.960
0.055	0.364	0.375	0.380	0.376	0.384			0.351	0.356	0.355	0.355	0.360			0.407	0.405	0.419	0.434	0.431			0.521	0.542	0.558	0.546	0.561			0.845	0.913	0.911	0.929	0.949	0.986	1.012
0.065	0.363	0.377	0.377	0.377	0.382			0.347	0.355	0.358	0.363	0.362			0.412	0.410	0.418	0.442	0.433			0.539	0.563	0.584	0.557	0.580			0.883	0.950	0.953	0.975	0.995	1.030	1.060
0.074	0.366	0.378	0.379	0.379	0.383			0.347	0.359	0.360	0.362	0.360			0.413	0.409	0.423	0.449	0.427			0.555	0.577	0.610	0.583	0.604			0.917	0.986	0.991	1.011	1.022	1.071	1.096
0.083	0.368	0.378	0.382	0.379	0.385			0.346	0.357	0.360	0.364	0.368			0.422	0.411	0.432	0.451	0.425			0.571	0.596	0.626	0.599	0.624			0.944	1.024	1.024	1.054	1.068	1.111	1.139
0.092	0.370	0.382	0.383	0.383	0.386			0.346	0.361	0.358	0.365	0.369			0.424	0.417	0.436	0.453	0.431			0.588	0.613	0.644	0.620	0.644			0.980	1.058	1.069	1.095	1.104	1.148	1.181
0.102	0.369	0.382	0.382	0.380	0.390			0.347	0.362	0.361	0.366	0.369			0.425	0.422	0.436	0.456	0.443			0.598	0.635	0.669	0.638	0.661			1.007	1.081	1.094	1.121	1.139	1.193	1.227
0.111	0.368	0.385	0.381	0.386	0.389			0.351	0.364	0.365	0.366	0.371			0.430	0.426	0.440	0.461	0.450			0.621	0.647	0.688	0.653	0.677			1.044	1.122	1.123	1.163	1.176	1.226	1.281
0.120	0.372	0.386	0.387	0.386	0.390			0.354	0.365	0.367	0.368	0.374			0.435	0.423	0.438	0.465	0.459			0.633	0.665	0.708	0.666	0.701			1.071	1.160	1.166	1.191	1.217	1.274	1.326
0.129	0.374	0.384	0.389	0.391	0.392			0.352	0.369	0.367	0.370	0.377			0.440	0.428	0.447	0.473	0.467			0.654	0.683	0.729	0.685	0.714			1.090	1.182	1.196	1.239	1.266	1.323	1.381
0.139	0.374	0.386	0.388	0.390	0.396			0.356	0.367	0.370	0.376	0.379			0.443	0.433	0.450	0.479	0.474			0.666	0.699	0.753	0.703	0.732			1.125	1.237	1.246	1.288	1.315	1.373	1.441
0.148	0.375	0.388	0.390	0.392	0.394			0.356	0.371	0.373	0.373	0.382			0.449	0.434	0.454	0.481	0.485			0.684	0.719	0.779	0.725	0.752			1.161	1.267	1.280	1.330	1.359	1.422	1.483
0.157	0.374	0.388	0.392	0.392	0.393			0.361	0.373	0.372	0.377	0.383			0.454	0.440	0.459	0.488	0.499			0.699	0.731	0.800	0.742	0.769			1.190	1.309	1.329	1.386	1.425	1.466	1.553
0.166	0.379	0.390	0.393	0.397	0.395			0.362	0.373	0.372	0.381	0.387			0.463	0.442	0.467	0.500	0.509			0.713	0.755	0.821	0.761	0.789			1.226	1.351	1.381	1.437	1.490	1.520	1.610
0.175	0.378	0.392	0.396	0.397	0.398			0.366	0.374	0.377	0.382	0.386			0.465	0.450	0.471	0.503	0.522			0.730	0.770	0.844	0.785	0.807			1.274	1.408	1.415	1.494	1.538	1.580	1.673
0.185	0.379	0.396	0.397	0.399	0.398			0.365	0.376	0.376	0.384	0.388			0.469	0.452	0.477	0.508	0.534			0.748	0.780	0.874	0.786	0.822			1.316	1.452	1.452	1.540	1.592	1.624	1.713
0.194	0.381	0.396	0.398	0.398	0.402			0.369	0.377	0.376	0.385	0.390			0.478	0.458	0.487	0.521	0.548			0.771	0.807	0.916	0.816	0.850			1.375	1.507	1.505	1.592	1.649	1.667	1.793
0.203	0.381	0.399	0.402	0.396	0.405			0.368	0.382	0.382	0.385	0.391			0.484	0.468	0.494	0.535	0.566			0.787	0.825	0.955	0.834	0.863			1.411	1.552	1.564	1.651	1.709	1.729	1.853
0.212	0.382	0.397	0.400	0.400	0.401			0.371	0.381	0.383	0.386	0.392			0.489	0.475	0.496	0.543	0.583			0.806	0.846	0.992	0.857	0.887			1.473	1.611	1.622	1.704	1.780	1.778	1.920
0.222	0.382	0.398	0.401	0.402	0.406			0.371	0.382	0.381	0.387	0.394			0.505	0.485	0.503	0.557	0.602			0.827	0.874	1.034	0.879	0.909			1.526	1.661	1.668	1.761	1.833	1.844	1.975
0.231	0.386	0.400	0.401	0.401	0.406			0.372	0.384	0.386	0.386	0.395			0.515	0.497	0.515	0.572	0.632			0.855	0.892	1.081	0.903	0.932			1.574	1.709	1.720	1.823	1.902	1.888	2.036
0.240	0.387	0.404	0.405	0.400	0.407			0.372	0.384	0.386	0.388	0.396			0.524	0.508	0.525	0.584	0.661			0.873	0.924	1.133	0.930	0.960			1.637	1.760	1.771	1.890	1.956	1.953	2.102
0.249	0.385	0.400	0.405	0.408	0.411			0.373	0.387	0.389	0.389	0.396			0.534	0.518	0.533	0.597	0.692			0.909	0.958	1.196	0.962	0.990			1.688	1.831	1.822	1.932	2.024	1.991	2.151
0.259	0.389	0.403	0.405	0.406	0.411			0.375	0.387	0.387	0.393	0.402			0.549	0.529	0.549	0.615	0.728			0.937	0.985	1.246	0.996	1.024			1.746	1.879	1.879	1.997	2.064	2.067	2.211
0.268	0.387	0.403	0.407	0.405	0.411			0.377	0.389	0.391	0.393	0.399			0.557	0.540	0.556	0.637	0.768			0.975	1.022	1.298	1.034	1.048			1.811	1.936	1.937	2.045	2.122	2.114	2.269
0.277	0.389	0.408	0.409	0.405	0.412			0.380	0.390	0.390	0.396	0.402			0.575	0.564	0.571	0.671	0.821			1.012	1.072	1.376	1.069	1.091			1.874	1.994	2.002	2.111	2.168	2.169	2.312
