"time (h)"	"MDS (Rh, nm) (37 °C)"	"MDS (Rh, nm) (37 °C)"	"MDS (Rh, nm) (37 °C)"	"MDS (Rh, nm) (37 °C)"	"[Monomer] (mM) (37 °C)"	"[Monomer] (mM) (37 °C)"	"[Monomer] (mM) (37 °C)"	"[Monomer] (mM) (37 °C)"	"MDS (Rh, nm) (23 °C)"	"MDS (Rh, nm) (23 °C)"	"MDS (Rh, nm) (23 °C)"	"MDS (Rh, nm) (23 °C)"	"[Monomer] (mM) (23 °C)"	"[Monomer] (mM) (23 °C)"	"[Monomer] (mM) (23 °C)"	"[Monomer] (mM) (23 °C)"
0.500									4.51	3.18	5.00	6.20	6.44141628			
1.500									12.20	9.18	11.70	13.00	5.94498349			
2.000									14.10	4.49	9.34	13.70	5.99378287			
3.750									12.20		10.10	11.40	5.40329814			
7.000									10.60	13.90	5.91	16.30	4.74322231			
120.000									5.97	4.97	6.62	6.49	3.91424436			
289.000									3.42	2.87	4.20	3.06	3.50000000			
																
																
0.000	3.030	2.90	3.90	3.11												
0.333	9.300	4.20	8.61	6.35	6.49060605											
1.000	15.700	6.22	8.96		6.21544651											
1.500	14.900		15.80	14.50	5.93065520											
2.500	10.700	9.02		16.30	5.59164057											
263.000	5.830	7.65	5.21	7.74	3.98598835											
432.000	6.340	4.93	6.43	5.52												
