"time (h)"	"Relative fluorescence intensity (100 μM ThT)"	"Relative fluorescence intensity (100 μM ThT)"	"Relative fluorescence intensity (100 μM ThT)"	"Relative fluorescence intensity (20 μM ThT)"	"Relative fluorescence intensity (20 μM ThT)"	"Relative fluorescence intensity (20 μM ThT)"
0.000	-0.002	-0.008	0.010	0.006	-0.013	0.006
0.222	0.010	0.004	0.022	0.044	0.025	0.039
0.445	0.034	0.034	0.064	0.068	0.082	0.091
0.667	0.058	0.052	0.076	0.086	0.100	0.110
0.888	0.058	0.094	0.088	0.100	0.091	0.119
1.112	0.088	0.106	0.112	0.129	0.110	0.148
1.333	0.106	0.112	0.094	0.138	0.148	0.166
1.555	0.094	0.142	0.124	0.148	0.166	0.185
1.777	0.106	0.154	0.124	0.171	0.171	0.199
2.000	0.130	0.148	0.136	0.190	0.176	0.214
2.222	0.136	0.130	0.148	0.185	0.190	0.223
2.443	0.166	0.154	0.166	0.190	0.185	0.242
2.667	0.142	0.142	0.160	0.218	0.214	0.237
2.888	0.148	0.178	0.166	0.209	0.214	0.242
3.110	0.172	0.166	0.160	0.237	0.232	0.251
3.332	0.166	0.178	0.184	0.242	0.246	0.251
3.555	0.172	0.172	0.196	0.242	0.251	0.270
3.777	0.184	0.160	0.184	0.265	0.261	0.308
3.998	0.202	0.214	0.202	0.279	0.261	0.298
4.222	0.196	0.178	0.166	0.251	0.270	0.322
4.443	0.178	0.190	0.226	0.279	0.298	0.327
4.665	0.214	0.220	0.208	0.289	0.284	0.327
4.888	0.190	0.220	0.226	0.298	0.317	0.331
5.110	0.184	0.220	0.214	0.303	0.298	0.341
5.332	0.184	0.208	0.226	0.317	0.308	0.345
5.553	0.202	0.226	0.250	0.327	0.317	0.364
5.777	0.196	0.208	0.280	0.336	0.308	0.364
5.998	0.190	0.238	0.226	0.345	0.336	0.364
6.220	0.220	0.238	0.232	0.327	0.336	0.378
6.443	0.220	0.250	0.244	0.359	0.345	0.383
6.665	0.250	0.232	0.274	0.341	0.350	0.374
6.887	0.232	0.250	0.268	0.359	0.355	0.392
7.110	0.232	0.238	0.268	0.369	0.364	0.407
7.332	0.238	0.274	0.268	0.364	0.341	0.402
7.553	0.262	0.274	0.268	0.378	0.392	0.421
7.777	0.244	0.274	0.286	0.374	0.378	0.425
7.998	0.250	0.304	0.298	0.392	0.369	0.430
8.220	0.292	0.292	0.268	0.392	0.402	0.430
8.442	0.280	0.298	0.304	0.392	0.402	0.435
8.665	0.304	0.322	0.340	0.407	0.411	0.444
8.887	0.280	0.340	0.340	0.416	0.416	0.477
9.108	0.298	0.310	0.334	0.416	0.416	0.454
9.332	0.322	0.340	0.346	0.430	0.425	0.468
9.553	0.346	0.358	0.352	0.430	0.421	0.454
9.775	0.334	0.376	0.394	0.430	0.430	0.477
9.998	0.352	0.394	0.370	0.449	0.430	0.482
10.220	0.346	0.412	0.400	0.458	0.449	0.487
10.442	0.388	0.400	0.412	0.458	0.449	0.496
10.663	0.382	0.418	0.436	0.454	0.458	0.496
10.887	0.388	0.448	0.460	0.468	0.458	0.501
11.108	0.412	0.460	0.472	0.468	0.449	0.496
11.330	0.454	0.454	0.454	0.477	0.468	0.534
11.553	0.454	0.478	0.460	0.496	0.473	0.524
11.775	0.478	0.478	0.490	0.515	0.482	0.534
11.997	0.478	0.508	0.502	0.482	0.487	0.562
12.218	0.484	0.526	0.502	0.477	0.491	0.553
12.442	0.508	0.514	0.514	0.505	0.534	0.553
12.663	0.502	0.532	0.538	0.505	0.505	0.543
12.885	0.508	0.520	0.550	0.534	0.520	0.553
13.108	0.538	0.538	0.562	0.524	0.538	0.590
13.330	0.526	0.562	0.568	0.524	0.538	0.581
13.552	0.562	0.550	0.550	0.553	0.534	0.586
13.775	0.562	0.598	0.562	0.534	0.553	0.600
13.997	0.562	0.598	0.580	0.553	0.562	0.604
14.218	0.586	0.586	0.574	0.562	0.567	0.590
14.442	0.574	0.622	0.604	0.562	0.562	0.623
14.663	0.592	0.616	0.622	0.562	0.567	0.633
14.885	0.622	0.610	0.616	0.581	0.600	0.628
15.107	0.622	0.628	0.640	0.586	0.595	0.619
15.330	0.634	0.640	0.634	0.586	0.604	0.628
15.552	0.610	0.622	0.622	0.600	0.614	0.619
15.773	0.634	0.646	0.628	0.600	0.604	0.628
15.997	0.646	0.646	0.646	0.600	0.604	0.647
16.218	0.616	0.676	0.658	0.604	0.614	0.666
16.440	0.622	0.652	0.670	0.609	0.628	0.647
16.663	0.652	0.670	0.676	0.633	0.614	0.656
16.885	0.676	0.670	0.676	0.609	0.637	0.670
17.107	0.670	0.682	0.676	0.637	0.647	0.637
17.328	0.640	0.682	0.676	0.619	0.656	0.656
17.552	0.670	0.694	0.694	0.623	0.656	0.675
17.773	0.664	0.682	0.688	0.647	0.637	0.684
17.995	0.694	0.700	0.694	0.647	0.642	0.675
18.218	0.682	0.682	0.712	0.642	0.670	0.684
18.440	0.652	0.718	0.718	0.661	0.680	0.661
18.662	0.712	0.706	0.700	0.637	0.670	0.699
18.883	0.688	0.706	0.706	0.647	0.670	0.684
19.107	0.700	0.712	0.718	0.670	0.675	0.694
19.328	0.700	0.718	0.730	0.661	0.689	0.694
19.550	0.694	0.736	0.718	0.670	0.684	0.722
19.773	0.700	0.730	0.742	0.651	0.684	0.680
19.995	0.736	0.730	0.724	0.670	0.694	0.703
20.217	0.694	0.724	0.724	0.661	0.713	0.703
