"Time (h)"	"Fluorescence intensity (a.u.) 100 nM JB6"	"Fluorescence intensity (a.u.) 100 nM JB6"	"Fluorescence intensity (a.u.) 100 nM JB6"	"Fluorescence intensity (a.u.) 0 nM JB6"	"Fluorescence intensity (a.u.) 0 nM JB6"	"Fluorescence intensity (a.u.) 0 nM JB6"
0.00000000000000	0.052	0.049	0.049	0.047	0.051	0.048
0.22166666666667	0.053	0.049	0.052	0.048	0.051	0.049
0.44500000000000	0.051	0.051	0.053	0.047	0.052	0.053
0.66666666666667	0.052	0.053	0.052	0.050	0.047	0.053
0.88833333333333	0.054	0.054	0.046	0.049	0.048	0.057
1.11166666666667	0.051	0.050	0.053	0.045	0.052	0.050
1.33333333333333	0.049	0.057	0.047	0.049	0.050	0.048
1.55500000000000	0.052	0.051	0.048	0.050	0.052	0.049
1.77833333333333	0.052	0.052	0.050	0.048	0.048	0.053
2.00000000000000	0.055	0.053	0.050	0.052	0.051	0.051
2.22166666666667	0.051	0.053	0.052	0.050	0.051	0.051
2.44500000000000	0.053	0.052	0.051	0.050	0.048	0.051
2.66666666666667	0.050	0.051	0.052	0.045	0.050	0.052
2.88833333333333	0.050	0.052	0.055	0.050	0.052	0.050
3.11166666666667	0.051	0.047	0.048	0.046	0.052	0.051
3.33333333333333	0.052	0.054	0.050	0.053	0.053	0.046
3.55500000000000	0.050	0.048	0.055	0.051	0.052	0.051
3.77833333333333	0.049	0.053	0.051	0.048	0.047	0.052
4.00000000000000	0.049	0.051	0.053	0.056	0.049	0.048
4.22166666666667	0.051	0.050	0.050	0.052	0.051	0.051
4.44500000000000	0.050	0.048	0.055	0.048	0.051	0.052
4.66666666666667	0.053	0.051	0.050	0.050	0.048	0.050
4.88833333333333	0.055	0.054	0.057	0.052	0.049	0.051
5.11166666666667	0.050	0.052	0.052	0.050	0.050	0.050
5.33333333333333	0.052	0.050	0.054	0.049	0.048	0.048
5.55500000000000	0.053	0.052	0.055	0.049	0.051	0.052
5.77833333333333	0.057	0.054	0.051	0.052	0.048	0.050
6.00000000000000	0.045	0.048	0.050	0.049	0.050	0.054
6.22166666666667	0.047	0.052	0.050	0.053	0.048	0.047
6.44500000000000	0.049	0.046	0.052	0.049	0.048	0.048
6.66666666666667	0.051	0.050	0.050	0.051	0.049	0.051
6.88833333333333	0.050	0.054	0.052	0.053	0.051	0.050
7.11166666666667	0.058	0.049	0.050	0.046	0.050	0.050
7.33333333333333	0.054	0.054	0.054	0.048	0.046	0.051
7.55500000000000	0.047	0.050	0.052	0.052	0.050	0.048
7.77833333333333	0.052	0.048	0.052	0.051	0.048	0.051
8.00000000000000	0.049	0.046	0.052	0.050	0.047	0.049
8.22166666666667	0.047	0.052	0.053	0.045	0.051	0.050
8.44500000000000	0.053	0.054	0.051	0.050	0.051	0.049
8.66666666666667	0.050	0.048	0.047	0.047	0.048	0.048
8.88833333333333	0.050	0.050	0.050	0.052	0.053	0.047
9.11166666666667	0.052	0.050	0.049	0.049	0.046	0.052
9.33333333333333	0.049	0.054	0.056	0.047	0.049	0.047
9.55500000000000	0.046	0.050	0.050	0.053	0.048	0.049
9.77833333333333	0.050	0.052	0.057	0.051	0.049	0.048
10.00000000000000	0.050	0.052	0.046	0.054	0.047	0.052
10.22166666666670	0.050	0.048	0.051	0.050	0.050	0.054
10.44500000000000	0.048	0.050	0.051	0.052	0.050	0.050
10.66666666666670	0.052	0.048	0.052	0.048	0.047	0.051
10.88833333333330	0.048	0.049	0.053	0.046	0.050	0.052
11.11166666666670	0.058	0.054	0.053	0.045	0.055	0.055
11.33333333333330	0.054	0.053	0.051	0.051	0.045	0.053
11.55500000000000	0.046	0.052	0.053	0.052	0.053	0.049
11.77833333333330	0.050	0.046	0.048	0.055	0.051	0.048
12.00000000000000	0.047	0.053	0.048	0.052	0.047	0.053
