"Time (h)"	"Relative fluorescence intensity (50 uM seeds)"	"Relative fluorescence intensity (50 uM seeds)"	"Relative fluorescence intensity (50 uM seeds)"	"Relative fluorescence intensity (12.5 uM seeds)"	"Relative fluorescence intensity (12.5 uM seeds)"	"Relative fluorescence intensity (12.5 uM seeds)"	"Relative fluorescence intensity (2.5 uM seeds)"	"Relative fluorescence intensity (2.5 uM seeds)"	"Relative fluorescence intensity (2.5 uM seeds)"	"Relative fluorescence intensity (0.5 uM seeds)"	"Relative fluorescence intensity (0.5 uM seeds)"	"Relative fluorescence intensity (0.5 uM seeds)"	"Relative fluorescence intensity (0 nM JB6)"	"Relative fluorescence intensity (0 nM JB6)"	"Relative fluorescence intensity (0 nM JB6)"
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0003	0.000	0.001	0.000	0.0007	0.002	0.003	0.003
0.222	0.032	0.032	0.038	0.011	0.009	0.011	0.001	0.0000	0.001	0.001	0.001	0.0000	0.002	0.003	0.003
0.445	0.064	0.066	0.069	0.020	0.022	0.023	0.004	0.0017	0.002	0.001	0.001	0.0010	0.002	0.004	0.006
0.667	0.091	0.099	0.097	0.027	0.030	0.029	0.003	0.0010	0.002	0.002	0.001	0.0003	0.003	0.001	0.006
0.888	0.121	0.125	0.123	0.037	0.038	0.036	0.003	0.0035	0.003	0.000	0.001	0.0016	0.003	0.002	0.008
1.112	0.147	0.144	0.148	0.045	0.044	0.043	0.003	0.0038	0.001	0.004	0.002	0.0016	0.001	0.004	0.004
1.333	0.167	0.172	0.167	0.047	0.049	0.049	0.004	0.0042	0.002	0.002	0.001	0.0016	0.003	0.003	0.003
1.555	0.181	0.191	0.195	0.055	0.059	0.053	0.004	0.0073	0.009	0.002	0.002	0.0020	0.003	0.004	0.003
1.778	0.202	0.214	0.208	0.063	0.067	0.058	0.009	0.0076	0.010	0.002	0.002	0.0016	0.002	0.002	0.006
2.000	0.227	0.242	0.230	0.069	0.074	0.065	0.016	0.0090	0.014	0.003	0.003	0.0043	0.005	0.003	0.004
2.222	0.248	0.256	0.250	0.075	0.082	0.070	0.015	0.0153	0.016	0.001	0.005	0.0026	0.003	0.003	0.004
2.445	0.271	0.277	0.266	0.083	0.091	0.079	0.018	0.0184	0.019	0.002	0.004	0.0023	0.003	0.002	0.004
2.667	0.282	0.297	0.285	0.092	0.098	0.085	0.022	0.0208	0.023	0.001	0.003	0.0033	0.001	0.003	0.005
2.888	0.306	0.316	0.300	0.101	0.109	0.093	0.026	0.0215	0.024	0.002	0.007	0.0040	0.003	0.004	0.004
3.112	0.323	0.335	0.323	0.110	0.116	0.097	0.027	0.0247	0.026	0.005	0.005	0.0043	0.001	0.004	0.004
3.333	0.338	0.360	0.335	0.118	0.124	0.105	0.030	0.0260	0.030	0.005	0.003	0.0056	0.005	0.004	0.002
