"time (h)"	"[monomer] (mM) HPLC"	"[monomer] (mM) HPLC"	"[monomer] (mM) HPLC"	"[monomer] (mM) NMR"	"[monomer] (mM) NMR"	"[monomer] (mM) NMR"	"ThT (a.u.)"	"ThT (a.u.)"	"ThT (a.u.)"
0.00000000000000	5.000			5.00					
72.00000000000000	4.067			4.15					
168.00000000000000	4.361			4.28					
210.00000000000000	4.123			4.12					
306.00000000000000	4.219			4.19					
									
									
									
0.00000000000000							0.2803	0.2878	0.2916
0.22166666666667							0.3313	0.3472	0.3508
0.44500000000000							0.3782	0.3826	0.3886
0.66666666666667							0.4138	0.4188	0.4258
0.88833333333333							0.4436	0.4478	0.4539
1.11166666666667							0.4782	0.4793	0.4856
1.33333333333333							0.5004	0.5019	0.5149
1.55500000000000							0.5227	0.5296	0.5373
1.77833333333333							0.5467	0.5505	0.5518
2.00000000000000							0.5714	0.5728	0.5781
2.22166666666667							0.5860	0.5906	0.5931
2.44500000000000							0.6086	0.6140	0.6158
2.66666666666667							0.6298	0.6320	0.6426
2.88833333333333							0.6460	0.6468	0.6536
3.11166666666667							0.6676	0.6670	0.6736
3.33333333333333							0.6827	0.6854	0.6887
3.55500000000000							0.7045	0.7072	0.7084
3.77833333333333							0.7272	0.7260	0.7302
4.00000000000000							0.7482	0.7427	0.7494
4.22166666666667							0.7685	0.7642	0.7668
4.44500000000000							0.7916	0.7855	0.7878
4.66666666666667							0.8270	0.8124	0.8070
4.88833333333333							0.8544	0.8434	0.8321
5.11166666666667							0.8849	0.8626	0.8585
5.33333333333333							0.9015	0.8890	0.8700
5.55500000000000							0.9347	0.9102	0.8922
5.77833333333333							0.9745	0.9468	0.9188
6.00000000000000							0.9990	0.9717	0.9489
6.22166666666667							1.0403	1.0089	0.9776
6.44500000000000							1.0762	1.0304	1.0016
6.66666666666667							1.1126	1.0594	1.0347
6.88833333333333							1.1445	1.0855	1.0501
7.11166666666667							1.1798	1.1162	1.0795
7.33333333333333							1.2188	1.1450	1.1058
7.55500000000000							1.2586	1.1897	1.1365
7.77833333333333							1.2831	1.2123	1.1693
8.00000000000000							1.3213	1.2561	1.2042
8.22166666666667							1.3588	1.2883	1.2380
8.44500000000000							1.3926	1.3103	1.2736
8.66666666666667							1.4170	1.3441	1.3034
8.88833333333333							1.4536	1.3800	1.3426
9.11166666666667							1.4734	1.4060	1.3683
9.33333333333333							1.5052	1.4254	1.4101
9.55500000000000							1.5296	1.4592	1.4335
9.77833333333333							1.5657	1.4837	1.4662
10.00000000000000							1.5791	1.5083	1.4967
10.22166666666670							1.6084	1.5312	1.5191
10.44500000000000							1.6223	1.5512	1.5506
10.66666666666670							1.6428	1.5754	1.5674
10.88833333333330							1.6715	1.5917	1.5955
11.11000000000000							1.6901	1.6225	1.6292
11.33333333333330							1.7221	1.6500	1.6534
11.55500000000000							1.7274	1.6555	1.6672
11.77666666666670							1.7595	1.6911	1.6998
12.00000000000000							1.7672	1.6950	1.7204
12.22166666666670							1.7880	1.7202	1.7402
12.44333333333330							1.8048	1.7415	1.7630
12.66666666666670							1.8214	1.7562	1.7920
12.88833333333330							1.8362	1.7852	1.8128
13.11000000000000							1.8458	1.8010	1.8314
13.33333333333330							1.8554	1.8197	1.8527
13.55500000000000							1.8712	1.8288	1.8710
13.77666666666670							1.8845	1.8455	1.9003
14.00000000000000							1.9080	1.8646	1.8975
14.22166666666670							1.9153	1.8785	1.9276
14.44333333333330							1.9305	1.8930	1.9345
14.66666666666670							1.9310	1.9057	1.9572
14.88833333333330							1.9406	1.9165	1.9799
15.11000000000000							1.9556	1.9331	1.9787
15.33333333333330							1.9658	1.9495	1.9899
15.55500000000000							1.9652	1.9481	2.0088
15.77666666666670							1.9806	1.9709	2.0319
16.00000000000000							1.9914	1.9770	2.0396
16.22166666666670							1.9991	1.9879	2.0429
16.44333333333330							2.0151	2.0034	2.0725
16.66666666666670							2.0202	2.0122	2.0746
16.88833333333330							2.0351	2.0252	2.0773
17.11000000000000							2.0485	2.0348	2.0854
17.33333333333330							2.0523	2.0441	2.1100
17.55500000000000							2.0597	2.0539	2.1074
17.77666666666670							2.0652	2.0576	2.1250
18.00000000000000							2.0661	2.0643	2.1285
18.22166666666670							2.0906	2.0750	2.1496
18.44333333333330							2.0902	2.0795	2.1442
18.66666666666670							2.0944	2.0946	2.1701
18.88833333333330							2.1546	2.1607	2.2232
19.11000000000000							2.1826	2.1900	2.2674
19.33333333333330							2.2073	2.2134	2.2695
19.55500000000000							2.2187	2.2211	2.2954
19.77666666666670							2.2332	2.2342	2.2996
20.00000000000000							2.2411	2.2448	2.3090
20.22166666666670							2.2548	2.2809	2.3310
20.44333333333330							2.2628	2.2837	2.3388
20.66666666666670							2.2801	2.2843	2.3446
20.88833333333330							2.3085	2.3069	2.3626
21.11000000000000							2.3069	2.3038	2.3696
21.33333333333330							2.3158	2.3057	2.3744
21.55500000000000							2.3266	2.3295	2.3868
21.77666666666670							2.3243	2.3342	2.3857
22.00000000000000							2.3312	2.3364	2.4036
22.22166666666670							2.3469	2.3365	2.4189
22.44333333333330							2.3374	2.3678	2.4110
22.66666666666670							2.3582	2.3795	2.4309
22.88833333333330							2.3653	2.3862	2.4330
23.11000000000000							2.3753	2.3804	2.4386
23.33333333333330							2.3687	2.3736	2.4330
23.55500000000000							2.3714	2.3925	2.4374
23.77666666666670							2.3849	2.4036	2.4469
24.00000000000000							2.4042	2.4082	2.4553
24.22166666666670							2.3962	2.3984	2.4708
24.44333333333330							2.4084	2.4108	2.4787
24.66666666666670							2.3997	2.4209	2.4732
24.88833333333330							2.4129	2.4263	2.4802
25.11000000000000							2.4140	2.4394	2.4820
25.33333333333330							2.4170	2.4377	2.4820
25.55500000000000							2.4386	2.4467	2.4962
25.77666666666670							2.4216	2.4413	2.4999
26.00000000000000							2.4520	2.4577	2.5185
26.22166666666670							2.4444	2.4554	2.5088
26.44333333333330							2.4428	2.4467	2.5094
26.66666666666670							2.4589	2.4654	2.5108
26.88833333333330							2.4589	2.4876	2.5225
27.11000000000000							2.4653	2.4647	2.5300
27.33333333333330							2.4555	2.4871	2.5383
27.55500000000000							2.4714	2.4803	2.5474
27.77666666666670							2.4899	2.4753	2.5440
28.00000000000000							2.4848	2.4888	2.5406
28.22166666666670							2.4953	2.4894	2.5491
28.44333333333330							2.4829	2.4931	2.5512
28.66666666666670							2.5116	2.5228	2.5788
28.88833333333330							2.5095	2.5152	2.5679
29.11000000000000							2.5187	2.5236	2.5765
29.33333333333330							2.5289	2.5237	2.5741
29.55500000000000							2.5260	2.5442	2.5940
29.77666666666670							2.5280	2.5218	2.5970
30.00000000000000							2.5164	2.5353	2.6088
30.22166666666670							2.5291	2.5372	2.5792
30.44333333333330							2.5308	2.5343	2.6019
30.66666666666670							2.5350	2.5348	2.5941
30.88833333333330							2.5390	2.5529	2.6048
31.11000000000000							2.5419	2.5452	2.5990
31.33333333333330							2.5314	2.5441	2.6043
31.55500000000000							2.5548	2.5550	2.6090
31.77666666666670							2.5592	2.5494	2.6010
32.00000000000000							2.5528	2.5617	2.6157
32.22166666666670							2.5477	2.5754	2.6099
32.44333333333330							2.5568	2.5670	2.6164
32.66666666666670							2.5758	2.5723	2.6353
32.88833333333330							2.5716	2.5877	2.6282
33.11000000000000							2.5746	2.5840	2.6300
33.33333333333330							2.5629	2.5870	2.6286
33.55500000000000							2.5644	2.5932	2.6370
33.77666666666670							2.5850	2.5916	2.6496
33.99833333333330							2.6052	2.5995	2.6669
34.22166666666670							2.6005	2.6102	2.6742
34.44333333333330							2.6093	2.6286	2.6643
34.66500000000000							2.5984	2.6121	2.6756
34.88833333333330							2.6001	2.6045	2.6552
35.11000000000000							2.5965	2.5933	2.6612
35.33166666666670							2.6010	2.6124	2.6603
35.55500000000000							2.6132	2.6212	2.6579
35.77666666666670							2.6065	2.6213	2.6751
35.99833333333330							2.6090	2.6276	2.6806
36.22166666666670							2.6166	2.6279	2.6852
36.44333333333330							2.6192	2.6344	2.6685
36.66500000000000							2.6266	2.6192	2.6859
36.88833333333330							2.6212	2.6303	2.6841
37.11000000000000							2.6278	2.6337	2.6916
37.33166666666670							2.6278	2.6578	2.6863
37.55500000000000							2.6312	2.6240	2.6856
37.77666666666670							2.6368	2.6379	2.6940
37.99833333333330							2.6324	2.6574	2.7086
38.22166666666670							2.6380	2.6429	2.7064
38.44333333333330							2.6556	2.6458	2.7027
38.66500000000000							2.6515	2.6428	2.7055
38.88833333333330							2.6564	2.6568	2.7165
39.11000000000000							2.6495	2.6550	2.7068
39.33166666666670							2.6644	2.6647	2.7117
39.55500000000000							2.6688	2.6724	2.7291
39.77666666666670							2.6732	2.6754	2.7118
39.99833333333330							2.6798	2.6774	2.7246
40.22166666666670							2.6664	2.6774	2.7272
40.44333333333330							2.6845	2.6729	2.7277
40.66500000000000							2.6670	2.6685	2.7214
40.88833333333330							2.6800	2.6814	2.7353
41.11000000000000							2.6777	2.6788	2.7347
41.33166666666670							2.6844	2.6818	2.7269
41.55500000000000							2.6806	2.6790	2.7409
41.77666666666670							2.6844	2.6781	2.7308
41.99833333333330							2.7012	2.7008	2.7552
42.22166666666670							2.6948	2.6865	2.7371
42.44333333333330							2.7047	2.6975	2.7420
42.66500000000000							2.6815	2.6943	2.7537
42.88833333333330							2.6950	2.7020	2.7537
43.11000000000000							2.7008	2.7032	2.7462
43.33166666666670							2.6953	2.7060	2.7432
43.55500000000000							2.6948	2.7135	2.7509
43.77666666666670							2.7154	2.7094	2.7538
43.99833333333330							2.7050	2.7160	2.7630
44.22166666666670							2.7201	2.7172	2.7610
44.44333333333330							2.7101	2.7190	2.7602
44.66500000000000							2.7024	2.7152	2.7617
44.88833333333330							2.7088	2.7000	2.7513
45.11000000000000							2.7160	2.7128	2.7688
45.33166666666670							2.7253	2.7183	2.7705
45.55500000000000							2.7049	2.7374	2.7800
45.77666666666670							2.7171	2.7402	2.7708
45.99833333333330							2.7342	2.7302	2.7978
46.22166666666670							2.7243	2.7332	2.7711
46.44333333333330							2.7411	2.7399	2.7786
46.66500000000000							2.7373	2.7282	2.7962
46.88833333333330							2.7496	2.7455	2.7726
47.11000000000000							2.7360	2.7326	2.8063
47.33166666666670							2.7554	2.7460	2.7818
47.55500000000000							2.7473	2.7334	2.7966
47.77666666666670							2.7547	2.7462	2.7852
47.99833333333330							2.7532	2.7478	2.7985
48.22166666666670							2.7478	2.7557	2.8078
48.44333333333330							2.7440	2.7473	2.7905
48.66500000000000							2.7662	2.7619	2.8065
48.88833333333330							2.7510	2.7733	2.8068
49.11000000000000							2.7748	2.7581	2.8091
49.33166666666670							2.7782	2.7592	2.8052
49.55500000000000							2.7580	2.7675	2.8076
49.77666666666670							2.7875	2.7616	2.8232
49.99833333333330							2.7779	2.7731	2.8221
50.22166666666670							2.7699	2.7705	2.8115
50.44333333333330							2.7692	2.7610	2.8232
50.66500000000000							2.7848	2.7622	2.8304
50.88833333333330							2.7769	2.7718	2.8403
51.11000000000000							2.7679	2.7660	2.8156
51.33166666666670							2.7729	2.7785	2.8295
51.55500000000000							2.8031	2.7841	2.8351
51.77666666666670							2.7819	2.7840	2.8205
51.99833333333330							2.7938	2.7699	2.8181
52.22166666666670							2.7872	2.7970	2.8283
52.44333333333330							2.8119	2.7875	2.8399
52.66500000000000							2.8204	2.8024	2.8580
52.88833333333330							2.8008	2.7869	2.8512
53.11000000000000							2.8114	2.7950	2.8378
53.33166666666670							2.7889	2.7967	2.8390
53.55500000000000							2.8085	2.8066	2.8456
53.77666666666670							2.8186	2.7845	2.8448
53.99833333333330							2.8148	2.8006	2.8472
54.22166666666670							2.7988	2.8109	2.8402
54.44333333333330							2.8446	2.8283	2.8456
54.66500000000000							2.8190	2.7950	2.8608
54.88833333333330							2.8031	2.8026	2.8572
55.11000000000000							2.8212	2.8016	2.8525
55.33166666666670							2.8126	2.7967	2.8335
55.55333333333330							2.8132	2.8088	2.8582
55.77666666666670							2.8272	2.8285	2.8636
55.99833333333330							2.8185	2.8193	2.8542
56.22000000000000							2.8165	2.8185	2.8634
56.44333333333330							2.8332	2.8156	2.8717
56.66500000000000							2.8239	2.8159	2.8614
56.88666666666670							2.8278	2.8122	2.8636
57.11000000000000							2.8441	2.8285	2.8497
57.33166666666670							2.8251	2.8267	2.8883
57.55333333333330							2.8371	2.8338	2.8731
57.77666666666670							2.8256	2.8250	2.8830
57.99833333333330							2.8398	2.8241	2.8708
58.22000000000000							2.8466	2.8217	2.8755
58.44333333333330							2.8494	2.8263	2.8818
58.66500000000000							2.8423	2.8387	2.8846
58.88666666666670							2.8433	2.8418	2.8696
59.11000000000000							2.8585	2.8398	2.8913
59.33166666666670							2.8507	2.8365	2.8982
59.55333333333330							2.8731	2.8706	2.8869
59.77666666666670							2.8683	2.8518	2.9025
59.99833333333330							2.8680	2.8465	2.8910
60.22000000000000							2.8658	2.8502	2.9038
60.44333333333330							2.8711	2.8394	2.8981
60.66500000000000							2.8736	2.8424	2.8855
60.88666666666670							2.8712	2.8461	2.8914
61.11000000000000							2.8515	2.8314	2.8800
61.33166666666670							2.8620	2.8457	2.9000
61.55333333333330							2.8746	2.8546	2.8905
61.77666666666670							2.8716	2.8659	2.9039
61.99833333333330							2.8782	2.8531	2.9131
62.22000000000000							2.8684	2.8702	2.9190
62.44333333333330							2.8802	2.8590	2.8970
62.66500000000000							2.8680	2.8575	2.9072
62.88666666666670							2.8790	2.8598	2.9171
63.11000000000000							2.8866	2.8594	2.9119
63.33166666666670							2.8792	2.8672	2.9114
63.55333333333330							2.8885	2.8832	2.9050
63.77666666666670							2.8828	2.8605	2.9125
63.99833333333330							2.8979	2.8812	2.9375
64.22000000000000									
64.44333333333330									
64.66500000000000							2.9502	2.9514	2.9765
64.88666666666670							2.9714	2.9230	2.9579
65.11000000000000							2.9464	2.9304	2.9541
65.33166666666670							2.9316	2.9230	2.9480
65.55333333333330							2.9380	2.8933	2.9611
65.77666666666670							2.9543	2.9254	2.9620
65.99833333333330							2.9585	2.9146	2.9372
66.22000000000000							2.9617	2.9248	2.9639
66.44333333333330							2.9432	2.9034	2.9666
66.66500000000000							2.9285	2.9332	2.9523
66.88666666666670							2.9470	2.9307	2.9664
67.11000000000000							2.9428	2.9384	2.9694
67.33166666666670							2.9348	2.9328	2.9598
67.55333333333330							2.9504	2.9306	2.9561
67.77666666666670							2.9542	2.9232	2.9358
67.99833333333330							2.9744	2.9282	2.9434
68.22000000000000							2.9565	2.9533	2.9432
68.44333333333330							2.9449	2.9451	2.9604
68.66500000000000							2.9606	2.9366	2.9579
68.88666666666670							2.9804	2.9546	2.9752
69.11000000000000							2.9758	2.9359	2.9770
69.33166666666670							2.9876	2.9587	2.9678
69.55333333333330							2.9666	2.9712	2.9877
69.77666666666670							2.9834	2.9657	2.9979
69.99833333333330							2.9718	2.9573	2.9802
70.22000000000000							2.9629	2.9492	2.9526
70.44333333333330							2.9918	2.9499	2.9587
70.66500000000000							2.9620	2.9416	2.9768
70.88666666666670							2.9643	2.9448	2.9856
71.11000000000000							2.9735	2.9674	2.9711
71.33166666666670							2.9562	2.9376	2.9671
71.55333333333330							2.9583	2.9284	2.9776
