"Wavelength (nm)"	"Absorbance (AU)"
217.0993	0.0593
217.4025	0.0578
217.7058	0.0634
218.0090	0.0662
218.3122	0.0693
218.6154	0.0670
218.9185	0.0730
219.2217	0.0707
219.5248	0.0708
219.8280	0.0736
220.1311	0.0750
220.4342	0.0788
220.7373	0.0822
221.0404	0.0854
221.3434	0.0876
221.6465	0.0895
221.9495	0.0992
222.2526	0.1001
222.5556	0.1067
222.8586	0.1125
223.1616	0.1190
223.4646	0.1216
223.7675	0.1288
224.0705	0.1378
224.3735	0.1496
224.6764	0.1559
224.9793	0.1649
225.2822	0.1787
225.5851	0.1894
225.8880	0.2105
226.1909	0.2356
226.4937	0.2613
226.7966	0.2847
227.0994	0.3062
227.4022	0.3275
227.7050	0.3664
228.0078	0.4356
228.3106	0.5059
228.6134	0.5742
228.9162	0.6427
229.2189	0.7224
229.5216	0.7651
229.8244	0.7371
230.1271	0.6652
230.4298	0.6050
230.7325	0.5771
231.0351	0.5772
231.3378	0.6057
231.6404	0.6321
231.9431	0.6253
232.2457	0.5824
232.5483	0.5530
232.8509	0.5411
233.1534	0.5542
233.4560	0.5786
233.7586	0.6170
234.0611	0.6698
234.3636	0.7264
234.6662	0.7294
234.9687	0.7218
235.2712	0.7240
235.5737	0.7227
235.8761	0.7324
236.1786	0.7432
236.4810	0.7828
236.7834	0.7997
237.0859	0.7963
237.3883	0.7859
237.6906	0.7893
237.9930	0.7976
238.2954	0.8146
238.5978	0.8282
238.9001	0.8360
239.2024	0.8376
239.5047	0.8404
239.8070	0.8481
240.1093	0.8605
240.4116	0.8667
240.7139	0.8747
241.0161	0.8732
241.3183	0.8707
241.6206	0.8652
241.9228	0.8520
242.2250	0.8420
242.5272	0.8265
242.8293	0.8058
243.1315	0.7809
243.4337	0.7515
243.7358	0.7222
244.0379	0.6951
244.3400	0.6726
244.6421	0.6576
244.9442	0.6465
245.2462	0.6400
245.5483	0.6369
245.8503	0.6351
246.1524	0.6364
246.4544	0.6365
246.7564	0.6364
247.0584	0.6328
247.3604	0.6239
247.6623	0.6114
247.9643	0.6007
248.2662	0.5907
248.5681	0.5840
248.8700	0.5802
249.1720	0.5809
249.4738	0.5853
249.7757	0.5930
250.0776	0.6033
250.3794	0.6170
250.6813	0.6313
250.9831	0.6458
251.2849	0.6589
251.5867	0.6690
251.8885	0.6749
252.1902	0.6786
252.4920	0.6762
252.7937	0.6672
253.0954	0.6554
253.3972	0.6418
253.6989	0.6294
254.0005	0.6215
254.3022	0.6177
254.6039	0.6187
254.9055	0.6218
255.2072	0.6307
255.5088	0.6434
255.8104	0.6613
256.1120	0.6831
256.4136	0.7104
256.7151	0.7397
257.0167	0.7668
257.3182	0.7878
257.6198	0.7990
257.9213	0.7986
258.2228	0.7857
258.5243	0.7669
258.8257	0.7470
259.1272	0.7228
259.4286	0.6965
259.7301	0.6729
260.0315	0.6526
260.3329	0.6293
260.6343	0.6133
260.9357	0.6097
261.2371	0.6015
261.5384	0.5894
261.8398	0.5782
262.1411	0.5743
262.4424	0.5793
262.7437	0.5916
263.0450	0.6092
263.3463	0.6244
263.6475	0.6309
263.9488	0.6230
264.2500	0.6018
264.5512	0.5712
264.8525	0.5357
265.1537	0.5002
265.4548	0.4675
265.7560	0.4411
266.0572	0.4228
266.3583	0.4133
266.6594	0.4105
266.9606	0.4098
267.2616	0.4082
267.5627	0.3992
267.8638	0.3809
268.1648	0.3532
268.4659	0.3210
268.7669	0.2877
269.0679	0.2556
269.3689	0.2261
269.6700	0.1997
269.9709	0.1771
270.2719	0.1587
270.5728	0.1436
270.8737	0.1315
271.1747	0.1219
271.4756	0.1129
271.7765	0.1028
272.0774	0.0970
272.3782	0.0931
272.6791	0.0875
272.9799	0.0814
273.2808	0.0762
273.5816	0.0720
273.8824	0.0682
274.1831	0.0655
274.4839	0.0631
274.7847	0.0612
275.0854	0.0590
275.3861	0.0575
275.6869	0.0553
275.9876	0.0540
276.2883	0.0518
276.5889	0.0516
276.8896	0.0510
277.1902	0.0504
277.4908	0.0496
277.7915	0.0490
278.0921	0.0484
278.3927	0.0484
278.6933	0.0479
278.9938	0.0475
279.2944	0.0475
279.5949	0.0474
279.8954	0.0468
280.1960	0.0461
280.4964	0.0460
280.7969	0.0457
281.0974	0.0453
281.3979	0.0454
281.6983	0.0446
281.9987	0.0438
282.2991	0.0446
282.5995	0.0442
282.8999	0.0426
283.2003	0.0433
283.5006	0.0438
283.8010	0.0443
284.1013	0.0443
284.4016	0.0441
284.7019	0.0436
285.0022	0.0419
285.3025	0.0424
285.6027	0.0421
285.9030	0.0421
286.2032	0.0411
286.5034	0.0398
286.8036	0.0405
287.1038	0.0405
287.4040	0.0396
287.7041	0.0408
288.0043	0.0415
288.3044	0.0416
288.6045	0.0411
288.9046	0.0403
289.2047	0.0397
289.5048	0.0396
289.8048	0.0395
290.1049	0.0395
290.4049	0.0389
290.7049	0.0372
291.0049	0.0369
291.3049	0.0369
291.6049	0.0367
291.9048	0.0372
292.2048	0.0374
292.5047	0.0369
292.8047	0.0376
293.1046	0.0376
293.4044	0.0369
293.7043	0.0367
294.0042	0.0363
294.3040	0.0355
294.6039	0.0350
294.9037	0.0342
295.2035	0.0339
295.5033	0.0347
295.8031	0.0348
296.1028	0.0342
296.4026	0.0340
296.7023	0.0337
297.0020	0.0329
297.3017	0.0318
297.6014	0.0316
297.9011	0.0311
298.2007	0.0314
298.5004	0.0316
298.8000	0.0322
299.0996	0.0322
299.3992	0.0318
299.6988	0.0321
299.9984	0.0319
300.2980	0.0317
300.5975	0.0314
300.8970	0.0311
301.1965	0.0311
301.4960	0.0313
301.7955	0.0307
302.0950	0.0304
302.3945	0.0296
302.6939	0.0294
302.9934	0.0298
303.2928	0.0303
303.5922	0.0303
303.8915	0.0298
304.1909	0.0295
304.4903	0.0289
304.7896	0.0284
305.0890	0.0286
305.3883	0.0288
305.6875	0.0285
305.9868	0.0284
306.2861	0.0286
306.5854	0.0279
306.8846	0.0275
307.1838	0.0280
307.4830	0.0279
307.7823	0.0276
308.0814	0.0277
308.3806	0.0270
308.6797	0.0267
308.9789	0.0264
309.2780	0.0259
309.5771	0.0259
309.8762	0.0261
310.1753	0.0256
310.4743	0.0253
310.7734	0.0249
311.0724	0.0252
311.3714	0.0252
311.6704	0.0247
311.9695	0.0243
312.2684	0.0240
312.5674	0.0243
312.8664	0.0244
313.1653	0.0252
313.4642	0.0249
313.7631	0.0254
314.0620	0.0249
314.3608	0.0244
314.6597	0.0247
314.9586	0.0242
315.2574	0.0229
315.5562	0.0234
315.8550	0.0240
316.1538	0.0241
316.4525	0.0243
316.7513	0.0242
317.0500	0.0242
317.3488	0.0239
317.6475	0.0235
317.9462	0.0237
318.2448	0.0236
318.5435	0.0235
318.8422	0.0237
319.1408	0.0236
319.4394	0.0235
319.7380	0.0228
320.0366	0.0227
320.3352	0.0229
320.6338	0.0231
320.9323	0.0235
321.2309	0.0233
321.5294	0.0235
321.8279	0.0233
322.1263	0.0231
322.4248	0.0229
322.7233	0.0227
323.0217	0.0227
323.3201	0.0224
323.6186	0.0226
