"q (Å^-1)"	"Intensity (cm-1) 1000 nM JB6"	"Intensity (cm-1) 300 nM JB6"	"Intensity (cm-1) 0 nM JB6"
2.8790790000	0.02003817000000	0.01466901000000	0.03256587000000
2.8718360000	0.01205282000000	0.00701947000000	0.01067379000000
2.8645930000	0.00627595000000	0.00599435000000	0.00995673000000
2.8573510000	0.00500511000000	0.00154800000000	0.00353596000000
2.8501080000	-0.00656017000000	-0.00179924000000	-0.00875602000000
2.8428660000	0.00551897000000	0.00547311000000	0.00387610000000
2.8356230000	-0.00080842000000	0.00482998000000	0.00054106000000
2.8283800000	0.00090682000000	0.00325860000000	-0.00042824000000
2.8211380000	0.00396929000000	0.00012776000000	0.00193106000000
2.8138950000	0.00455827000000	0.00527007000000	0.00450239000000
2.8066530000	-0.00346363000000	-0.00147704000000	-0.00186961000000
2.7994100000	-0.00075289000000	-0.00223288000000	0.00202347000000
2.7921670000	0.00221966000000	0.00046850000000	-0.00033028000000
2.7849250000	0.00139303000000	0.00395444000000	0.00130743000000
2.7776820000	0.00136906000000	-0.00006903000000	0.00130230000000
2.7704400000	-0.00148335000000	0.00071540000000	-0.00212636000000
2.7631970000	0.00108346000000	0.00235437000000	0.00386363000000
2.7559540000	-0.00039715000000	0.00054781000000	0.00112623000000
2.7487120000	0.00064085000000	0.00173725000000	0.00109834000000
2.7414690000	0.00165820000000	0.00181174000000	0.00341175000000
2.7342270000	0.00226669000000	0.00188093000000	0.00293897000000
2.7269840000	0.00193839000000	0.00331401000000	-0.00013417000000
2.7197410000	0.00698237000000	0.00590634000000	0.00650664000000
2.7124990000	0.00161616000000	0.00229036000000	0.00205396000000
2.7052560000	0.00393288000000	0.00443605000000	0.00509880000000
2.6980140000	0.00076149000000	-0.00038339000000	-0.00002961000000
2.6907710000	0.00148704000000	0.00304059000000	0.00305426000000
2.6835280000	0.00288242000000	0.00393891000000	0.00595405000000
2.6762860000	0.00379405000000	0.00246616000000	0.00241267000000
2.6690430000	-0.00141190000000	-0.00057283000000	-0.00032152000000
2.6618010000	0.00281262000000	0.00310680000000	0.00203262000000
2.6545580000	0.00370522000000	0.00572636000000	0.00379940000000
2.6473150000	0.00386041000000	0.00305034000000	0.00330073000000
2.6400730000	0.00087778000000	0.00110979000000	0.00089775000000
2.6328300000	0.00404241000000	0.00369367000000	0.00465407000000
2.6255880000	0.00120226000000	0.00196070000000	-0.00025081000000
2.6183450000	0.00264271000000	0.00380799000000	0.00275374000000
2.6111020000	0.00276806000000	0.00329788000000	0.00279921000000
2.6038600000	0.00406900000000	0.00390380000000	0.00272091000000
2.5966170000	0.00155580000000	0.00250057000000	0.00158468000000
2.5893750000	0.00400670000000	0.00465915000000	0.00346034000000
2.5821320000	0.00499579000000	0.00458342000000	0.00387663000000
2.5748890000	0.00279129000000	0.00326462000000	0.00384525000000
2.5676470000	0.00416357000000	0.00554975000000	0.00467559000000
2.5604040000	0.00236773000000	0.00339513000000	0.00307987000000
2.5531620000	0.00369581000000	0.00273308000000	0.00353057000000
2.5459190000	0.00389410000000	0.00329703000000	0.00304602000000
2.5386760000	0.00385255000000	0.00418211000000	0.00429045000000
2.5314340000	0.00237966000000	0.00317235000000	0.00232743000000
2.5241910000	0.00405862000000	0.00462351000000	0.00422278000000
2.5169490000	0.00222084000000	0.00415241000000	0.00259774000000
2.5097060000	0.00227686000000	0.00175674000000	0.00145487000000
2.5024630000	0.00336183000000	0.00339383000000	0.00240135000000
2.4952210000	0.00259485000000	0.00242465000000	0.00314715000000
2.4879780000	0.00183040000000	0.00257700000000	0.00202380000000
2.4807360000	0.00139818000000	0.00372003000000	0.00241663000000
2.4734930000	0.00355704000000	0.00348504000000	0.00336384000000
2.4662500000	0.00338317000000	0.00375317000000	0.00457777000000
2.4590080000	0.00366027000000	0.00348827000000	0.00271357000000
2.4517650000	0.00549140000000	0.00592420000000	0.00626510000000
2.4445230000	0.00438160000000	0.00454250000000	0.00391920000000
2.4372800000	0.00313300000000	0.00419440000000	0.00273310000000
2.4300370000	0.00325850000000	0.00436170000000	0.00410050000000
2.4227950000	0.00384340000000	0.00426880000000	0.00434100000000
2.4155520000	0.00348210000000	0.00403850000000	0.00362770000000
2.4083100000	0.00454080000000	0.00508780000000	0.00430660000000
2.4010670000	0.00373350000000	0.00513090000000	0.00401520000000
2.3938240000	0.00377680000000	0.00380460000000	0.00390480000000
2.3865820000	0.00479300000000	0.00503800000000	0.00490950000000
2.3793390000	0.00363780000000	0.00456020000000	0.00380940000000
2.3720970000	0.00339850000000	0.00377530000000	0.00359950000000
2.3648540000	0.00525480000000	0.00552000000000	0.00456050000000
2.3576110000	0.00403070000000	0.00392570000000	0.00343120000000
2.3503690000	0.00383530000000	0.00386150000000	0.00362400000000
2.3431260000	0.00346330000000	0.00419620000000	0.00406280000000
2.3358830000	0.00500960000000	0.00669630000000	0.00638530000000
2.3286410000	0.00515970000000	0.00453480000000	0.00475120000000
2.3213980000	0.00469050000000	0.00503090000000	0.00543080000000
2.3141560000	0.00584100000000	0.00607260000000	0.00579410000000
2.3069130000	0.00397980000000	0.00444770000000	0.00327110000000
2.2996700000	0.00545690000000	0.00639780000000	0.00650330000000
2.2924280000	0.00381200000000	0.00447450000000	0.00378420000000
2.2851850000	0.00438390000000	0.00561420000000	0.00419010000000
2.2779430000	0.00398650000000	0.00538290000000	0.00376950000000
2.2707000000	0.00429250000000	0.00561480000000	0.00558570000000
2.2634570000	0.00407690000000	0.00525470000000	0.00407300000000
2.2562150000	0.00424470000000	0.00428600000000	0.00431700000000
2.2489720000	0.00574620000000	0.00609340000000	0.00566640000000
2.2417300000	0.00581710000000	0.00612750000000	0.00491820000000
2.2344870000	0.00453300000000	0.00508070000000	0.00539530000000
2.2272440000	0.00458410000000	0.00617160000000	0.00491060000000
2.2200020000	0.00440170000000	0.00575380000000	0.00506070000000
2.2127590000	0.00707320000000	0.00673920000000	0.00721410000000
2.2055170000	0.00470720000000	0.00466990000000	0.00412420000000
2.1982740000	0.00639050000000	0.00606110000000	0.00657760000000
2.1910310000	0.00659290000000	0.00633830000000	0.00584370000000
2.1837890000	0.00573490000000	0.00649800000000	0.00550810000000
2.1765460000	0.00463580000000	0.00566150000000	0.00505180000000
2.1693040000	0.00652110000000	0.00700460000000	0.00656520000000
2.1620610000	0.00495980000000	0.00510100000000	0.00444310000000
2.1548180000	0.00505800000000	0.00644200000000	0.00511810000000
2.1475760000	0.00534180000000	0.00670220000000	0.00629800000000
2.1403330000	0.00491610000000	0.00501890000000	0.00521300000000
2.1330910000	0.00582950000000	0.00602580000000	0.00442090000000
2.1258480000	0.00495690000000	0.00604390000000	0.00526880000000
2.1186050000	0.00456290000000	0.00604200000000	0.00499610000000
2.1113630000	0.00566310000000	0.00575830000000	0.00563910000000
2.1041200000	0.00547130000000	0.00626860000000	0.00587130000000
2.0968780000	0.00550240000000	0.00539500000000	0.00587170000000
2.0896350000	0.00520150000000	0.00602780000000	0.00533750000000
2.0823920000	0.00502160000000	0.00579300000000	0.00514130000000
2.0751500000	0.00594820000000	0.00609910000000	0.00532450000000
2.0679070000	0.00472930000000	0.00501100000000	0.00481180000000
2.0606650000	0.00524100000000	0.00567430000000	0.00485480000000
2.0534220000	0.00426410000000	0.00458390000000	0.00471900000000
2.0461790000	0.00479740000000	0.00568100000000	0.00515270000000
2.0389370000	0.00393640000000	0.00557940000000	0.00452700000000
2.0316940000	0.00409010000000	0.00501370000000	0.00519470000000
2.0244520000	0.00395260000000	0.00484670000000	0.00397460000000
2.0172090000	0.00363520000000	0.00350960000000	0.00351940000000
2.0099660000	0.00357940000000	0.00435120000000	0.00398420000000
2.0027240000	0.00382980000000	0.00401660000000	0.00380890000000
1.9954810000	0.00287700000000	0.00387600000000	0.00417660000000
1.9882390000	0.00233590000000	0.00277000000000	0.00287690000000
1.9809960000	0.00229010000000	0.00323270000000	0.00239090000000
1.9737530000	0.00292300000000	0.00232000000000	0.00253930000000
1.9665110000	0.00237580000000	0.00383780000000	0.00323780000000
1.9592680000	0.00103320000000	0.00176630000000	0.00115030000000
1.9520260000	0.00186650000000	0.00237690000000	0.00258730000000
1.9447830000	0.00217850000000	0.00229070000000	0.00192010000000
1.9375400000	0.00064950000000	0.00082790000000	0.00193980000000
1.9302980000	-0.00041290000000	0.00110910000000	-0.00000230000000
1.9230550000	0.00088250000000	0.00114920000000	0.00113540000000
1.9158130000	0.00038730000000	0.00163600000000	0.00030320000000
1.9085700000	0.00081560000000	0.00034700000000	0.00077810000000
1.9013270000	-0.00077000000000	0.00117650000000	0.00005870000000
1.8940850000	-0.00089550000000	-0.00053730000000	-0.00055320000000
1.8868420000	-0.00122780000000	0.00004890000000	-0.00056090000000
1.8796000000	-0.00070690000000	0.00027000000000	0.00024540000000
1.8723570000	-0.00119880000000	0.00019820000000	-0.00030670000000
1.8651140000	-0.00284770000000	-0.00174830000000	-0.00222810000000
1.8578720000	-0.00089130000000	-0.00111770000000	-0.00136820000000
1.8506290000	-0.00318710000000	-0.00151540000000	-0.00120640000000
1.8433870000	-0.00188240000000	-0.00128510000000	-0.00140780000000
1.8361440000	-0.00260420000000	-0.00227250000000	-0.00249350000000
1.8289010000	-0.00394940000000	-0.00249600000000	-0.00316230000000
1.8216590000	-0.00247620000000	-0.00277130000000	-0.00288450000000
1.8144160000	-0.00320820000000	-0.00240660000000	-0.00268980000000
1.8071740000	-0.00306040000000	-0.00202410000000	-0.00218820000000
1.7999310000	-0.00474510000000	-0.00289190000000	-0.00341980000000
1.7926880000	-0.00417720000000	-0.00457860000000	-0.00343400000000
1.7854460000	-0.00508030000000	-0.00454170000000	-0.00413730000000
1.7782030000	-0.00549070000000	-0.00491380000000	-0.00543600000000
1.7709600000	-0.00490030000000	-0.00446390000000	-0.00425340000000
1.7637180000	-0.00392520000000	-0.00306750000000	-0.00346010000000
1.7564750000	-0.00513790000000	-0.00492860000000	-0.00450990000000
1.7492330000	-0.00439070000000	-0.00361110000000	-0.00415190000000
1.7419900000	-0.00536960000000	-0.00462220000000	-0.00438420000000
1.7347470000	-0.00559160000000	-0.00444610000000	-0.00456640000000
1.7275050000	-0.00613130000000	-0.00585380000000	-0.00621020000000
1.7202620000	-0.00604440000000	-0.00564870000000	-0.00564370000000
1.7130200000	-0.00585520000000	-0.00466410000000	-0.00514510000000
1.7057770000	-0.00705400000000	-0.00606510000000	-0.00651800000000
1.6985340000	-0.00671170000000	-0.00607710000000	-0.00626400000000
1.6912920000	-0.00546040000000	-0.00491510000000	-0.00455270000000
1.6840490000	-0.00588240000000	-0.00556210000000	-0.00584030000000
1.6768070000	-0.00563490000000	-0.00501640000000	-0.00503820000000
1.6695640000	-0.00584890000000	-0.00600640000000	-0.00542520000000
1.6623210000	-0.00528030000000	-0.00516440000000	-0.00485220000000
1.6550790000	-0.00588660000000	-0.00547970000000	-0.00497070000000
1.6478360000	-0.00599050000000	-0.00526810000000	-0.00499800000000
1.6405940000	-0.00542740000000	-0.00487480000000	-0.00570380000000
1.6333510000	-0.00656780000000	-0.00604040000000	-0.00616980000000
1.6261080000	-0.00660750000000	-0.00632430000000	-0.00597770000000
1.6188660000	-0.00660600000000	-0.00596860000000	-0.00622780000000
1.6116230000	-0.00578280000000	-0.00602730000000	-0.00564490000000
1.6043810000	-0.00657590000000	-0.00582440000000	-0.00530310000000
1.5971380000	-0.00684040000000	-0.00603190000000	-0.00633380000000
1.5898950000	-0.00627224000000	-0.00636277000000	-0.00522430000000
1.5826530000	-0.00646948000000	-0.00616970000000	-0.00635235000000
1.5754100000	-0.00480776000000	-0.00427889000000	-0.00459189000000
1.5681680000	-0.00529440000000	-0.00532136000000	-0.00438014000000
1.5609250000	-0.00514504000000	-0.00501959000000	-0.00473934000000
1.5536820000	-0.00650861000000	-0.00560616000000	-0.00554641000000
1.5464400000	-0.00561258000000	-0.00486318000000	-0.00487953000000
1.5391970000	-0.00521513000000	-0.00471503000000	-0.00496335000000
1.5319550000	-0.00503382000000	-0.00485094000000	-0.00492069000000
