"time (h)"	"Intensity (mA.U.) Incubated with JB6 (37 °C)"	"Intensity (mA.U.) Incubated with JB6 (37 °C)"	"Intensity (mA.U.) Incubated with JB6 (37 °C)"	"Intensity (mA.U.) Incubated with JB6 (37 °C)"	"Intensity (mA.U.) Incubated without JB6 (37 °C)"	"Intensity (mA.U.) Incubated without JB6 (37 °C)"	"Intensity (mA.U.) Incubated without JB6 (37 °C)"	"Intensity (mA.U.) Incubated without JB6 (37 °C)"	"Intensity (mA.U.) Incubated with JB6 JB6 (23 °C)"	"Intensity (mA.U.) Incubated with JB6 JB6 (23 °C)"	"Intensity (mA.U.) Incubated with JB6 JB6 (23 °C)"	"Intensity (mA.U.) Incubated with JB6 JB6 (23 °C)"	"Intensity (mA.U.) Incubated without JB6  (23 °C)"	"Intensity (mA.U.) Incubated without JB6  (23 °C)"	"Intensity (mA.U.) Incubated without JB6  (23 °C)"	"Intensity (mA.U.) Incubated without JB6  (23 °C)"	"Intensity (mA.U.) Fibrils"	"Intensity (mA.U.) Fibrils"	"Intensity (mA.U.) Fibrils"	"Intensity (mA.U.) Fibrils"
0.00000	93.600	91.00		82.00	93.600	91.00		82.00000												
0.25000	93.000		95.10	95.70	73.700	71.60	74.40	67.60000												
0.50000	88.200	96.30	86.00	92.40	69.600	66.20	58.60													
0.83300	87.800		91.80	84.00	77.500	65.50	62.00	69.80000												
1.16660	61.800	79.50	83.20	81.50	72.600		69.80	70.10000												
1.50000	68.100	67.50	89.50	72.10																
2.00000	59.400	43.10		48.80	44.700	31.40	32.90	24.90000												
0.00000									111.300		121.10	116.80	111.300		121.10	116.800				
0.41660									114.100	118.10	122.50	115.00	107.200	110.80	111.50	96.700				
0.75000									111.800	113.40	120.20	115.90	114.800	108.90	104.70	98.500				
1.08333									116.000	107.50	122.90	116.00	94.200	105.50	101.10	88.100				
1.50000									118.500	116.50	117.20	120.40	86.000	93.20	99.40	84.200				
2.00000									116.400	117.10	118.80	119.50	99.900	102.20	100.90	96.700				
2.50000									118.500	114.30	123.10	123.30	98.100	99.10	89.90	82.000				
3.00000									114.400	118.90	115.30	115.10	101.900		95.60	86.900				
3.66600									99.500	102.40	105.40	112.10								
4.16660									126.300	101.90	102.00	100.80								
																				
																				
																				
0.00000																	13.1	12.9	13.2	13.8
