frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.275857376173881477e+02,1.711397471677206639e+01,-4.235209910331119709e-03,1.116473814996330134e+02,2.013157068860460530e-01,nan,9.362210312197113637e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.271623683172305164e+01,2.641168644923626019e+01,-1.180843755609431792e-02,3.176927086517144971e+02,1.875388740246719532e-02,nan,9.880789194474372650e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.127547038164161108e+01,4.495538298268834154e+01,-3.864375320222084281e-03,1.015580592169375223e+02,9.633239656693592945e-02,nan,2.241144981507823175e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.046485803867890496e+01,5.174209720081672259e+01,-2.334614973087591888e-02,6.316000399557445917e+02,1.000515740104890305e-02,nan,4.301773612093889909e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.069483101599126940e+01,3.608349670553095478e+01,-3.861466488911250491e-03,1.014789184427385180e+02,1.172993877640531313e-01,nan,9.880789194474372650e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.238107511607625497e+02,4.567891484837869598e+01,-5.982839548602350392e-03,1.591952616640066083e+02,3.944631772697759775e-02,nan,2.774536974186039728e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.361743378220787690e+02,2.084049165002195991e+01,-4.888453918893364246e-03,1.294202363179672943e+02,8.006549804059370778e-02,nan,9.362210312197113637e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.052771637277667338e+01,1.142493858323940259e+01,-5.402805768756415404e-03,1.434142425902599882e+02,6.380790567743577224e-02,nan,9.410875724279179622e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.110803033784447251e+02,1.325454542818968839e+01,-5.991734494631597262e-03,1.594372670744238576e+02,4.827725045324360309e-02,nan,9.002254974813146404e+00,1.000000000000000000e+00
1.100000000000000000e+01,8.505689501418737564e+01,9.641166651736051918e+00,-1.161221444890214033e-02,3.123540530338777899e+02,4.895885093420371259e-02,nan,4.425576311711678201e+00,1.000000000000000000e+00
