frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.257838471076793923e+02,8.718107816032231838e+00,-1.968546803453483790e-02,5.773053072702849704e+02,2.372428168831651751e-01,nan,6.003776288208387157e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.319920396957142117e+01,2.426912882811109995e+01,-1.435347828797970890e-02,4.205644830534963035e+02,1.952759810000508356e-01,nan,6.494891615254126727e+00,1.000000000000000000e+00
6.000000000000000000e+00,8.388450660638202550e+00,2.439573781723329660e+01,-2.339025815373482059e-02,6.862124665927107117e+02,1.372288029595225556e-02,nan,1.524146964201387711e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.175762203750562236e+02,5.164700465316391842e+01,-2.909188997697503484e-02,8.538194039340149857e+02,1.549983585727121582e-02,nan,6.308984179201709175e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.307527852582449839e+02,5.348392193801317696e+00,-2.519630842378961511e-02,7.393036804473949815e+02,4.760166239948204758e-02,nan,6.003776288208387157e+00,1.000000000000000000e+00
7.000000000000000000e+00,3.646318233204763004e+01,2.052850580143823933e+01,-1.127474878340511966e-02,3.300611957207817682e+02,2.502500770321813839e-02,nan,2.127423901652218774e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.387981339949003257e+01,3.703195428794081323e+01,-2.262113057919078879e-02,6.636029538794167593e+02,1.678694559487159399e-02,nan,1.449306954017979443e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.142663688885019724e+01,1.802079920826534476e+01,-2.357573679569298364e-02,6.916648542747980173e+02,2.175198927567534302e-02,nan,6.494891615254126727e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.089941293252674086e+02,2.703121339431145032e+01,-6.116855588265673188e-03,1.784381677225294709e+02,5.114670948062893796e-02,nan,1.223306069955856046e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.260323110799201274e+01,4.897894631804845034e+01,-5.322208631410734608e-03,1.550784793324163786e+02,9.931556872796376556e-02,nan,1.013035083416621873e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.283085238885434478e+02,3.363080062698515604e+01,-2.237890102160939795e-02,6.564822986813258012e+02,1.244691533912078985e-02,nan,1.195723321569861497e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.709675948091675934e+01,1.196925811594132760e+01,-1.437976548523460171e-02,4.213372296565337933e+02,5.613865605810364201e-02,nan,1.092369576960667565e+01,1.000000000000000000e+00
9.000000000000000000e+00,8.691771267747371965e+00,3.963418896745632480e+01,-2.324034212773018818e-02,6.818054885983412987e+02,1.289844959213493070e-02,nan,1.013035083416621873e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.254033465921354917e+02,1.827810478958560836e+01,-1.155458447006427539e-02,3.382873323521519069e+02,2.109816832217503713e-02,nan,6.293968752868708272e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.111271649625873863e+02,5.304214870052959441e+01,-1.475705414466256526e-02,4.324281240988182731e+02,8.990386166684427582e-02,nan,6.598237842484421911e+00,1.000000000000000000e+00
