frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.150862802470791166e+02,2.368439578486665198e+01,-2.584319326168637090e-02,7.126856048774218380e+02,1.107651603310222388e-02,nan,6.391611758636746465e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.291571810902348716e+01,3.660860350635526572e+01,-2.756583212173417327e-02,7.608276185242905285e+02,9.073275141893066831e-02,nan,2.018344798686424113e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.587246998869188630e+01,3.805286181910786780e+01,-2.971494449945261129e-02,8.208881453220571984e+02,1.008657573627003146e-02,nan,1.073929899458038761e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.289449878081494489e+02,4.866442768314562528e+01,-4.035964899609729289e-02,1.118372151418455360e+03,7.142415011702651917e-03,nan,2.089716953125094179e+01,1.000000000000000000e+00
6.000000000000000000e+00,3.913338801196337613e+01,5.134010998354131061e+01,4.822081066878167697e-03,-1.252155938231417878e+02,2.911440841507884070e-01,nan,2.071900618822785134e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.621061804047173638e+01,3.514507266676621100e+01,-2.252068420573712874e-03,5.339230760772407081e+01,3.660590411602844263e-01,nan,1.073929899458038761e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.386841622714331379e+01,4.696516103861069524e+01,-2.912048922476984103e-02,8.042751020371537152e+02,1.117488765959040453e-02,nan,2.466918102038626515e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.328912701600155799e+01,8.229424018550453468e+00,-2.839011930753651200e-02,7.838636975703268490e+02,1.697188175381614261e-02,nan,2.289470510762873801e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.087042987355775381e+02,2.403512767676636841e+01,1.775523464438134857e-03,-4.007446466704593746e+01,3.611341619590809904e-01,nan,6.391611758636746465e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.138307672980596834e+02,3.423348756164887874e+01,-2.241685874978704713e-03,5.310215006901032808e+01,3.472657275159174439e-01,nan,1.141434291861334316e+01,1.000000000000000000e+00
