frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.320060730035215784e+02,6.269450025191204645e+00,-2.972238638640458883e-02,8.147630545091024032e+02,2.550383425482372068e-02,nan,1.543569643993954443e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.478921032126168456e+01,1.074460437401863899e+01,-2.808105463750781849e-02,7.698188262593139370e+02,1.325810131953963911e-02,nan,1.025777345564583776e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.372138800111112289e+01,1.180331787705224578e+01,-2.013965732751721305e-02,5.523612808469501942e+02,3.162493142068445451e-02,nan,9.250939202947616735e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.988119978852267877e+00,2.111969124701471756e+01,-2.401725953267449046e-02,6.585408138314380722e+02,1.313881097851032909e-02,nan,1.549046621532776413e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.302381222904199376e+01,2.936576730079721642e+01,-2.080454483762984863e-02,5.705677500967052538e+02,1.869793626206583959e-02,nan,7.671450174195444838e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.077108393469919605e+02,3.389030909753674337e+01,-1.019407816991661428e-02,2.800236623027459473e+02,3.775118167516344769e-02,nan,1.507097715323071618e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.174125788640469494e+02,4.542333136823473438e+01,-1.245878768527647860e-02,3.420377075719106301e+02,1.946386582635939444e-02,nan,1.507097715323071618e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.278876483900140748e+00,5.135764622029530102e+01,-1.569081044391634414e-02,4.305394797885626872e+02,1.810601860938687580e-02,nan,1.391244963037319415e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.138261791644606404e+02,1.268391254472287244e+01,-1.781599706157372190e-02,4.887330000696331922e+02,1.369755375307968315e-02,nan,1.927832641631535537e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.407694502719442653e+02,1.897629634665330300e+01,-3.674868497903339276e-02,1.007162651915621609e+03,1.654593801267156827e-02,nan,1.057783335044397610e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.816498370363826353e+01,1.991715379905087957e+01,-2.359868272149503662e-02,6.470790165717658056e+02,2.764834265044691097e-02,nan,6.953761531281529074e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.361057850500171753e+02,2.847054645329956557e+01,-1.810685986181552465e-02,4.966976325043783618e+02,4.092076017037116209e-02,nan,1.057783335044397610e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.753210239435072815e+00,5.730116855882044113e+00,-1.004450342165632941e-02,2.759278896896020683e+02,2.707013162861726663e-02,nan,1.412158165707191415e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.939667203842929410e+01,2.708513932897179188e+01,-8.410908413426987015e-03,2.311955149171499500e+02,4.888688717083655710e-02,nan,1.132533911260034998e+01,1.000000000000000000e+00
8.000000000000000000e+00,8.836865371616015352e+01,4.867536839138181648e+01,-3.849651307200611938e-02,1.055023046259884723e+03,1.400956206469461396e-02,nan,7.123693482058158999e+00,1.000000000000000000e+00
8.000000000000000000e+00,3.355022173532902485e+01,1.608001394310835863e+01,-2.167828324634521117e-02,5.944931378181731816e+02,2.882450937190728091e-02,nan,9.927555028053259178e+00,1.000000000000000000e+00
