frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,5.652323928443626500e+01,3.307250455994244476e+01,-5.430953483934908288e-03,1.441800594194663461e+02,1.306296894864128477e-01,nan,1.901612541377857468e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.782550964351300138e+01,4.667978486508981462e+01,-4.317063305214025037e-02,1.170966125674306113e+03,9.151614705989463694e-03,nan,2.951033209362044829e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.851117599765764510e+01,5.007530296623987454e+01,-1.912502041615770643e-01,5.199777235142684731e+03,7.911080338440901194e-03,nan,2.080398472133142462e+01,1.000000000000000000e+00
8.000000000000000000e+00,7.357584008718202995e+01,2.465693377628494076e+01,5.049961839028571826e-03,-1.338143934460087792e+02,1.877249306700508047e-01,nan,1.901612541377857468e+01,1.000000000000000000e+00
1.000000000000000000e+01,3.311602409285507065e+01,3.457463015103862602e+01,-5.447446182268476933e-02,1.478510175060033816e+03,1.387104927452109671e-02,nan,1.733718103093548990e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.404362055023500488e+02,5.183171869755417305e+01,-1.861596865600671086e-02,5.029056770436165493e+02,2.569097583375767879e-02,nan,7.583244407796010833e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.834042936685637670e+01,1.640662241602446159e+01,-2.329940388374036608e-01,6.335504625719006071e+03,1.426698792880010114e-02,nan,8.862252870382592462e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.055874595832342777e+02,2.368331588855350489e+01,-2.575680065857208212e-02,6.971867860935690260e+02,9.695064389930507787e-03,nan,1.049443377736217897e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.344050722408122311e+01,2.064685595081352432e+01,-2.114226699535698070e-02,5.716388502906132771e+02,7.164162575270849320e-02,nan,9.200424557157209193e+00,1.000000000000000000e+00
1.500000000000000000e+01,7.226257958187872532e+01,1.399068240199462920e+01,2.215202329701034152e-03,-5.668889586194605101e+01,2.476113393308563282e-01,nan,2.958067783723204514e+01,1.000000000000000000e+00
1.600000000000000000e+01,3.691378647059386964e+01,1.416227977052703757e+01,-4.110579352231338163e-02,1.114787894101174516e+03,3.286278318469393334e-02,nan,8.862252870382592462e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.382369835365919926e+02,9.425145704202996910e+00,-2.424821621801302469e-03,6.239202240698666202e+01,1.862083145800340622e-01,nan,1.460278894839862041e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.008937926605902646e+02,3.306961607162445205e+01,-4.701433156189913955e-03,1.243319495216470614e+02,2.416577356708007329e-01,nan,1.023263302916649664e+01,1.000000000000000000e+00
2.000000000000000000e+01,4.082911880049132947e+01,2.451461843405175856e+01,-3.559876879968443264e-02,9.649578924580199555e+02,1.046156055746061408e-02,nan,1.106800537847037269e+01,1.000000000000000000e+00
2.000000000000000000e+01,2.447805549932602176e+01,1.746719856146758687e+01,-1.380939366860778686e-02,3.721328596816979939e+02,4.000660095345276446e-02,nan,1.286739651228881343e+01,1.000000000000000000e+00
2.000000000000000000e+01,7.387716718786147396e+01,5.297628119526559232e+01,2.912392117293725272e-03,-7.565738652285889998e+01,2.320906951228597359e-01,nan,2.659096374676135000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.314571585166404191e+02,2.235864553102139496e+01,-5.743789704896156562e-02,1.559136561754457716e+03,1.032384854329393420e-02,nan,1.460278894839862041e+01,1.000000000000000000e+00
