frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,4.084682081576215040e+01,1.054213073147957758e+01,-1.834158971247076483e-02,4.909894890754539460e+02,2.600269537079524795e-02,nan,2.368800488349248212e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.046814894829936406e+02,4.074590912650864993e+01,-2.056336070131722926e-02,5.499639524205837233e+02,1.488950756441187462e-02,nan,2.129805342195399120e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.378620598173106515e+01,2.697554172388167970e+01,-1.929612077521156155e-02,5.163264646026310629e+02,1.714823500480688878e-02,nan,1.359980119390107411e+01,1.000000000000000000e+00
8.000000000000000000e+00,8.074076355710131736e+01,1.370452561964344440e+01,-2.366243319904572789e-02,6.322254178635547532e+02,1.395189638948135524e-02,nan,1.712361589857880873e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.291708250168463792e+02,3.814856072127705033e+01,-1.837725117494062865e-02,4.919360833112328351e+02,1.243051520215276984e-02,nan,1.465541496972688762e+01,1.000000000000000000e+00
1.000000000000000000e+01,8.636482305552500804e+01,2.987821339331618731e+01,-3.275620743536571816e-02,8.736096370567234999e+02,1.164517584295721164e-02,nan,1.712361589857880873e+01,1.000000000000000000e+00
1.000000000000000000e+01,3.301413055991297085e+01,3.696553674355107688e+01,-3.261119739228331149e-02,8.697605052094852454e+02,2.307858039374577341e-02,nan,6.391664032671473095e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.371066560454186174e+02,9.989308598418050522e+00,-6.662324062996347052e-02,1.772572724508001556e+03,1.008899077479818995e-02,nan,2.925612575569070728e+01,1.000000000000000000e+00
1.200000000000000000e+01,4.587826309198469943e+01,4.354722110819122349e+01,-6.762436876146740716e-02,1.799146567893098108e+03,1.195579036056615418e-02,nan,1.240447683268537027e+01,1.000000000000000000e+00
1.300000000000000000e+01,3.347550843831855616e+01,4.334052690510145567e+01,-2.110458395291740785e-02,5.643301274103826017e+02,9.773202130386837716e-02,nan,4.103052824476876914e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.054474818979986139e+01,2.030942069441963227e+01,-3.775604924758190623e-02,1.006324930021765908e+03,1.860451075898117423e-02,nan,1.082048750413103555e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.145002371816836373e+01,1.444691810489670303e+01,-5.125480346878902999e-02,1.364634490286938671e+03,1.569086986079004653e-02,nan,1.082048750413103555e+01,1.000000000000000000e+00
1.500000000000000000e+01,4.280108354335167320e+01,1.729011432814612803e+01,-2.756637441551536977e-02,7.358512367836974590e+02,1.353429113983917187e-02,nan,2.197513813209507916e+01,1.000000000000000000e+00
1.800000000000000000e+01,3.452084877102973337e+01,3.937286940107531308e+01,-2.476620936027231976e-02,6.615239401182188885e+02,1.589550921789628646e-02,nan,4.103052824476876914e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.402661209221240313e+02,3.410911738712471220e+01,-3.057261470303931222e-02,8.156485734728770467e+02,9.951354466568806956e-03,nan,1.882737278301069139e+01,1.000000000000000000e+00
1.900000000000000000e+01,6.617662865042666454e+01,1.244763771422652177e+01,-1.584054640262765653e-03,4.617918106807427137e+01,3.629587959058664381e-01,nan,2.387185976854873815e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.363347598894790735e+02,1.196168603877816672e+01,-1.396621962930643659e-03,4.120398712842263933e+01,3.676137840794126976e-01,nan,2.249365054629244653e+01,1.000000000000000000e+00
2.000000000000000000e+01,9.334041278157194199e+01,1.714947130573497347e+01,-2.043843123437528650e-02,5.466478373457714497e+02,2.033784942815344277e-01,nan,2.307656151522301258e+01,1.000000000000000000e+00
2.100000000000000000e+01,3.054939032521265574e+01,1.983624499345099323e+01,-3.090877777481649408e-02,8.245716518882643413e+02,1.202320157002800816e-02,nan,1.993620263318554109e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.234319919882577068e+02,4.254013564996914454e+01,-3.502276301218254506e-02,9.337728579537988480e+02,1.093210292454416255e-02,nan,1.882737278301069139e+01,1.000000000000000000e+00
