frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.120437105673762375e+02,1.693262233796641425e+01,-2.287911494624345066e-02,6.114330977642434846e+02,3.961254614457299095e-02,nan,7.034503203873137878e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.573858321356378553e+01,4.431606614885765794e+01,-1.988820976344691377e-02,5.320428145365502814e+02,1.151769661462653804e-02,nan,1.737939009079543595e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.002352441512927044e+02,4.611520164651342668e+01,-4.839194984919128334e-02,1.288643194739823002e+03,8.892788972268417247e-03,nan,2.456264003801258866e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.071127510379380254e+00,4.907441907741624476e+01,-2.133678891722180088e-02,5.704937523855364816e+02,5.138833270876863590e-02,nan,1.435670766028888146e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.481266962220770367e+00,1.095638240920269446e+01,-3.102655048780519551e-02,8.276977988134317457e+02,1.667359108313570815e-02,nan,2.665525450291010401e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.504361738756416145e+01,2.561137210386984009e+01,-2.487124769601195204e-02,6.643120670277914996e+02,9.908343034135680405e-03,nan,1.271324978893772695e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.105311919339397519e+01,3.259015255463540228e+01,-1.319282864789405631e-02,3.543212986093601558e+02,2.102538427063416204e-02,nan,1.245158088857602863e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.898452691142512805e+01,4.893610915220800450e+01,-1.377544186589884029e-03,4.069758857197246726e+01,3.657980481994255184e-01,nan,1.737939009079543595e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.855124764923080249e+01,9.176599411940930651e+00,-4.960385289083783095e-02,1.320811825920187403e+03,6.176474538100384937e-02,nan,9.440093385875760745e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.147632625977854701e+02,5.109619502195097418e+00,-2.602059075211032510e-02,6.948201123092923126e+02,2.367058084478235180e-02,nan,1.213175005103383874e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.524119883973455813e+01,1.801953090938510016e+01,-2.137797251412010616e-02,5.715869255964084914e+02,8.191985396244183537e-02,nan,6.715055328307481197e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.347183255939376636e+02,1.463780800673878879e+01,-6.796368545825837160e-02,1.808153355810370840e+03,1.200956504680084080e-02,nan,2.039140038497091112e+01,1.000000000000000000e+00
9.000000000000000000e+00,2.184247007977828758e+01,4.501668834716085144e+01,-3.375599995474229398e-02,9.001480280892402561e+02,1.204081204731204391e-01,nan,1.148353693530677866e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.081118451767106734e+02,2.276568927354908212e+01,-2.833063866214959037e-02,7.561377892796070910e+02,1.787318489430234081e-02,nan,7.034503203873137878e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.309016610826889746e+02,3.466884097233410955e+01,-2.344130715887261449e-02,6.263558707246689892e+02,1.423647332093658235e-02,nan,2.039140038497091112e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.781130340786671695e+01,1.101146466067423546e+01,-1.327735002235745469e-02,3.565648253838094206e+02,5.526325554313016308e-02,nan,9.440093385875760745e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.029351890415087070e+02,8.503679085420912998e+00,-1.892368022439772438e-02,5.064404404703172986e+02,1.550011246828987277e-01,nan,1.230540387420017368e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.952054268552512895e+01,2.319439171057821625e+01,-1.566039132192293196e-02,4.198200314679079383e+02,8.168953355479646739e-02,nan,6.715055328307481197e+00,1.000000000000000000e+00
1.300000000000000000e+01,9.654870435014977659e+01,2.567516934704696396e+01,-2.351072373187411760e-02,6.281984571841073830e+02,2.072612671364248982e-01,nan,4.584278222620127075e+00,1.000000000000000000e+00
1.300000000000000000e+01,7.106771411379681069e+01,4.081541990636930706e+01,-1.643116876643908528e-02,4.402794696265056018e+02,2.067674675836239651e-02,nan,2.106745838184469832e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.500145105439017357e+01,5.314600391342662533e+01,-2.533312300704919362e-02,6.765720383468556065e+02,1.264361822329618246e-02,nan,2.454433073763402362e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.896814991019991581e+01,3.389868924177727649e+01,-2.093753654283569618e-02,5.598960379330156911e+02,1.349009649283572365e-02,nan,1.148353693530677866e+01,1.000000000000000000e+00
1.500000000000000000e+01,9.201642365792018552e+01,2.636367392163743872e+01,-2.185265325695101915e-02,5.841868029956785904e+02,2.069080845871046348e-01,nan,4.584278222620127075e+00,1.000000000000000000e+00
1.600000000000000000e+01,3.690565265257716021e+01,2.431342407460354593e+01,-2.918825634390968815e-02,7.789023058706512757e+02,1.730875113981633628e-02,nan,2.033792794160273587e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.320957021387051356e+01,9.361468871557296012e+00,-3.428133439229207047e-02,9.140924520135524745e+02,1.530664472810738808e-02,nan,9.649508591018490122e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.126065597220432011e+02,1.119962538305439104e+01,-3.114838767050467222e-02,8.309318326095589100e+02,1.106109305816826982e-02,nan,1.075434555652645763e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.352577169765795020e+02,1.620878509370434628e+01,-1.953619378876107412e-02,5.226989382773733723e+02,1.577490959122718195e-02,nan,1.082806283788332635e+01,1.000000000000000000e+00
1.800000000000000000e+01,4.458165459896723348e+01,5.040347698730989201e+00,-2.012255342270272834e-02,5.382632088131543924e+02,7.883482899207017169e-02,nan,9.649508591018490122e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.176066113572879459e+02,2.072093999785768048e+01,-2.599967441913923760e-02,6.942649112924863175e+02,1.327023171448038497e-02,nan,1.075434555652645763e+01,1.000000000000000000e+00
