frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,4.363920267474354375e+01,2.531856733752967159e+01,-1.125009434671209174e-02,3.027535567450795497e+02,5.621745304186920311e-02,nan,1.348877807478639390e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.117275842420745491e+01,3.692585811221313463e+01,-2.237747140433754209e-02,5.981175225663644142e+02,2.067928925705020404e-02,nan,1.638985130367581888e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.641872094728606868e+01,5.261108534756522204e+01,-2.020844400841201663e-02,5.405430797917712198e+02,4.971356882331623428e-02,nan,1.638985130367581888e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.345516657562806984e+01,3.296547063676785427e+01,-3.489946329305681355e-02,9.305000027394004292e+02,1.026557155115725983e-02,nan,1.876253021982170566e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.543860731096997796e+01,1.878242289440142443e+01,-1.256533034752616539e-02,3.376650474925918388e+02,1.178853027460654568e-01,nan,6.071065693816562359e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.008299844092096720e+00,1.774759849532720679e+01,-1.896398864006065789e-03,5.447001440179064957e+01,3.552265683137370011e-01,nan,3.244047679555973929e+01,1.000000000000000000e+00
1.000000000000000000e+01,7.450333278519329383e+01,5.169870014603422703e+01,-1.956809812866204534e-02,5.235458038334933235e+02,2.345315457986918428e-02,nan,1.144422994149432604e+01,1.000000000000000000e+00
1.000000000000000000e+01,8.517313100142972360e+01,5.781939569596126205e+00,-2.696857134662297706e-02,7.199832128734991556e+02,1.377494212061736167e-02,nan,5.926373807422423923e+00,1.000000000000000000e+00
1.100000000000000000e+01,4.081011420038520754e+01,2.576543965399574532e+01,-3.012827078555617433e-02,8.038539536827221355e+02,6.515847406525565599e-02,nan,5.718509840800935606e+00,1.000000000000000000e+00
1.100000000000000000e+01,9.531509839989983845e+01,3.329533894685131656e+01,-3.417364821417526871e-02,9.112340410450018453e+02,1.262596316362307736e-01,nan,1.692580477955879559e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.350722346227007336e+02,3.212322021928239479e+01,-1.902833553188166410e-02,5.092184003167952255e+02,1.470572853774920752e-02,nan,2.067184886493414453e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.307541287425078735e+01,5.230947462395471348e+01,1.714205602443964185e-03,-4.963389498189380333e+01,3.125640218187893948e-01,nan,1.144422994149432604e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.389666021938041496e+01,2.465441044763881706e+01,-1.692225408623433680e-02,4.533147884496365805e+02,2.353225001483694179e-02,nan,6.071065693816562359e+00,1.000000000000000000e+00
