frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.295721009107293469e+02,2.129447319380393822e+01,-1.627880631216608231e-03,4.734249371822878061e+01,2.965749269972757229e-01,nan,4.805923986332675923e+01,1.000000000000000000e+00
9.000000000000000000e+00,3.627765265106613413e+01,4.453285798118589156e+01,-1.333824101775573810e-03,3.953708708362322000e+01,3.670627252137227403e-01,nan,1.579917116187893100e+01,1.000000000000000000e+00
1.100000000000000000e+01,3.894584625404429801e+01,2.524546017968694045e+01,-1.960757495165335856e-03,5.617834336697157482e+01,3.263022037461571490e-01,nan,7.468282763403153446e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.464188915544582414e+01,4.247923301962309495e+01,1.334696877959666572e-03,-3.956025396595973120e+01,3.212054219486557560e-01,nan,1.143139655493274986e+01,1.000000000000000000e+00
1.300000000000000000e+01,8.655446381000253098e+01,4.052063181956950189e+01,-1.483813348294847449e-03,4.351838640088863741e+01,2.810847891799614917e-01,nan,7.461461426861881741e+00,1.000000000000000000e+00
1.400000000000000000e+01,9.940502507415929756e+01,2.705481773932635292e+01,1.482227208535526544e-03,-4.347628406830533976e+01,3.475936590796624426e-01,nan,1.679458035852374564e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.114651572437135627e+02,1.536674084567982312e+01,1.714260823533245723e-03,-4.963536076487596915e+01,2.886036235443061315e-01,nan,1.679458035852374564e+01,1.000000000000000000e+00
2.000000000000000000e+01,9.388490018916253632e+01,4.386011313351821883e+01,-1.635650960418039363e-03,4.754874854690817898e+01,2.858838941955141877e-01,nan,1.298078215125882906e+01,1.000000000000000000e+00
2.500000000000000000e+01,9.515481557151470327e+01,2.908749705458301449e+01,-1.510849739731759444e-03,4.423603762767352521e+01,3.396553016372436673e-01,nan,1.482709920699088002e+01,1.000000000000000000e+00
2.700000000000000000e+01,7.995525087761798488e+01,2.054501285299464897e+01,-9.106181086848897516e-03,2.458457410459535311e+02,2.565583373733160144e-02,nan,1.638700594268779653e+01,1.000000000000000000e+00
3.200000000000000000e+01,6.406646830275325044e+01,2.455506921847879909e+01,1.379363373982850968e-03,-4.074587689726028827e+01,3.516730586728793462e-01,nan,1.638700594268779653e+01,1.000000000000000000e+00
3.500000000000000000e+01,7.888544214248143760e+01,1.075471943230313521e+01,1.792342728934463074e-03,-5.170795892693622164e+01,3.396063138994994679e-01,nan,2.024973184719607744e+01,1.000000000000000000e+00
4.900000000000000000e+01,3.161848616355869979e+01,3.108289293608062209e+01,1.353049063976072752e-03,-4.004739252657685711e+01,3.681879708725569467e-01,nan,1.307205854129083633e+01,1.000000000000000000e+00
5.000000000000000000e+01,7.298278683649489551e+01,3.480589829182024175e+01,-1.363739529776152298e-03,4.033115916437802895e+01,3.492554156175016189e-01,nan,2.080883004395231595e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.009882045239305768e+02,1.479432767472406418e+01,-1.268171996399907039e-03,3.779442427028885731e+01,3.703567868077973779e-01,nan,2.080224249224453104e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.476596428713497033e+01,3.054420509745684953e+01,-1.630893341171381523e-03,4.742246278510796031e+01,3.436790464867388595e-01,nan,1.686112920841370055e+01,1.000000000000000000e+00
5.700000000000000000e+01,8.055897510048673382e+01,1.087260893539046158e+01,1.802099106878134963e-03,-5.196693123160162742e+01,3.563756084177965855e-01,nan,2.080224249224453104e+01,1.000000000000000000e+00
6.000000000000000000e+01,2.623030299552908673e+01,4.031272743948680670e+01,-1.586809409611805201e-03,4.625230338572752942e+01,3.610202116783083337e-01,nan,7.508234883922603409e+00,1.000000000000000000e+00
6.700000000000000000e+01,1.011155259740376380e+02,4.132842168057263166e+01,-1.500454837323688057e-03,4.396011639451380404e+01,3.535318000556555429e-01,nan,1.428675575480359861e+01,1.000000000000000000e+00
6.700000000000000000e+01,1.437851953181565818e+02,4.702049108952494549e+01,-1.523745741866626251e-03,4.457834779781229884e+01,3.094269100996691613e-01,nan,3.379573644140180022e+01,1.000000000000000000e+00
6.900000000000000000e+01,8.744810305942438333e+01,4.629861882840158671e+01,-1.478043424967451702e-03,4.336523014244258434e+01,3.609413105239543951e-01,nan,5.906308493266991810e+00,1.000000000000000000e+00
7.100000000000000000e+01,1.129130433694910636e+02,3.327050797407343907e+01,-1.272355717128346043e-03,3.790547652814270663e+01,3.571192893331956997e-01,nan,9.790349023979880272e+00,1.000000000000000000e+00
7.400000000000000000e+01,9.766732919106976851e+01,4.645028723746646904e+01,1.577631798152857520e-03,-4.600869379981671159e+01,3.636749203832951860e-01,nan,1.022035156127284061e+01,1.000000000000000000e+00
7.500000000000000000e+01,6.247901442074920908e+01,4.004422204336214008e+01,1.718765978261480639e-03,-4.975494513415534925e+01,3.055130425658731941e-01,nan,2.440157187170109410e+01,1.000000000000000000e+00
7.800000000000000000e+01,1.299822503133382838e+02,2.968467496287720309e+01,1.497689190722765670e-03,-4.388670535219194591e+01,3.574219383824613905e-01,nan,1.264773851687116490e+01,1.000000000000000000e+00
8.000000000000000000e+01,6.102878923131999045e+01,1.568578291623950172e+01,1.315165475268265148e-03,-3.904181439775695139e+01,3.629608959489082354e-01,nan,1.553296847499784583e+01,1.000000000000000000e+00
8.200000000000000000e+01,8.897013009363607239e+01,1.885221264939655939e+01,1.567160382898913698e-03,-4.573074161745161348e+01,3.034075220018137564e-01,nan,1.164746120537836305e+01,1.000000000000000000e+00
8.200000000000000000e+01,9.710437146445444512e+01,3.245312082665655140e+01,1.518519101774673400e-03,-4.443961239435782318e+01,3.359917213069848474e-01,nan,1.584773125481975420e+01,1.000000000000000000e+00
