frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
6.200000000000000000e+01,4.503200231829691802e+01,2.000760541874377552e+01,1.050145655032383527e-03,-3.005576382428592908e+01,3.395985519056802238e-01,nan,5.493338735864528921e+00,1.000000000000000000e+00
8.200000000000000000e+01,1.375637917803382493e+02,2.340266833000097790e+01,-1.173747458929902052e-03,3.345061981608079549e+01,3.468904727230616158e-01,nan,4.865463775164857196e+01,1.000000000000000000e+00
2.480000000000000000e+02,5.317788409528007065e+01,2.942208734606816378e+01,-3.315188632119938587e-03,9.226759633778338809e+01,6.971156254527044460e-02,nan,1.901110694426072456e+01,1.000000000000000000e+00
2.540000000000000000e+02,7.342867860350278875e+01,4.834575242057250222e+01,9.916791664217731485e-04,-2.844991906377169855e+01,3.723906940983936487e-01,nan,4.616576149680474117e+01,1.000000000000000000e+00
9.300000000000000000e+02,5.014850254751667791e+01,2.161426910367152487e+01,-1.034300939122901773e-03,2.962057172313997100e+01,3.615299564024549994e-01,nan,6.745110491084329851e+01,1.000000000000000000e+00
1.400000000000000000e+03,8.973292113090010957e+01,3.366311562263895496e+01,-1.148030698097894783e-03,3.274428142256930840e+01,3.397702976655794238e-01,nan,2.850268351040051584e+01,1.000000000000000000e+00
2.275000000000000000e+03,6.293463855022152842e+01,9.931371283744391931e+00,-9.825488508674426642e-04,2.819914516331716925e+01,3.182731853300732050e-01,nan,inf,1.000000000000000000e+00

# Refeyn DiscoverMP; 2024.2.0; Refeyn Ltd; www.refeyn.com; email: support@refeyn.com
# Time created: 2025-04-29 17:02:09
# Time changed: 2025-04-29 19:13:01
# Version commit: 7e7eb900161f3a98afcd7f42c06596f8b321b884
