frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.113731749025693318e+01,1.107744254494547498e+01,-2.248532141798987791e-02,6.210380872695627659e+02,1.283982038650588464e-02,nan,1.533798375598447095e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.594407212313008770e+01,1.507916254273803425e+01,-3.575907303950322941e-02,9.891496494134867135e+02,1.386348475932475122e-02,nan,9.416946632470263978e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.013242348095026983e+02,1.939375955621602543e+01,-2.238384645522370486e-02,6.182239539237335748e+02,1.393083179480614220e-02,nan,1.255610744189401906e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.958917153997951743e+01,2.385964403218204666e+01,-7.491497007364559223e-03,2.052249634680403574e+02,4.003754934757630668e-02,nan,1.255610744189401906e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.477028707810603159e+01,2.785832728650740364e+01,-1.938904886521793103e-02,5.351713512687957746e+02,1.732336219688768164e-02,nan,6.786891064666025208e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.562811920758485940e+01,3.339990053709072981e+01,-4.034529099205183544e-02,1.116335987005413017e+03,9.715295465031026367e-03,nan,1.030510762680114389e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.083044541498206428e+02,4.303702278635505962e+01,-1.551710982760079287e-02,4.277936054510097392e+02,2.595073082831600431e-02,nan,9.930975142894393315e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.583707811216558525e+01,4.463296688571283255e+01,-1.181065526903817345e-02,3.250051236056337984e+02,3.180008510949761114e-02,nan,1.195783465346980812e+01,1.000000000000000000e+00
6.000000000000000000e+00,8.073669122647373797e+01,8.338832652447599969e+00,-2.176931550433173351e-02,6.011816018616386827e+02,1.205863784108707204e-02,nan,1.388975164773108695e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.684906716547519068e+01,8.095730254222715416e+00,-3.391191980057946254e-02,9.379238555544696965e+02,5.472386416436036960e-02,nan,1.388975164773108695e+01,1.000000000000000000e+00
7.000000000000000000e+00,3.326070522328004131e+01,2.100754882878444363e+01,-3.616076755064051573e-02,1.000289559079999549e+03,1.665254214160394319e-02,nan,9.416946632470263978e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.316604431234109711e+02,1.773677829699527564e+01,-6.244006154317196904e-03,1.706291822774951186e+02,3.869551099540335937e-02,nan,1.343835466391550426e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.132750070755893717e+02,3.443947250148215034e+01,-4.480496751299451949e-03,1.217230237391489709e+02,8.298183337065989651e-02,nan,9.930975142894393315e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.403282592914418103e+01,4.654331763867884320e+01,-2.124216009380832867e-02,5.865623738397821398e+02,1.449943860503919435e-01,nan,3.071712880128913081e+00,1.000000000000000000e+00
9.000000000000000000e+00,6.218477651179302512e+01,2.368709279271052282e+01,-3.248021956268967725e-02,8.982195258277281482e+02,5.182361681002278786e-02,nan,6.949852627988417630e+00,1.000000000000000000e+00
9.000000000000000000e+00,8.116041864955762719e+01,3.520690614643374516e+01,-3.584814968367697890e-02,9.916199489619725682e+02,7.677778510427279990e-03,nan,1.177483011841765226e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.994352204377380922e+00,2.824380998473318627e+01,-1.667618171550787516e-03,4.371545228254139204e+01,2.704750025905668931e-01,nan,6.786891064666025208e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.259961904196573670e+02,5.550490208278532123e+00,-2.475189212808771855e-02,6.838952891062695016e+02,1.332679516946222442e-02,nan,1.118232939782327584e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.149589234419501338e+02,7.345825392648319685e+00,-5.781566744919366778e-03,1.578046773263514808e+02,1.989744481509262419e-01,nan,5.614948451610047186e+00,1.000000000000000000e+00
1.100000000000000000e+01,6.416723445538380588e+01,3.034819720959600886e+01,-3.445878156848115187e-02,9.530895860426620629e+02,7.515792178847480187e-02,nan,6.483678231314264018e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.072933386262021038e+01,3.811108716626398518e+01,-1.821685541413564993e-03,4.798809364368256780e+01,2.814137718623803686e-01,nan,9.458044701239773033e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.136542879856544488e+02,2.253217458695036157e+01,-1.733864541092416597e-02,4.783089629925172517e+02,1.137920692362071051e-02,nan,9.823684056887215021e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.242534816719696522e+02,4.026272450632212241e+01,-1.687460384782758435e-02,4.654400266464176639e+02,1.728531160607438277e-02,nan,1.159721747554547200e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.192208937421123949e+01,2.633523139074717889e+01,-3.489219367681021394e-02,9.651090973909475679e+02,1.163304390299046975e-02,nan,1.394704878304198381e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.156642083003158490e+02,1.291630287512665021e+01,-1.575712000270374294e-02,4.344496378227765376e+02,2.451522309587317316e-02,nan,5.614948451610047186e+00,1.000000000000000000e+00
