frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,3.775058478919801530e+01,1.217618926740353835e+01,-2.583971850778673217e-03,6.672203366900338040e+01,3.077400107879598723e-01,nan,6.827664224534071735e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.477516963666405303e+01,1.572260213063973922e+01,-4.720513284864300517e-03,1.248510638991235169e+02,2.422101855729865694e-01,nan,7.869042919934840619e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.472781478068097272e+01,1.585523439296776971e+01,-1.947255878498366666e-03,4.939885827431598386e+01,3.620474301512059956e-01,nan,1.561329193219645362e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.430398466080152104e+02,1.636594575779944805e+01,-2.938069490965548348e-03,7.635599260022631540e+01,1.813773755262659826e-01,nan,6.285593523396616256e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.041309388198759400e+00,1.862752533913738517e+01,-2.001217753575975939e-03,5.086700273321469723e+01,2.703219423362496210e-01,nan,2.496892254858824245e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.016552671620812021e+01,2.148681066318753352e+01,-6.504470351621631161e-03,1.733873069171081056e+02,1.397099753058428373e-01,nan,6.336151986018411009e+00,1.000000000000000000e+00
5.000000000000000000e+00,3.492919312538070642e+01,2.864748477100849300e+01,-2.377688454136409665e-03,6.110966706188359865e+01,3.085935428058538266e-01,nan,9.404091204531400905e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.184577721484834711e+02,3.546969095195962751e+01,-2.481614081918182349e-03,6.393717878837453839e+01,2.138173840983297325e-01,nan,4.639617809656964909e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.275574942896547270e+01,4.755803873359713663e+01,-3.023971601612696590e-03,7.869313725231504009e+01,1.813784319933197109e-01,nan,2.914224865260183606e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.158096655205988412e+01,4.911633858358060678e+01,-3.270757480375988558e-03,8.540745768539268568e+01,1.472892292288631166e-01,nan,1.604656832030490321e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.101022251018498395e+02,5.176799330534834809e+01,-2.313111267914846197e-03,5.935271110017725960e+01,1.969237344589465089e-01,nan,5.438799932969651252e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.402632228576998443e+02,2.200501008537633041e+01,-3.139379534197170741e-03,8.183304883791441853e+01,2.182983988958964172e-01,nan,6.285593523396616256e+00,1.000000000000000000e+00
6.000000000000000000e+00,4.533512248460105809e+01,3.733421729507782771e+01,-2.408741381065491929e-03,6.195452618766360331e+01,1.731681048380786514e-01,nan,1.028853701336347193e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.896994032467243585e+01,2.770914102811510915e+01,-2.606739585573831456e-03,6.734147700067249787e+01,3.122705611198650644e-01,nan,6.336151986018411009e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.023975455533997518e+02,4.353013971001859517e+01,-2.309101636659083127e-03,5.924362078591539671e+01,2.605015310983490595e-01,nan,8.498908467845367909e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.299711250416417840e+02,1.355515834070942915e+01,2.220053810581086237e-03,-5.682089043702813314e+01,2.339273247161749447e-01,nan,9.299175754059529453e+00,1.000000000000000000e+00
8.000000000000000000e+00,9.227867739139506398e+01,9.791918176058997503e+00,-2.403937707383887665e-03,6.182383230632864013e+01,1.683364746981441673e-01,nan,8.753617487845213319e+00,1.000000000000000000e+00
8.000000000000000000e+00,6.848580306903895121e+01,3.463132606953681147e+01,-2.881122926786694981e-03,7.480664349899031151e+01,1.122367528847343365e-01,nan,1.604656832030490321e+01,1.000000000000000000e+00
8.000000000000000000e+00,8.359280863014394924e+01,8.704948541786006189e+00,2.035567260340481223e-03,-5.180155213405895154e+01,2.589981524418029091e-01,nan,8.753617487845213319e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.140257577093749290e+02,3.684202525205544987e+01,-3.237374953964024422e-03,8.449921698572691753e+01,1.349534023375843494e-01,nan,4.639617809656964909e+00,1.000000000000000000e+00
9.000000000000000000e+00,9.091659212813424062e+01,4.550304520110196904e+01,-3.203858859035547957e-03,8.358734227821544494e+01,2.614281000176357228e-01,nan,4.195510595831371425e+00,1.000000000000000000e+00
1.000000000000000000e+01,3.020927692082543814e+01,2.051364666067451381e+01,-3.009570059456600274e-03,7.830131350108956667e+01,1.426537828321429169e-01,nan,8.164142002101884898e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.190989208363964877e+02,5.819551396021636513e+00,-2.720882252757707113e-03,7.044696442320761776e+01,1.562536252995195829e-01,nan,1.054267843157080264e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.232416402123344454e+02,3.784949077466267653e+01,-7.621498640794585784e-03,2.037783726616499678e+02,3.156860656303883683e-02,nan,5.343111532475317560e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.152707268825717364e+02,5.007473193936102263e+01,-2.758453132651258587e-03,7.146915794506605835e+01,1.680666533723874645e-01,nan,5.438799932969651252e+00,1.000000000000000000e+00
1.100000000000000000e+01,5.572851565526674023e+01,1.260944765001484313e+01,-2.574844326309580229e-03,6.647370048092405170e+01,1.636512715176233757e-01,nan,1.248304157943121773e+01,1.000000000000000000e+00
1.200000000000000000e+01,9.520545602804145346e+01,4.805841680004358096e+01,-5.207338899655889440e-03,1.380961619943673497e+02,1.014380954738627327e-01,nan,4.992422013472490150e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.210501178993905427e+02,1.618009667765964466e+01,-2.976124304325200153e-03,7.739135253329096997e+01,1.408504512580869283e-01,nan,9.299175754059529453e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.119996072384402765e+02,1.986146255345000000e+01,-2.323682170498236714e-03,5.964031437621320464e+01,1.646721918658763384e-01,nan,9.770578178153435545e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.274823618240582874e+02,2.996687301737739517e+01,-2.689782922018165746e-03,6.960084278575433814e+01,1.764444031844184524e-01,nan,8.950943106489443579e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.001143066157104471e+02,1.490709288756307238e+01,-2.657727779992576523e-03,6.872871632468539360e+01,2.940354647065289706e-01,nan,5.271785253424943640e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.874644453779265874e+01,2.895131414955644900e+01,-2.537069485550123415e-03,6.544595778171252221e+01,1.591465086674693774e-01,nan,9.018270204748315422e+00,1.000000000000000000e+00
1.300000000000000000e+01,4.801635311180552179e+01,4.618891812917767226e+01,-2.299005788167176288e-03,5.896894233932776075e+01,1.765537577502664934e-01,nan,1.124903605690555963e+01,1.000000000000000000e+00
1.300000000000000000e+01,8.826590689051120364e+01,4.875514866359829824e+01,-3.261782176298539965e-03,8.516326596801286541e+01,1.737906813575340603e-01,nan,4.195510595831371425e+00,1.000000000000000000e+00
