frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
6.000000000000000000e+00,5.175453370578070889e+01,4.324517484887170582e+01,-1.232081513210505231e-03,3.505282712580897453e+01,3.186060209957557454e-01,nan,3.522643402757640985e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.045090796635111587e+02,2.905511647588564017e+01,-1.107175355981832292e-03,3.162214567207053406e+01,3.456084317191993049e-01,nan,1.077550258976915387e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.134386941557282285e+02,3.508615627699030881e+01,-1.017998868995720644e-03,2.917281789831871208e+01,3.649066211615465960e-01,nan,1.077550258976915387e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.349419699053570696e+02,3.327255281044341473e+01,-1.216586304814518214e-03,3.462723462304225563e+01,2.781158323538698296e-01,nan,2.157962060598950416e+01,1.000000000000000000e+00
1.300000000000000000e+01,7.816252570836074653e+01,3.992540200971359354e+01,-1.027409185313058479e-03,2.943128231976912446e+01,3.269565594076113690e-01,nan,2.208076001562163881e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.613317070205587811e+01,3.841958632588440281e+01,-1.364113750425804744e-03,3.867923400246007049e+01,2.428919936612450314e-01,nan,2.208076001562163881e+01,1.000000000000000000e+00
2.000000000000000000e+01,4.442594477734233749e+01,1.470264509946896681e+01,-1.437232108095735797e-03,4.068750804716395919e+01,2.886534507201854449e-01,nan,5.744426528167211998e+00,1.000000000000000000e+00
2.100000000000000000e+01,2.828086813167598024e+01,5.121843910980100389e+01,-1.187449049751526393e-03,3.382694869018428818e+01,3.097424680266565034e-01,nan,2.698124072237695614e+01,1.000000000000000000e+00
2.100000000000000000e+01,8.189272090713087948e+01,1.101460818513912088e+01,-1.369419346460589359e-03,3.882495788286286853e+01,2.627798815913152675e-01,nan,1.239405167615744752e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.264568383509919158e+02,2.174630571748633656e+01,-1.246188970353783506e-03,3.544030355335009119e+01,2.992065152146894391e-01,nan,1.840743260518872404e+01,1.000000000000000000e+00
2.300000000000000000e+01,3.868740857387246734e+01,1.496271889472103744e+01,-1.049799123237299837e-03,3.004624595720153835e+01,3.194090317823985448e-01,nan,5.744426528167211998e+00,1.000000000000000000e+00
2.300000000000000000e+01,7.101781296088694262e+01,1.734704818770791590e+01,-1.042648958018187752e-03,2.984985900756970167e+01,3.368975294704100731e-01,nan,1.258425282745912632e+01,1.000000000000000000e+00
2.400000000000000000e+01,9.314996153752268526e+01,5.829335738997344585e+00,-1.438436645798169249e-03,4.072059196590546293e+01,2.760879332679028186e-01,nan,1.239405167615744752e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.996673028666779359e+01,2.555012278766847444e+01,-1.272291295280381790e-03,3.615723187787770598e+01,2.885200624540621428e-01,nan,2.150713641388399822e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.817174902818334203e+01,3.636285632564722192e+01,-1.345081476974818073e-03,3.815649221775171895e+01,3.249555193187967372e-01,nan,1.317266101202960371e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.169481324122232735e+02,4.240888952627435060e+01,-1.238566917268502663e-03,3.523095569781394687e+01,2.903967326908946101e-01,nan,7.415656340740776287e+00,1.000000000000000000e+00
2.900000000000000000e+01,1.317454641528363481e+02,1.286970967955201672e+01,-1.093322354401767569e-03,3.124165813923954715e+01,3.718166078758026183e-01,nan,2.974518329727469634e+01,1.000000000000000000e+00
3.000000000000000000e+01,4.584360935834283168e+01,4.100354274241247055e+01,-1.432080907476590906e-03,4.054602480229690542e+01,2.935390590434452385e-01,nan,1.317266101202960371e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.681108025202985701e+01,3.136887804997258300e+01,-1.135421746550335613e-03,3.239796305696540912e+01,3.228683724669811905e-01,nan,1.726784359390734380e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.028710247946641587e+01,1.538087828743990215e+01,-1.221711308265375140e-03,3.476799833461021905e+01,3.415084000595672853e-01,nan,1.726784359390734380e+01,1.000000000000000000e+00
4.900000000000000000e+01,5.193362755873759085e+01,4.772506583113987233e+01,-1.191695252432397028e-03,3.394357519690971259e+01,3.287612009528327883e-01,nan,3.501220249397857032e+01,1.000000000000000000e+00
5.400000000000000000e+01,9.364968957137703853e+01,7.059419319645134472e+00,-1.252626282659685761e-03,3.561711123385018141e+01,3.586874654500148418e-01,nan,2.960665709267241752e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.300962756899161548e+02,3.487806389977752985e+01,-1.484272483651229548e-03,4.197952236876120935e+01,2.623432503285999529e-01,nan,3.066387044684870133e+01,1.000000000000000000e+00
5.700000000000000000e+01,9.574792478410780916e+01,4.238871541862194192e+01,-1.042297104476482125e-03,2.984019497301173018e+01,3.562227972350646699e-01,nan,7.308439955966374413e+00,1.000000000000000000e+00
5.900000000000000000e+01,9.945640639731155375e+01,3.609106040151473849e+01,-1.251602906285121265e-03,3.558900310510529152e+01,3.411083781830708261e-01,nan,7.308439955966374413e+00,1.000000000000000000e+00
6.000000000000000000e+01,6.121942500384308516e+01,1.014537871183084228e+01,-1.873251326124464279e-03,5.266324309460577524e+01,1.979915007077232003e-01,nan,1.999394223132864923e+01,1.000000000000000000e+00
6.300000000000000000e+01,7.495138166009791547e+00,5.708929879646779781e+00,-1.184525021084692226e-03,3.374663710955385909e+01,3.278995715135795130e-01,nan,7.997575537778511823e+00,1.000000000000000000e+00
6.400000000000000000e+01,8.316904271466786014e+00,1.366417437308601635e+01,-1.244562466565129252e-03,3.539562988388513531e+01,3.597452310053762536e-01,nan,7.997575537778511823e+00,1.000000000000000000e+00
6.700000000000000000e+01,4.425950779103192190e+01,3.210164284848422511e+01,-1.279544900910229528e-03,3.635645992923383574e+01,2.690273953108953675e-01,nan,8.477351042015635940e+00,1.000000000000000000e+00
6.900000000000000000e+01,1.102764655778663041e+02,1.985552601236796022e+01,-1.254708855440254001e-03,3.567431132688702888e+01,3.661150115738583954e-01,nan,1.594838811238192378e+01,1.000000000000000000e+00
7.000000000000000000e+01,1.168353913643738196e+02,5.318278132860235985e+00,-2.293211755291180154e-03,6.419790629786662350e+01,1.479738646775130562e-01,nan,1.594838811238192378e+01,1.000000000000000000e+00
7.300000000000000000e+01,9.984470969063735879e+01,4.522259335053342966e+01,-2.036381757111050805e-03,5.714379518701751692e+01,1.485242459544628968e-01,nan,1.796810280329644982e+01,1.000000000000000000e+00
7.300000000000000000e+01,6.350354224919179558e+01,2.876211846479359480e+01,-1.134747714295280445e-03,3.237945003880885508e+01,3.196603360848427888e-01,nan,1.852428583254735983e+01,1.000000000000000000e+00
7.500000000000000000e+01,1.200517231806101535e+02,2.424389242926487142e+01,-1.187321854619988572e-03,3.382345513959835159e+01,2.986020688896569020e-01,nan,1.157117134982368434e+01,1.000000000000000000e+00
7.500000000000000000e+01,1.296399623986890788e+02,3.541696575472347774e+01,-1.060892327164312914e-03,3.035093269018035045e+01,3.602958078063600578e-01,nan,1.472317556912167724e+01,1.000000000000000000e+00
7.600000000000000000e+01,1.104723359016689983e+02,3.073445063076347950e+01,-1.365796763444740219e-03,3.872545975848819211e+01,2.449559313043171427e-01,nan,1.157117134982368434e+01,1.000000000000000000e+00
8.000000000000000000e+01,4.330596650185086816e+01,9.595799788430625199e+00,-1.274899545857675811e-03,3.622887027490118328e+01,3.686952112675121462e-01,nan,2.837308934704378416e+01,1.000000000000000000e+00
8.500000000000000000e+01,7.737820694793022369e+01,4.310757528965824292e+01,-1.062923165509866352e-03,3.040671184152255435e+01,3.569627334709298827e-01,nan,1.634882257980638798e+01,1.000000000000000000e+00
8.800000000000000000e+01,2.718294647562226984e+01,3.134665698292010916e+01,-1.233240308070336850e-03,3.508465466836184987e+01,2.824101752728933601e-01,nan,4.011318955217007698e+01,1.000000000000000000e+00
8.800000000000000000e+01,1.124430987114639748e+02,3.293339662649062660e+01,-9.065583189091022676e-04,2.611198377405179016e+01,3.478184071563814594e-01,nan,2.218282552135206132e+01,1.000000000000000000e+00
8.900000000000000000e+01,9.364778387813525740e+01,4.471532721645770181e+01,-1.231166686139061051e-03,3.502770041999225725e+01,2.857496186577516140e-01,nan,1.634882257980638798e+01,1.000000000000000000e+00
9.600000000000000000e+01,1.144466538608048864e+02,1.961183255952526849e+01,-3.299980394227970681e-03,9.184988578741797483e+01,5.833714245570309487e-02,nan,1.013162122248010988e+01,1.000000000000000000e+00
9.900000000000000000e+01,1.025867703230701125e+02,2.191955649059525868e+01,-1.251141565122481465e-03,3.557633187571492073e+01,3.274851261347460074e-01,nan,1.208231878699885264e+01,1.000000000000000000e+00
1.000000000000000000e+02,1.168491477647084906e+02,9.769181918690993172e+00,-1.362960103319463745e-03,3.864754784847298197e+01,2.846254783587066628e-01,nan,1.013162122248010988e+01,1.000000000000000000e+00
1.020000000000000000e+02,6.039343205494631661e+01,2.421518472095349139e+01,-1.163107523597350186e-03,3.315838259075702865e+01,3.422322145050497033e-01,nan,1.820263725377257202e+01,1.000000000000000000e+00
1.100000000000000000e+02,3.067067961270516463e+01,5.129397726018512316e+01,-1.603247819368369079e-03,4.524730745440627544e+01,2.404493778378780089e-01,nan,3.758936397528547246e+01,1.000000000000000000e+00
1.110000000000000000e+02,9.357602743622717867e+01,1.275944149163918695e+01,-1.395244220872945929e-03,3.953426573170971636e+01,2.456628010036063792e-01,nan,3.168695135879888980e+01,1.000000000000000000e+00
1.140000000000000000e+02,8.633120745281686936e+01,4.360705841455343545e+01,-1.960420399435637822e-03,5.505743510069497404e+01,2.492737881846260883e-01,nan,1.036317514152744756e+01,1.000000000000000000e+00
1.190000000000000000e+02,1.086428065552825331e+02,3.371303711564605976e+01,-1.405633670759327738e-03,3.981962310584221143e+01,2.036064125770324917e-01,nan,1.879286139889363128e+01,1.000000000000000000e+00
