frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,6.464038158592289562e+01,3.252194112980232887e+01,-1.408991901059746844e-03,3.991186049961567051e+01,2.679683104416834549e-01,nan,1.378617391789991764e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.248652926222383996e+01,4.360762905964610070e+01,-2.440443547239108234e-03,6.824178523260727047e+01,1.435889719768774775e-01,nan,1.162716706239132236e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.383699579222115972e+01,4.108613675385409891e+01,-1.035702741225088576e-03,2.965907372000294018e+01,2.945280265730017000e-01,nan,1.162716706239132236e+01,1.000000000000000000e+00
1.000000000000000000e+01,9.280992952720444578e+01,1.111391058546059796e+01,-1.252636024738069129e-03,3.561737881047227461e+01,2.650650522462832948e-01,nan,1.426325223782773044e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.003465052588766326e+02,3.288465235203167225e+01,-1.112105425397103995e-03,3.175755531146606359e+01,3.387981244237689982e-01,nan,2.303834132106633348e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.563884358688788723e+01,3.248110654724685986e+01,-1.838787125175710873e-03,5.171664688481011041e+01,1.623495964850607542e-01,nan,9.845928007461624887e+00,1.000000000000000000e+00
1.300000000000000000e+01,7.335576704644161339e+01,4.201188928614084261e+01,-1.426849785871343044e-03,4.040234644190576319e+01,2.233710964506244734e-01,nan,8.126785752653702843e+00,1.000000000000000000e+00
1.300000000000000000e+01,7.534531202431834629e+01,3.413239961671803968e+01,-1.056711636694622914e-03,3.023610554653579285e+01,3.472882808127376597e-01,nan,8.126785752653702843e+00,1.000000000000000000e+00
1.400000000000000000e+01,4.465513319203566311e+01,1.867057173792870728e+01,-1.861227929472028661e-03,5.233300762165838194e+01,2.225417616286666789e-01,nan,1.591812797990002082e+01,1.000000000000000000e+00
1.500000000000000000e+01,7.994917662518818702e+01,1.728168159232994583e+01,-1.464917199396576115e-03,4.144790874620207433e+01,2.720132107326824755e-01,nan,1.426325223782773044e+01,1.000000000000000000e+00
1.800000000000000000e+01,8.842979849447625895e+01,5.241631424686295304e+01,-1.476317517517102733e-03,4.176103069959950886e+01,2.365357596625399239e-01,nan,9.149891016514159148e+00,1.000000000000000000e+00
2.100000000000000000e+01,9.752465652130840112e+01,5.341834373038800265e+01,-1.371828184449079557e-03,3.889111919945068507e+01,3.225688145575662524e-01,nan,9.149891016514159148e+00,1.000000000000000000e+00
2.400000000000000000e+01,1.366832892098638865e+02,2.827936527777235654e+01,-1.740326036453242057e-03,4.901230757528624338e+01,2.467311811936786503e-01,nan,1.290504425520447462e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.115363723932965740e+02,1.209183222865905627e+01,-2.970200666998397583e-03,8.279213219762371523e+01,8.572146603830543832e-02,nan,1.994868277501490539e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.237858396788252975e+02,2.783668839437038400e+01,-1.102389137879933659e-03,3.149068706314327670e+01,3.106201843807665508e-01,nan,1.255620660969306890e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.357672901541465649e+02,4.971463035160408594e+01,-2.060311156142675178e-03,5.780104177340161442e+01,1.342085994449293551e-01,nan,2.145482796611302234e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.516961601233071555e+01,3.043085233655104460e+01,-1.368571889999979814e-03,3.880168158306491932e+01,2.602618466568072941e-01,nan,8.172549731010290586e+00,1.000000000000000000e+00
2.900000000000000000e+01,1.898445883389173616e+01,3.765840678827402854e+01,-1.107163774748143011e-03,3.162182758107717717e+01,2.778755425272704249e-01,nan,8.172549731010290586e+00,1.000000000000000000e+00
3.000000000000000000e+01,5.801307432698446576e+01,1.068430902601515875e+01,-1.928783755689547717e-03,5.418850077939054444e+01,1.387916080581484968e-01,nan,1.407742195133215013e+01,1.000000000000000000e+00
