frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,3.814463842868587307e+01,4.836063891382599422e+01,-2.037172009145150203e-03,5.716550030594292764e+01,1.835082283446909379e-01,nan,2.707217821046893746e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.164184082926757924e+01,3.491503322254207831e+01,-1.218372648276129944e-03,3.467629846040407671e+01,3.539726776634440908e-01,nan,1.348845218351583419e+01,1.000000000000000000e+00
8.000000000000000000e+00,7.262793467452739549e+01,2.708917324870294152e+01,-1.672812975760296431e-03,4.715798901851266578e+01,2.067717333023763038e-01,nan,1.348845218351583419e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.206786645388447710e+01,2.164005032923436644e+01,-1.252415043698886952e-03,3.561130932943490990e+01,2.639414085563194234e-01,nan,1.636722811468407102e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.306966503163525317e+02,4.611163293574356459e+01,-1.665186787329799804e-03,4.694852758128886450e+01,2.589624497366894706e-01,nan,7.868601510922021980e+00,1.000000000000000000e+00
1.300000000000000000e+01,8.975841228094358826e+01,1.663087810553876977e+01,-1.440529061805621023e-03,4.077806241371636276e+01,2.677412831939930404e-01,nan,1.892464619176938001e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.592626736064265458e+01,1.392826680616980539e+01,-1.221277150968078313e-03,3.475607373921085497e+01,2.830440982309807563e-01,nan,2.398489606685220465e+01,1.000000000000000000e+00
1.500000000000000000e+01,2.457950769183906559e+01,2.533627317967649972e+01,-1.377590905400640896e-03,3.904939850553322600e+01,2.977499088823541973e-01,nan,1.177837463289781184e+01,1.000000000000000000e+00
1.800000000000000000e+01,9.865222859371735709e+00,4.174982418211576629e+01,-1.496997783737127625e-03,4.232903637164596944e+01,2.133903576461372298e-01,nan,2.204347601084396047e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.220322666574932811e+02,4.316949318707651173e+01,-1.273168414935729308e-03,3.618132290910526194e+01,3.692227473648780345e-01,nan,2.484030122653495098e+01,1.000000000000000000e+00
2.000000000000000000e+01,4.344437511447070932e+01,2.571583694818826515e+01,-1.652689060253139655e-03,4.660526411496280019e+01,1.652442108502513163e-01,nan,9.623240520014949340e+00,1.000000000000000000e+00
2.900000000000000000e+01,1.115628816684362903e+02,1.171847482475970459e+01,-1.368470753890882984e-03,3.879890377145434854e+01,3.592084262844041920e-01,nan,1.777799860013629285e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.024376271338382054e+02,3.164198013977244983e+01,-1.210110369973029345e-03,3.444936613321559804e+01,3.283213916909217822e-01,nan,1.029434496576315539e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.125006054664183921e+02,2.947172546528032910e+01,-1.061911889351647683e-03,3.037893605818581122e+01,3.273455497865309649e-01,nan,1.029434496576315539e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.196792411937895793e+02,4.381635757779484663e+01,-1.319132189941599328e-03,3.744376724295629799e+01,3.424825314222522676e-01,nan,1.604061349667377101e+01,1.000000000000000000e+00
3.400000000000000000e+01,4.602540230543780808e+01,1.417773062796014472e+01,-1.284827283569870597e-03,3.650154622941360572e+01,3.516894799971156393e-01,nan,1.313717554545323551e+01,1.000000000000000000e+00
3.900000000000000000e+01,4.952653960518161114e+01,2.683977702340496663e+01,-1.165891999932568450e-03,3.323486121705980167e+01,3.274535114437976402e-01,nan,1.313717554545323551e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.228946589194666075e+02,4.762915173152781279e+01,-1.066461627341697138e-03,3.050389948743659119e+01,3.459684393888992071e-01,nan,8.442455361030418715e+00,1.000000000000000000e+00
4.700000000000000000e+01,2.194961698242349613e+01,3.762267750504251751e+01,-3.850305740680794956e-03,1.069651611388278525e+02,7.192139261034191655e-02,nan,5.263773474304110778e+01,1.000000000000000000e+00
5.600000000000000000e+01,1.414506656781524541e+01,5.235290626692467697e+01,-2.132378460139926039e-03,5.978044750270975527e+01,1.608866882258204178e-01,nan,1.008370625489863137e+01,1.000000000000000000e+00
6.000000000000000000e+01,4.199574660731340003e+01,1.362024107011913365e+01,-1.612138304672274761e-03,4.549149416003844237e+01,2.752747936251314087e-01,nan,1.280658684597095309e+01,1.000000000000000000e+00
6.100000000000000000e+01,2.924858727999979990e+01,1.485255423140489306e+01,-1.298444058200307581e-03,3.687554553593980700e+01,3.256913710255208150e-01,nan,1.040738316566248756e+01,1.000000000000000000e+00
6.100000000000000000e+01,7.347202802655293397e+01,4.845084246866242239e+01,-1.560820013771400776e-03,4.408198230940272566e+01,2.363432243874791228e-01,nan,2.601230459397887884e+01,1.000000000000000000e+00
6.300000000000000000e+01,7.371190076198359975e+00,3.450941322903050690e+01,-1.251102220439340423e-03,3.557525123183194182e+01,3.713636533440688448e-01,nan,2.058605007067826875e+01,1.000000000000000000e+00
6.400000000000000000e+01,1.231209256173487034e+02,5.630763119756532653e+00,-1.256159475769361373e-03,3.571415416866442882e+01,3.022018398870062184e-01,nan,1.639333753386695136e+01,1.000000000000000000e+00
6.500000000000000000e+01,1.374555407124439625e+02,4.377217651088109562e+01,-1.247328088957823551e-03,3.547159066645320280e+01,2.953771745975231067e-01,nan,2.777862662665330618e+01,1.000000000000000000e+00
6.700000000000000000e+01,5.631891939065289421e+01,3.358318972225818300e+01,-3.520773754326560461e-03,9.791421201764599402e+01,7.478920263188759687e-02,nan,1.078521807846435365e+01,1.000000000000000000e+00
6.700000000000000000e+01,6.694649753408758386e+01,3.542044631980344604e+01,-1.189010307673946760e-03,3.386983031201773997e+01,3.683773389378992569e-01,nan,1.078521807846435365e+01,1.000000000000000000e+00
6.800000000000000000e+01,2.685374143803485936e+01,1.100904373891645172e+01,-1.171426966750195022e-03,3.338688501179976242e+01,3.392953889900506281e-01,nan,2.048938420139772987e+01,1.000000000000000000e+00
6.900000000000000000e+01,1.149272762889873718e+02,2.752011820032140932e+01,-1.048249203762623323e-03,3.000367575798528819e+01,3.666874113963255466e-01,nan,2.279574091781035960e+01,1.000000000000000000e+00
7.000000000000000000e+01,9.213222711079318117e+01,2.734253172661918896e+01,-1.805253491646452869e-03,5.079560970635724715e+01,1.499230619475163673e-01,nan,2.279574091781035960e+01,1.000000000000000000e+00
7.300000000000000000e+01,2.707593168029743680e+01,3.149722317118251524e+01,1.021470770774231349e-03,-2.926817740104468157e+01,3.538726332086474802e-01,nan,4.164752019229494451e+00,1.000000000000000000e+00
7.300000000000000000e+01,4.725468571333459522e+01,4.123421893522874626e+01,-1.189124034178508068e-03,3.387295393233120677e+01,2.989366914196540659e-01,nan,1.219482904195917250e+01,1.000000000000000000e+00
7.400000000000000000e+01,4.925660380600389487e+01,5.326360708728594773e+01,-1.266264127202511563e-03,3.599168924809798398e+01,3.744564966079760859e-01,nan,1.219482904195917250e+01,1.000000000000000000e+00
7.600000000000000000e+01,9.039658380767851042e+01,2.336200064105483420e+01,-1.478780593725629710e-03,4.182868172702058729e+01,3.064447551658325830e-01,nan,2.361667544062232338e+01,1.000000000000000000e+00
7.800000000000000000e+01,1.081396409670747687e+02,3.894825360660401969e+01,-1.237411667742417242e-03,3.519922553165147860e+01,2.950436068818848012e-01,nan,1.178481723661809433e+01,1.000000000000000000e+00
7.900000000000000000e+01,1.538325782238495698e+01,3.673262567658172628e+01,-1.310709048121728787e-03,3.721241662690351859e+01,3.028293355007096732e-01,nan,1.078580627501823130e+01,1.000000000000000000e+00
8.000000000000000000e+01,2.158822683372024542e+01,5.352225804665263809e+01,-1.606961237731151237e-03,4.534930046892073108e+01,2.161114931341916456e-01,nan,1.789953618264350865e+01,1.000000000000000000e+00
8.200000000000000000e+01,7.227970591991839910e+01,7.578671562799578432e+00,-1.154662967747417234e-03,3.292644381542199739e+01,3.650900249042476897e-01,nan,2.873966743127097345e+01,1.000000000000000000e+00
8.400000000000000000e+01,1.374240171472029886e+02,4.495171678251879399e+01,-2.115549339462793194e-02,5.822706837414516485e+02,1.063470494954954493e-02,nan,1.691049986003597283e+01,1.000000000000000000e+00
8.900000000000000000e+01,1.226907988786463655e+01,2.888855977023611388e+01,-9.296814812963651942e-04,2.674708620706103446e+01,3.749128910962586936e-01,nan,2.113015144963225467e+01,1.000000000000000000e+00
9.400000000000000000e+01,1.012668362500720320e+02,4.868951340224442248e+01,-1.074741603213963739e-03,3.073131789732636321e+01,3.300457965333651877e-01,nan,9.614779358891169636e+00,1.000000000000000000e+00
9.600000000000000000e+01,4.400336277659923212e+01,3.264735111602615092e+01,-1.285452751894240742e-03,3.651872538717432803e+01,3.439746620753487694e-01,nan,6.383205124173994882e+00,1.000000000000000000e+00
9.800000000000000000e+01,1.108961612729290067e+02,5.102222288568557929e+01,-1.379841259541533154e-03,3.911120689342052970e+01,2.498413890350161815e-01,nan,9.907847088543292102e+00,1.000000000000000000e+00
1.030000000000000000e+02,1.158912555339457384e+02,9.863420541971034794e+00,-1.173139219529529230e-03,3.343391386917962649e+01,3.644354778186802424e-01,nan,2.534345346789594444e+01,1.000000000000000000e+00
1.100000000000000000e+02,1.140029849077791226e+02,1.297916103304325475e+01,-1.451614013134588412e-03,4.108252248024662379e+01,2.868214611289626736e-01,nan,2.433029436933453127e+01,1.000000000000000000e+00
1.170000000000000000e+02,8.568656483469625584e+01,1.829220660062322423e+01,-1.267113948757066450e-03,3.601503050773549575e+01,2.759622854846033313e-01,nan,1.918718583356567819e+01,1.000000000000000000e+00
1.190000000000000000e+02,1.750657926290439192e+01,1.509072448389191479e+01,-1.026482669159628101e-03,2.940583456079000868e+01,3.645489203577410020e-01,nan,1.440222514423984990e+01,1.000000000000000000e+00
1.240000000000000000e+02,7.376592775376587952e+01,2.788653494963621426e+01,-1.431233346436911564e-03,4.052274563012274911e+01,3.087799379035605085e-01,nan,3.793390250635270800e+00,1.000000000000000000e+00
1.260000000000000000e+02,1.436928528341693436e+02,4.778342474243097371e+01,-1.774527866902199467e-03,4.995169749815715221e+01,1.993827534479568619e-01,nan,1.402056465394900009e+01,1.000000000000000000e+00
1.260000000000000000e+02,1.297727840472682601e+02,4.610774034985991676e+01,-1.375031470129191085e-03,3.897910087319367989e+01,2.859753492252127272e-01,nan,1.402056465394900009e+01,1.000000000000000000e+00
1.270000000000000000e+02,5.846054616540689608e+01,2.888787957582059818e+01,-1.204306693057356119e-03,3.428996192769162121e+01,3.528252991196620947e-01,nan,1.533810277138820410e+01,1.000000000000000000e+00
1.290000000000000000e+02,6.736605702085854830e+01,4.834200852797001602e+01,-1.078598342711845721e-03,3.083724738039468605e+01,3.507680320444098721e-01,nan,8.744680699996910889e+00,1.000000000000000000e+00
1.290000000000000000e+02,7.898260982677221875e+01,4.879222291428691705e+01,-1.325254767088897929e-03,3.761193038506518604e+01,3.532154019890297869e-01,nan,7.226115973138043991e+00,1.000000000000000000e+00
1.320000000000000000e+02,1.113764547705148686e+02,1.276050476826255498e+01,-1.252227957812789439e-03,3.560617081509797544e+01,3.086819946982056750e-01,nan,1.589868494094480944e+01,1.000000000000000000e+00
1.360000000000000000e+02,1.428428518896793875e+01,6.616940037372473604e+00,-1.388260628479332480e-03,3.934245388322432291e+01,2.640742213739702970e-01,nan,2.737312744643812223e+01,1.000000000000000000e+00
1.370000000000000000e+02,5.107239249742080034e+01,5.083474206499034409e+01,1.870739410785750203e-03,-5.259425064813965633e+01,3.050768062165698513e-01,nan,1.211512924937647284e+01,1.000000000000000000e+00
1.400000000000000000e+02,3.679045792470329701e+01,2.219770686664587700e+01,-2.282582314608707155e-03,6.390595731935300705e+01,1.470611496470358714e-01,nan,1.768685585409460259e+01,1.000000000000000000e+00
1.420000000000000000e+02,3.914759871970819916e+01,5.297381898930236588e+01,-1.179978042551166513e-03,3.362174947173345174e+01,3.479478854826153489e-01,nan,1.211512924937647284e+01,1.000000000000000000e+00
1.470000000000000000e+02,9.550783411010142743e+01,4.891573689358860832e+01,-1.104717483892411452e-03,3.155463758135728014e+01,3.428693725213266541e-01,nan,2.080835467794943838e+01,1.000000000000000000e+00
1.480000000000000000e+02,1.969459475195460740e+01,4.050226201101389734e+01,-3.933054541942722533e-03,1.092379456364620154e+02,6.473075787463211661e-02,nan,7.211153073177792194e+00,1.000000000000000000e+00
1.490000000000000000e+02,7.099768358819852665e+01,6.049146841875995051e+00,-1.287845811203138652e-03,3.658445332541921857e+01,3.099657026070381516e-01,nan,2.871854744526118708e+01,1.000000000000000000e+00
1.560000000000000000e+02,1.289906595984128899e+02,9.898219023108982384e+00,-1.588087620203265660e-03,4.483091633915097418e+01,2.376639388180372681e-01,nan,1.471423414295566623e+01,1.000000000000000000e+00
1.560000000000000000e+02,1.251595641412383202e+02,2.410495665043703184e+01,-1.132240746386189685e-03,3.231059347879885735e+01,3.267228255958881666e-01,nan,1.471423414295566623e+01,1.000000000000000000e+00
1.570000000000000000e+02,9.680888615058944424e+01,3.255414621548459309e+01,-1.621903400876086943e-03,4.575970299124168150e+01,2.443827936725611050e-01,nan,7.162472652601980627e+00,1.000000000000000000e+00
1.580000000000000000e+02,1.035619935622399197e+02,3.494089186301025052e+01,-1.206287802036372326e-03,3.434437520869347082e+01,3.697733099110107613e-01,nan,7.162472652601980627e+00,1.000000000000000000e+00
