frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
1.000000000000000000e+01,1.131734792562847787e+02,2.390836287331137910e+01,-1.663429496674279952e-03,4.690026171037841607e+01,2.210002422622306950e-01,nan,3.035121594611585394e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.890829567398218813e+01,2.781658244280463421e+01,-1.114162874220995213e-03,3.181406534811075204e+01,3.747789198605632199e-01,nan,2.219609801771232327e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.672499539593519557e+01,3.732998477364856882e+01,-1.531788768093905609e-03,4.328460803791369926e+01,2.290076845535115035e-01,nan,3.355994101150129438e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.212737935926412263e+02,4.405995482811039921e+01,1.381873543937585987e-03,-3.916702576208924569e+01,3.427631287383426928e-01,nan,2.266393118257454020e+01,1.000000000000000000e+00
1.900000000000000000e+01,2.849945512137655257e+01,1.841678204828378895e+01,-1.551207791806260942e-03,4.381797233297978522e+01,2.973980372790409055e-01,nan,7.051915330139749472e+01,1.000000000000000000e+00
2.500000000000000000e+01,3.574780850178804315e+01,2.580665042878025872e+01,-1.511763120283399946e-03,4.273458216195289339e+01,2.628014079656166846e-01,nan,5.668056893585790590e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.407246850955989146e+02,3.233757516438137714e+01,1.005753778279212200e-03,-2.883649336034127586e+01,3.640984923471652923e-01,nan,1.958038228543613357e+01,1.000000000000000000e+00
2.700000000000000000e+01,9.385563070212583625e+01,4.681049036482121295e+01,-1.620952861528492149e-03,4.573359540949235225e+01,2.888864587880826118e-01,nan,1.494892617931881773e+01,1.000000000000000000e+00
2.900000000000000000e+01,9.209273590110720420e+01,3.196587531978670071e+01,-2.246118837170755968e-03,6.290444883842062751e+01,1.876058442881225474e-01,nan,1.494892617931881773e+01,1.000000000000000000e+00
3.500000000000000000e+01,6.667769041069271907e+01,4.281072234653277064e+01,-1.444852506004229561e-03,4.089681044149600808e+01,3.681801800317586748e-01,nan,2.034440611167140034e+01,1.000000000000000000e+00
3.700000000000000000e+01,9.319094672273648428e+01,1.667861025596687696e+01,1.551351597200956514e-03,-4.382192210224236817e+01,2.398305837687190190e-01,nan,2.397682101751471606e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.299952347510050856e+02,3.431899984275285220e+01,1.424528696946722331e-03,-4.033859524738621616e+01,3.699212279115714486e-01,nan,2.430597001508603938e+01,1.000000000000000000e+00
4.500000000000000000e+01,9.015545822554284427e+01,4.098536509524442550e+01,-1.193377967278756897e-03,3.398979276330852883e+01,3.249592910241098087e-01,nan,2.196174911122095352e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.121004145634839517e+02,4.184403578303614069e+01,1.434197781502838474e-03,-4.060416701580246723e+01,2.779655311622184488e-01,nan,2.196174911122095352e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.663488054232583124e+01,2.977314380452121867e+01,-1.488160619872907001e-03,4.208631419649230310e+01,2.651615020312670934e-01,nan,2.429854740740109165e+01,1.000000000000000000e+00
5.200000000000000000e+01,3.461969801823822479e+01,4.611223026820805160e+01,-1.269505422177097734e-03,3.608071488784327130e+01,3.393968199335588576e-01,nan,2.429854740740109165e+01,1.000000000000000000e+00
5.500000000000000000e+01,1.071290384933277267e+02,1.989508014739311292e+01,-1.181278274714938747e-03,3.365746174139875535e+01,3.352172566687980915e-01,nan,1.188626373036906791e+01,1.000000000000000000e+00
5.700000000000000000e+01,3.769566251117187505e+01,6.085952689620437006e+00,-1.232610724054208602e-03,3.506736246871674467e+01,3.511155700191710416e-01,nan,4.014429541491461606e+01,1.000000000000000000e+00
6.200000000000000000e+01,1.008050938438741468e+02,5.247287199103729449e+01,-1.350183094115804802e-03,3.829661359925908215e+01,3.103746800260774874e-01,nan,4.100728832542192492e+01,1.000000000000000000e+00
6.300000000000000000e+01,6.363248213501722717e+01,3.182848494798519212e+01,-1.292755620495762009e-03,3.671930649883610442e+01,3.314266051033334382e-01,nan,1.384440957577860942e+01,1.000000000000000000e+00
6.600000000000000000e+01,5.989134248421547824e+01,4.515783416747484580e+01,-1.230361337175119984e-03,3.500558064771136202e+01,3.292239601406907745e-01,nan,1.384440957577860942e+01,1.000000000000000000e+00
8.000000000000000000e+01,6.840442993996231280e+01,2.076999244660440169e+01,-1.411261466895899789e-03,3.997419655729994759e+01,3.352823098169099847e-01,nan,2.357169400921670643e+01,1.000000000000000000e+00
8.000000000000000000e+01,7.467017938842469960e+01,4.349366165545436758e+01,-1.237865325048335572e-03,3.521168571568321681e+01,3.415676570284847946e-01,nan,6.780012550830090134e+00,1.000000000000000000e+00
8.200000000000000000e+01,8.139081148304121882e+01,4.438902439659558752e+01,-1.363937866624313723e-03,3.867440316538065304e+01,3.114840629055455334e-01,nan,6.780012550830090134e+00,1.000000000000000000e+00
8.300000000000000000e+01,2.121229839323379807e+01,1.967672618634155413e+01,-1.275417597817769073e-03,3.624309912711309778e+01,3.291067357762943457e-01,nan,6.517536085868767870e+00,1.000000000000000000e+00
9.100000000000000000e+01,7.803985912644064626e+01,2.338956881377313479e+01,-1.935846648909439601e-03,5.438249071004591428e+01,2.076940579489165994e-01,nan,3.879256695552005851e+01,1.000000000000000000e+00
9.400000000000000000e+01,3.945987961301533886e+01,1.933390219258861009e+01,-1.197641135976943837e-03,3.410688525987979602e+01,3.261627050406099571e-01,nan,3.879256695552005851e+01,1.000000000000000000e+00
9.900000000000000000e+01,1.251086298523722888e+02,7.766150452809913673e+00,-1.142736301152227603e-03,3.259886513714970846e+01,3.510841264562889474e-01,nan,2.973363738409668855e+01,1.000000000000000000e+00
1.000000000000000000e+02,1.122574451879442989e+02,3.457913694834455498e+01,-1.153647319152221410e-03,3.289854793841831082e+01,3.326632971204358524e-01,nan,2.973363738409668855e+01,1.000000000000000000e+00
