frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
6.000000000000000000e+00,1.093626915696335402e+02,1.114790461562251700e+01,-1.769208110664505229e-02,4.871443539698946665e+02,1.347709861922374852e-02,nan,1.612655861043006666e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.701555491287676602e+01,1.659453726094467285e+01,-1.367985925246447115e-03,3.878558743320800772e+01,2.762475439426832491e-01,nan,2.618389025399589798e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.002696062105971819e+01,3.358155261146394821e+01,-1.412964436814758470e-03,4.002097045096963512e+01,3.036462490066086373e-01,nan,2.763579630672733245e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.321025055460652311e+02,3.354837011749459208e+01,-1.338125072412095105e-03,3.796542711217534816e+01,2.892100597064677370e-01,nan,1.978845713238048276e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.387643422541851805e+02,5.218175326050985774e+01,-1.615339429414230010e-03,4.557941648129938983e+01,2.716002342326210295e-01,nan,4.900612728283448405e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.016971459174086334e+02,2.533611459677559807e+01,-1.412137459179996701e-03,3.999825662406805549e+01,2.436010253613957177e-01,nan,1.612655861043006666e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.442677488915958151e+01,4.655792734361292418e+01,-1.598553295683297678e-03,4.511836733089398876e+01,2.315474840964349967e-01,nan,8.393167139819540878e+00,1.000000000000000000e+00
1.200000000000000000e+01,5.278239327543042236e+01,4.735095698994351210e+01,-1.277311294888433492e-03,3.629511154638426262e+01,3.742932107805303499e-01,nan,8.393167139819540878e+00,1.000000000000000000e+00
1.300000000000000000e+01,5.021211991309510125e+01,3.008855465028364762e+01,-1.523418717717466529e-03,4.305471563524586998e+01,2.379649893833631902e-01,nan,1.745270293374137793e+01,1.000000000000000000e+00
1.400000000000000000e+01,8.491123266568840222e+01,3.295233519220536778e+01,-1.902604384179951537e-03,5.346945628790022909e+01,1.883315648832250000e-01,nan,9.639606310586358973e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.037313549819526202e+02,2.855761297020909950e+01,-1.498205095096117895e-03,4.236219647183696679e+01,2.443564621147870097e-01,nan,1.932642200221381401e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.433853843239470507e+02,2.974662565596182517e+01,-1.242422986080280551e-03,3.533686675976973390e+01,2.910744373407420094e-01,nan,2.106261838232247641e+01,1.000000000000000000e+00
