frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.234130902676096468e+02,8.031089603301833080e+00,-1.151537904196733983e-03,3.284061059628408685e+01,3.322795561473528281e-01,nan,5.846969087958571976e+01,1.000000000000000000e+00
7.000000000000000000e+00,3.160869600391725953e+01,9.935348323969156681e+00,-1.267994033417496136e-03,3.603920297600484446e+01,3.081011521976086964e-01,nan,1.259096037938569346e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.507365794826193905e+01,1.193178033835859075e+01,2.505889844950591125e-03,-7.003933792941771230e+01,2.098799819800104549e-01,nan,2.285279265583898578e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.345563559853207209e+02,4.067812851406775110e+01,-1.233865574229633900e-03,3.510182827344221579e+01,2.999818342326751042e-01,nan,5.082667494982543133e+01,1.000000000000000000e+00
1.400000000000000000e+01,3.548488026846931120e+01,4.774689344882882125e+01,-1.561480037834734550e-03,4.410011057756292274e+01,2.662171664993489006e-01,nan,2.361382650996237942e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.579615154179641934e+01,9.070830903822317381e+00,1.620728514940392075e-03,-4.572743349004753810e+01,2.801616127832162739e-01,nan,5.936729881838107126e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.988446327109706857e+01,8.526125956180729659e+00,-1.725028233735000733e-03,4.859213703099243276e+01,2.593847050623260264e-01,nan,5.936729881838107126e+00,1.000000000000000000e+00
2.200000000000000000e+01,5.510793329128588880e+01,1.507300287730393862e+01,-1.998508368960920812e-03,5.610356199755981521e+01,2.118021009496312557e-01,nan,1.980700925155358760e+01,1.000000000000000000e+00
2.200000000000000000e+01,7.483316220852766776e+01,1.327495959263638348e+01,-1.249681610552240592e-03,3.553623265900251482e+01,3.460759717368838695e-01,nan,1.980700925155358760e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.187528918844901860e+01,3.670944404005225437e+01,-1.207093204341172033e-03,3.436649644603821230e+01,3.565824475294274709e-01,nan,1.411034912468264224e+01,1.000000000000000000e+00
2.200000000000000000e+01,2.598409043900309356e+01,3.650044716735803263e+01,-1.318366836426580627e-03,3.742274598853789769e+01,3.081129585008465233e-01,nan,1.411034912468264224e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.185490441780967075e+02,1.079496025471209819e+01,-1.373297050516774677e-03,3.893146317998994732e+01,2.703119079059302932e-01,nan,2.484064138491195450e+01,1.000000000000000000e+00
3.100000000000000000e+01,6.545558061029353780e+01,2.260881310051517801e+01,-1.108296888321304470e-03,3.165294975957241164e+01,3.174715763943115610e-01,nan,2.903888502498139701e+01,1.000000000000000000e+00
