frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,3.871368794953843206e+01,3.676426377422890823e+01,-1.257057567701122666e-03,3.573882122593690980e+01,3.517602172651911330e-01,nan,6.966993216402786793e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.990920466909864217e+01,4.333720668723901071e+01,-1.456440128334921284e-03,4.121507690573483984e+01,2.738077959506541870e-01,nan,9.493495176645851075e+00,1.000000000000000000e+00
7.000000000000000000e+00,9.696387068403204523e+01,4.969001221603821250e+01,1.741608518283294495e-03,-4.904753231301524607e+01,1.843427982622604100e-01,nan,9.493495176645851075e+00,1.000000000000000000e+00
1.400000000000000000e+01,4.296375787300799942e+01,2.361746648353700095e+01,-1.388000196742449717e-03,3.933530084650050185e+01,2.480463553591313319e-01,nan,7.069386539229248534e+00,1.000000000000000000e+00
1.500000000000000000e+01,4.410712156423161190e+01,3.059377965817496303e+01,1.330256863924425418e-03,-3.774931833474032317e+01,3.491847762058581939e-01,nan,7.069386539229248534e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.402003626071476958e+02,1.851571371873648886e+01,-2.349139079506082795e-03,6.573401018736518608e+01,1.297055103195515757e-01,nan,2.640724149276888610e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.625927538607380995e+01,2.000120077015880327e+01,-1.979564547114930247e-03,5.558324963096459470e+01,2.483252399688339329e-01,nan,1.020589469136346494e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.079202164299849187e+02,2.807394266393678706e+01,-1.327523621060235949e-03,3.767424689061950716e+01,2.805365015531314787e-01,nan,1.824313765016013633e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.336030303303618041e+02,4.408557117017907245e+01,-1.354120122696309816e-03,3.840474830801686323e+01,2.570134618007132721e-01,nan,2.640724149276888610e+01,1.000000000000000000e+00
2.100000000000000000e+01,6.856638345889616915e+01,4.264990315837133039e+01,-2.023248594509135991e-03,5.678307880307789901e+01,1.268425252889093802e-01,nan,2.831397530090708514e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.048109053860872031e+01,2.841386184259752312e+01,-1.745784024547189376e-03,4.916221706689240989e+01,2.046083234162467956e-01,nan,1.020589469136346494e+01,1.000000000000000000e+00
2.200000000000000000e+01,9.688031019123171461e+01,4.259745950946109616e+01,-1.490497999871358802e-03,4.215051284281161514e+01,2.627637911751813382e-01,nan,1.824313765016013633e+01,1.000000000000000000e+00
2.300000000000000000e+01,7.403822769335792486e+01,1.399777078999738578e+01,-1.484016920013898726e-03,4.197250303960807827e+01,2.174367733310691442e-01,nan,2.916994632461695858e+01,1.000000000000000000e+00
2.300000000000000000e+01,2.087659473983284641e+01,4.730814989631193868e+01,-1.459805093165290803e-03,4.130749927058989357e+01,2.319361186160607824e-01,nan,2.156526440028973468e+01,1.000000000000000000e+00
2.500000000000000000e+01,4.476262387554679378e+01,5.150609892347209673e+00,-1.712104039386770204e-03,4.823716018406395989e+01,2.254263718441402720e-01,nan,2.656654417634378262e+01,1.000000000000000000e+00
2.600000000000000000e+01,3.245949259537001552e+01,2.869661231688546721e+01,1.109397688021035791e-03,-3.168318440290736859e+01,3.742268378196077494e-01,nan,2.192151577337231672e+01,1.000000000000000000e+00
2.900000000000000000e+01,9.701533639243368157e+01,3.060821089050529764e+01,-3.483853635277780764e-03,9.690016138554962311e+01,6.445135138024182808e-02,nan,1.762444428668105800e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.144791506624656421e+02,9.812419189205076719e+00,-1.440851502735793687e-03,4.078691859938096798e+01,2.251633674247895955e-01,nan,2.380240364503486816e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.048115190131058796e+02,4.641455686164781724e+01,-4.473095668255567918e-03,1.240707538614851870e+02,4.747820407832825662e-02,nan,1.762444428668105800e+01,1.000000000000000000e+00
3.200000000000000000e+01,9.069367013017595980e+01,8.915014526169642295e+00,-1.762218526684328820e-03,4.961360827877708601e+01,1.813426782492606470e-01,nan,1.210152512150841808e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.940790157767994373e+01,4.125538471676254204e+01,-1.526815564262983720e-03,4.314801366557087903e+01,1.807136271836037311e-01,nan,4.783798216436315087e+00,1.000000000000000000e+00
3.500000000000000000e+01,1.027921150423203613e+02,8.641992596086049971e+00,-3.319854485361491137e-03,9.239574899684208731e+01,6.624190871139079562e-02,nan,1.210152512150841808e+01,1.000000000000000000e+00
3.500000000000000000e+01,6.382787414387630776e+01,3.083078744687994543e+01,4.482574801200854379e-03,-1.243311084053639206e+02,6.134128555478446376e-02,nan,1.003957576576136113e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.637420212958534194e+01,3.755654800311732089e+01,1.216519900213667389e-03,-3.462541074952283537e+01,2.645717649120721271e-01,nan,4.783798216436315087e+00,1.000000000000000000e+00
3.900000000000000000e+01,8.636695840818215686e+01,5.337206672461284285e+01,-3.326794355609883659e-03,9.258635996975773708e+01,9.891650939165663736e-02,nan,2.334224704724071486e+01,1.000000000000000000e+00
4.000000000000000000e+01,6.317449334288645701e+01,5.073197933790453362e+01,-3.411597985683585688e-03,9.491558254259626892e+01,6.146671200748854424e-02,nan,1.482686586718154409e+01,1.000000000000000000e+00
4.000000000000000000e+01,9.478156517152815042e+00,5.085727595053243277e+01,-1.189453865115868954e-03,3.388201309246213100e+01,2.695359333553124515e-01,nan,4.237435182087276786e+01,1.000000000000000000e+00
4.100000000000000000e+01,2.524328021402198630e+01,1.152476310096334267e+01,-2.953717771333953107e-03,8.233941180565464890e+01,7.645390947270369608e-02,nan,3.097294320414641078e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.402885481047939322e+02,3.539536530309835172e+01,-1.590267100097287256e-03,4.489077808990139573e+01,2.554526742600116140e-01,nan,1.007033660627482874e+01,1.000000000000000000e+00
4.600000000000000000e+01,1.307678069380332353e+01,4.000808278374958604e+01,-1.672888051043049541e-03,4.716005104160175421e+01,1.905474937118617484e-01,nan,1.903223438652296551e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.388975713235680871e+02,4.901850433101557059e+01,-4.816266331323205453e-03,1.334963038533715007e+02,5.227142129275097471e-02,nan,1.369396704318623215e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.530775210646807949e+01,2.110705867659020996e+01,-1.562739530425801861e-03,4.413470389120865889e+01,2.010919725168076599e-01,nan,1.903223438652296551e+01,1.000000000000000000e+00
4.900000000000000000e+01,1.326883500376152938e+02,2.878865139198240897e+01,-1.356793760917726849e-03,3.847818264675350264e+01,2.620751292229448470e-01,nan,1.007033660627482874e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.223637252868956438e+02,3.272688836447917282e+01,-3.238203068108493933e-03,9.015310532693489165e+01,9.887564679231208853e-02,nan,7.414149727893124542e+00,1.000000000000000000e+00
5.200000000000000000e+01,8.082770224870749587e+01,2.955030779024006904e+01,-1.766929832965040675e-03,4.974300935426233394e+01,1.772140046794224988e-01,nan,1.879765002476095148e+01,1.000000000000000000e+00
