frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
7.000000000000000000e+00,1.147873716245402278e+02,4.889621421429002623e+01,-1.162058106136620861e-03,3.312955921567582607e+01,3.508774215923605722e-01,nan,1.318479633355815217e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.039519216391422560e+02,4.138409880174825872e+01,-1.083394431488663703e-03,3.096897709798570730e+01,3.513424809643304059e-01,nan,1.318479633355815217e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.742154664000840825e+01,4.180817336553500496e+01,1.264134605808308123e-03,-3.593319966107900143e+01,2.992502190366145287e-01,nan,4.984935216921734735e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.841216827280772250e+01,3.692840129328916277e+01,-1.166360149776910025e-03,3.324771945418908103e+01,2.878449234528430711e-01,nan,7.241242614546957945e+00,1.000000000000000000e+00
2.500000000000000000e+01,2.034604884006330394e+01,2.995017081885496779e+01,-1.002438576029837354e-03,2.874543777809723721e+01,3.741571182549471297e-01,nan,7.241242614546957945e+00,1.000000000000000000e+00
3.600000000000000000e+01,7.313554224381491053e+01,8.403018738031622803e+00,9.714397225726452119e-04,-2.789402105051311054e+01,3.345606513274167471e-01,nan,1.681197629172953611e+01,1.000000000000000000e+00
4.400000000000000000e+01,6.047974913908717554e+01,3.675190332479402144e+01,-3.722145614847502393e-03,1.034451059505146020e+02,7.896949639426564804e-02,nan,2.407591717653340524e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.229560903988065803e+02,1.294532274457473875e+01,-2.251804159693363613e-03,6.306060231371426994e+01,1.801771403747833844e-01,nan,2.444016007084959696e+01,1.000000000000000000e+00
4.800000000000000000e+01,7.056839899293922258e+01,1.489168987620968743e+01,-9.051932350160556530e-04,2.607449028214891840e+01,3.543656161519869174e-01,nan,2.407591717653340524e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.132794954974751249e+02,4.781754619499641024e+01,1.650568891158278942e-03,-4.654703139886689911e+01,2.792555023392180313e-01,nan,3.011387562559700726e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.231238325832702429e+02,1.291375850812217507e+01,2.316239881873673363e-03,-6.483039847066054051e+01,1.472381485839455717e-01,nan,2.403329158561411560e+01,1.000000000000000000e+00
5.400000000000000000e+01,9.792559201793143586e+01,3.367101700949405085e+01,-1.163636630107598487e-03,3.317291506803465495e+01,3.475800232077870255e-01,nan,1.163502387096357005e+01,1.000000000000000000e+00
5.500000000000000000e+01,9.912545222393465849e+01,1.161882817493576248e+01,1.002116891429973835e-03,-2.873660236585503469e+01,3.509018862628366930e-01,nan,2.208480692487410479e+01,1.000000000000000000e+00
5.700000000000000000e+01,1.394506151487534567e+02,3.712387167035430480e+01,-9.487007584407936966e-04,2.726947103428333818e+01,3.165325044281621647e-01,nan,1.544215683148259544e+01,1.000000000000000000e+00
6.500000000000000000e+01,3.470081037007701497e+01,1.318882518573538398e+01,-1.103235897362790348e-03,3.151394421970038096e+01,3.225375741062658230e-01,nan,1.960800986733708484e+01,1.000000000000000000e+00
6.500000000000000000e+01,4.294816118796403970e+01,3.097801447148662746e+01,-1.220817766938831796e-03,3.474345626458633518e+01,2.836280923540914767e-01,nan,1.960800986733708484e+01,1.000000000000000000e+00
6.500000000000000000e+01,1.168787842943494866e+02,1.737010396136303214e+01,-1.185722639511739736e-03,3.377953098298241486e+01,2.962968395628781115e-01,nan,7.517254991916892948e+01,1.000000000000000000e+00
7.700000000000000000e+01,1.404914502975109158e+01,3.715623160542489956e+01,-1.837234881690114020e-03,5.167401285414359791e+01,2.002229160205195591e-01,nan,2.631637064402089266e+01,1.000000000000000000e+00
8.900000000000000000e+01,4.634005776570486290e+01,3.437138150382908464e+01,-1.276587789793059763e-03,3.627523970365484729e+01,3.282751106478534187e-01,nan,2.958939377343944699e+01,1.000000000000000000e+00
9.100000000000000000e+01,4.362770896091311812e+01,4.906565403252417745e+00,-1.758187821676279131e-03,4.950290064655612099e+01,2.310166383704436166e-01,nan,2.958939377343944699e+01,1.000000000000000000e+00
1.000000000000000000e+02,1.411649113287314208e+02,2.462420679519545530e+01,-1.655572703592986727e-03,4.668446646931190003e+01,2.126783479183563808e-01,nan,1.024906281531476964e+02,1.000000000000000000e+00
1.020000000000000000e+02,4.023431956557666211e+01,6.810040927375855979e+00,1.921559284624772736e-03,-5.399007294008380597e+01,1.637686774819775426e-01,nan,1.085208670102422879e+01,1.000000000000000000e+00
1.130000000000000000e+02,7.846872912720404258e+01,8.044428227283022537e+00,-1.092294367485520043e-03,3.121342337702682812e+01,3.514282340323015008e-01,nan,1.262245480215975668e+01,1.000000000000000000e+00
1.150000000000000000e+02,1.054830534500606376e+02,5.201734865856714407e+01,1.240257449505062113e-03,-3.527738797721146113e+01,2.950076225969033850e-01,nan,4.407109389001411870e+01,1.000000000000000000e+00
1.160000000000000000e+02,4.826504869745752302e+01,1.153510456294792696e+01,2.036105284207437392e-03,-5.713620156246023640e+01,1.955461145231488507e-01,nan,1.110123757421231971e+01,1.000000000000000000e+00
