"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"4.3078e+03","1.4164e-13","1.0000e-13","3.0632e-06","2.0023e-06","1.0000e+00","7.1870e-01","8.9342e-04"," 0.16 %"
"5.2631e+03","1.4164e-13","1.0000e-13","2.5072e-06","1.6388e-06","1.1429e+00","7.1870e-01","1.8719e-03"," 0.34 %"
"6.2801e+03","1.4164e-13","1.0000e-13","2.1011e-06","1.3734e-06","1.2857e+00","7.1870e-01","7.1394e-03"," 1.31 %"
"7.3554e+03","1.4164e-13","1.0000e-13","1.7940e-06","1.1727e-06","1.4286e+00","7.1870e-01","1.1356e-02"," 2.08 %"
"8.4858e+03","1.4164e-13","1.0000e-13","1.5550e-06","1.0164e-06","1.5714e+00","7.1870e-01","3.2133e-03"," 0.59 %"
"9.6689e+03","1.4164e-13","1.0000e-13","1.3647e-06","8.9207e-07","1.7143e+00","7.1870e-01","3.3220e-03"," 0.61 %"
"1.0902e+04","1.4164e-13","1.0000e-13","1.2103e-06","7.9115e-07","1.8571e+00","7.1870e-01","1.6031e-03"," 0.29 %"
"1.2184e+04","1.4164e-13","1.0000e-13","1.0830e-06","7.0791e-07","2.0000e+00","7.1870e-01","4.0033e-04"," 0.07 %"
"6.0067e+03","1.7678e-13","1.2481e-13","2.7418e-06","1.7922e-06","1.0000e+00","7.1870e-01","1.3264e-03"," 0.24 %"
"7.3388e+03","1.7678e-13","1.2481e-13","2.2442e-06","1.4669e-06","1.1429e+00","7.1870e-01","5.0513e-04"," 0.09 %"
"8.7570e+03","1.7678e-13","1.2481e-13","1.8807e-06","1.2294e-06","1.2857e+00","7.1870e-01","2.2870e-03"," 0.42 %"
"1.0256e+04","1.7678e-13","1.2481e-13","1.6058e-06","1.0496e-06","1.4286e+00","7.1870e-01","3.0989e-03"," 0.57 %"
"1.1833e+04","1.7678e-13","1.2481e-13","1.3919e-06","9.0982e-07","1.5714e+00","7.1870e-01","1.2523e-03"," 0.23 %"
"1.3482e+04","1.7678e-13","1.2481e-13","1.2216e-06","7.9850e-07","1.7143e+00","7.1870e-01","4.9755e-04"," 0.09 %"
"1.5202e+04","1.7678e-13","1.2481e-13","1.0834e-06","7.0816e-07","1.8571e+00","7.1870e-01","2.8696e-04"," 0.05 %"
"1.6990e+04","1.7678e-13","1.2481e-13","9.6939e-07","6.3365e-07","2.0000e+00","7.1870e-01","8.4310e-05"," 0.02 %"
"7.8841e+03","2.1193e-13","1.4962e-13","2.5042e-06","1.6369e-06","1.0000e+00","7.1870e-01","3.6793e-04"," 0.07 %"
"9.6326e+03","2.1193e-13","1.4962e-13","2.0497e-06","1.3398e-06","1.1429e+00","7.1870e-01","2.6095e-04"," 0.05 %"
"1.1494e+04","2.1193e-13","1.4962e-13","1.7177e-06","1.1228e-06","1.2857e+00","7.1870e-01","7.3960e-04"," 0.14 %"
"1.3462e+04","2.1193e-13","1.4962e-13","1.4666e-06","9.5867e-07","1.4286e+00","7.1870e-01","3.2347e-04"," 0.06 %"
"1.5531e+04","2.1193e-13","1.4962e-13","1.2712e-06","8.3096e-07","1.5714e+00","7.1870e-01","1.0599e-03"," 0.19 %"
"1.7696e+04","2.1193e-13","1.4962e-13","1.1157e-06","7.2929e-07","1.7143e+00","7.1870e-01","3.3545e-04"," 0.06 %"
"1.9954e+04","2.1193e-13","1.4962e-13","9.8947e-07","6.4678e-07","1.8571e+00","7.1870e-01","4.6533e-05"," 0.01 %"
"9.9244e+03","2.4707e-13","1.7444e-13","2.3193e-06","1.5160e-06","1.0000e+00","7.1870e-01","7.8554e-04"," 0.14 %"
"1.2125e+04","2.4707e-13","1.7444e-13","1.8983e-06","1.2408e-06","1.1429e+00","7.1870e-01","1.0614e-03"," 0.19 %"
"1.4469e+04","2.4707e-13","1.7444e-13","1.5909e-06","1.0399e-06","1.2857e+00","7.1870e-01","4.0479e-03"," 0.74 %"
"1.6946e+04","2.4707e-13","1.7444e-13","1.3583e-06","8.8788e-07","1.4286e+00","7.1870e-01","4.2890e-03"," 0.79 %"
"1.9550e+04","2.4707e-13","1.7444e-13","1.1774e-06","7.6960e-07","1.5714e+00","7.1870e-01","4.6326e-03"," 0.85 %"
