frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,3.898699898443180700e+01,3.392160563330912737e+01,-4.955931870308550452e-02,1.381265184805022272e+03,2.249768656840755998e-02,nan,2.917416957264203958e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.046301344300564580e+02,3.708732519043672227e+01,-1.741471942317313667e-03,4.144352071099131507e+01,3.400221003699520628e-01,nan,1.144775466314073320e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.117713537984453609e+02,4.603461934900821717e+01,-1.339504444936933519e-02,3.679682382950763326e+02,1.432978065149370650e-02,nan,1.144775466314073320e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.415106998985188511e+02,4.751954671975835254e+01,-2.343591171697624598e-02,6.493061153169620638e+02,4.860571457688589447e-02,nan,5.593331607860589472e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.191161175456785060e+01,5.196583738732370250e+01,-2.578478905438755936e-02,7.151199684314268552e+02,1.638745187568346751e-02,nan,2.917416957264203958e+01,1.000000000000000000e+00
6.000000000000000000e+00,3.606051986137813969e+01,4.807082746857472166e+00,-1.317396342568028476e-02,3.617737070661692087e+02,2.561519814799395611e-02,nan,2.476333715368684452e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.459340043097134831e+01,1.760586145873494246e+01,-2.495541498469667704e-02,6.918815036848008049e+02,2.310209856933620465e-02,nan,7.912943945860006600e+00,1.000000000000000000e+00
7.000000000000000000e+00,9.297146863548050533e+01,5.232926320588963875e+01,-1.981263008734159697e-03,4.816229387635037540e+01,2.585054070532325499e-01,nan,1.918961079794283009e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.392463875589896816e+02,4.240503324294081011e+01,-1.890045266619190187e-02,5.222258157113803918e+02,4.882996147257445685e-02,nan,5.593331607860589472e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.188505737490356218e+01,1.017083894491752005e+01,-2.980276311251726234e-02,8.277007108429971822e+02,5.071312041611497623e-02,nan,6.103527598093056561e+00,1.000000000000000000e+00
1.100000000000000000e+01,4.735670929994642009e+00,2.269585198117490066e+01,-2.932714200037979044e-02,8.143741494624645156e+02,1.018099074457745612e-02,nan,1.109427034252163224e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.364692157651654156e+02,2.102804725931276408e+01,-2.266728896024334736e-02,6.277698586524039683e+02,1.354023967832640452e-02,nan,1.298843597563018015e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.053965767371656170e+01,4.928724852871049933e+01,-6.062049237722893363e-02,1.691191313287304865e+03,8.017385659160769507e-03,nan,1.604532309910846166e+01,1.000000000000000000e+00
1.300000000000000000e+01,2.789602979594666010e+01,9.540236137767202251e+00,-6.561220937822950794e-02,1.831055632407048051e+03,9.180753917795048125e-03,nan,1.000408019831641404e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.796293163836660867e+01,1.072985019544573682e+01,-3.065291179366438565e-02,8.515212652565097642e+02,2.589060640590523654e-02,nan,6.103527598093056561e+00,1.000000000000000000e+00
1.500000000000000000e+01,4.831132924351874181e+01,2.395569740767227174e+01,-2.495896642381743857e-02,6.919810124539119442e+02,2.752258190450096453e-02,nan,9.069536561840472189e+00,1.000000000000000000e+00
1.600000000000000000e+01,5.468470747297070034e+01,4.682291342839391746e+01,-3.024060167188628162e-02,8.399686322772936364e+02,1.297368886215122252e-02,nan,1.604532309910846166e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.319701644011846895e+02,5.281072075725688109e+01,-2.563432530412439875e-02,7.109040823989170121e+02,2.298899493157169349e-02,nan,2.402707750060009317e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.263295930945109120e+02,1.291093439883130145e+01,-1.818242647583034194e-02,5.021072384352783047e+02,1.266075116606336648e-01,nan,1.113230507266801084e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.173057806061076320e+02,1.943006197889037878e+01,-2.816383647400345566e-02,7.817791655436552674e+02,1.064886614417492883e-02,nan,1.064870530583840846e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.584657519909154644e+01,3.268389773460341274e+01,-2.720175700067821445e-02,7.548223908609671753e+02,1.609549714603053516e-02,nan,9.069536561840472189e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.069178356634997726e+02,1.708794230646993029e+01,-3.500449837157564720e-02,9.734495904576725707e+02,1.228590501263560064e-02,nan,9.907570156103600922e+00,1.000000000000000000e+00
1.900000000000000000e+01,2.849805033386151010e+01,1.074296198822457171e+01,1.449803463576193217e-03,-3.327117977506865998e+01,2.936878161576932378e-01,nan,4.253897645176937914e+00,1.000000000000000000e+00
2.100000000000000000e+01,1.365722408614576864e+02,2.922849555534592270e+01,-8.662933226930890143e-03,2.353778863194772271e+02,1.102511519832899411e-01,nan,9.825382700524146529e+00,1.000000000000000000e+00
2.100000000000000000e+01,9.924691931212956320e+01,2.548736514871887238e+01,-2.911319226587989750e-02,8.083794318260922864e+02,1.078957317673545635e-02,nan,8.872950219676274841e+00,1.000000000000000000e+00
2.100000000000000000e+01,1.080007912621493062e+02,2.693614790797258962e+01,-1.685543940958742631e-02,4.649260155286976328e+02,5.580892244611201924e-02,nan,8.872950219676274841e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.370072405351189957e+02,7.662285941277220402e+00,-2.121486541462192649e-02,5.870739958378445635e+02,1.644180665151706577e-02,nan,1.905163150002615424e+01,1.000000000000000000e+00
2.200000000000000000e+01,4.125940882431423518e+01,4.101764129555627392e+01,-2.344202219081014185e-02,6.494773263976594535e+02,1.110978417337615820e-02,nan,2.578225674678763113e+01,1.000000000000000000e+00
2.300000000000000000e+01,4.643881879705863014e+01,1.576098919573290225e+01,-1.732390036212391737e-02,4.780519543885266671e+02,1.415816043153006465e-02,nan,1.862932554080641268e+01,1.000000000000000000e+00
2.300000000000000000e+01,8.151920060601460705e+01,3.189038515756320535e+01,-4.584415478016914264e-02,1.277168964527956405e+03,1.186234233872174304e-02,nan,1.884862530151201909e+01,1.000000000000000000e+00
2.300000000000000000e+01,2.458255437411932931e+01,9.080272430644878767e+00,-1.520401837352274976e-03,3.524929541687558299e+01,3.201836358367300406e-01,nan,4.253897645176937914e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.279900043771684466e+02,2.444483982572931069e+01,-3.819414153594754419e-02,1.062821097161757734e+03,8.965615963945405831e-03,nan,9.825382700524146529e+00,1.000000000000000000e+00
2.700000000000000000e+01,1.338634651641700657e+02,4.201700709968476133e+01,-3.123421610591939346e-02,8.678089938714572327e+02,6.692447502020582029e-03,nan,1.468204275093824585e+01,1.000000000000000000e+00
2.800000000000000000e+01,9.662763029738830056e+00,3.066448211994855200e+01,-4.657312328752264557e-02,1.297594137653816006e+03,1.013943234974920005e-01,nan,9.095371551990695025e+00,1.000000000000000000e+00
2.900000000000000000e+01,1.410239914527254541e+02,1.680698519689482850e+01,-4.742526069715447684e-02,1.321470414808696205e+03,7.900746333216579487e-03,nan,1.510700640156730223e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.076546176548236744e+01,4.978655653523562563e+01,-6.625021373365938548e-02,1.848932055439392343e+03,1.186509697115833983e-02,nan,1.915384228935768363e+01,1.000000000000000000e+00
