frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,8.922606795050521100e+01,1.925333209118084454e+01,-1.602473661033998464e-02,4.186301653586931479e+02,1.206047874594362579e-02,nan,1.205267357376408555e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.631963597194553728e+01,2.442960033325656610e+01,-3.055158521819493003e-02,7.923056620024684662e+02,2.509722605574793430e-02,nan,2.134133978521386865e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.287370992764279265e+01,3.265641533152716391e+01,-3.398430121862789505e-02,8.806057393919463721e+02,8.675776827114400902e-03,nan,1.661674108198950250e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.201177496198943118e+01,4.075911760320594368e+01,-1.986769182143048249e-02,5.174828646500965306e+02,1.294109483730032650e-02,nan,1.209393050427886962e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.590340144748476803e+01,4.987962487578991500e+01,-1.647342853059177714e-02,4.301719099356606080e+02,9.273152573015019939e-02,nan,1.257139783706439218e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.085176072935509062e+01,1.616267374084165098e+01,-3.449963555358389472e-02,8.938617330868313502e+02,1.454790806990768903e-02,nan,3.641857011894257568e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.005946052472629191e+02,3.105046716432422116e+01,-3.719789852670585956e-02,9.632694059947507412e+02,1.093757952153191493e-01,nan,5.026459422041682501e+00,1.000000000000000000e+00
8.000000000000000000e+00,6.854392331861171783e+01,1.661369012331728001e+01,-1.167914038031745393e-02,3.068479837374883346e+02,6.285689059604482321e-02,nan,6.601731234058041409e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.253328930121631402e+02,1.437083431986405735e+01,-1.260504573608246630e-02,3.306651345181153374e+02,5.258487875872019934e-02,nan,1.261099952174482652e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.377504158503386122e+02,1.217028086656218022e+01,-2.671308980009570386e-02,6.935676823867448775e+02,7.120220304000257627e-02,nan,1.261099952174482652e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.070417560563042514e+01,8.664518558812739357e+00,-2.869798044168192508e-02,7.446252115384742183e+02,1.114231646664998188e-01,nan,8.922921821411497589e+00,1.000000000000000000e+00
1.000000000000000000e+01,9.588231931082808046e+01,2.930128004605755621e+01,-3.498887666368604571e-02,9.064465282981699374e+02,1.147321896916106976e-01,nan,5.026459422041682501e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.219402008771105983e+02,4.886866221651704478e+01,-4.651118039643156038e-02,1.202835833786353078e+03,8.648835053583159294e-03,nan,4.372216858518970461e+00,1.000000000000000000e+00
1.100000000000000000e+01,4.773997858524705862e+01,2.922644274731521108e+01,-2.012178596928718144e-02,5.240189523768790423e+02,2.444333034606493982e-02,nan,7.491233391042590561e+00,1.000000000000000000e+00
1.200000000000000000e+01,6.200097361452884570e+01,1.749270346598015635e+01,-5.623946248707744483e-02,1.453077351395837240e+03,4.286698925141285699e-02,nan,6.601731234058041409e+00,1.000000000000000000e+00
1.300000000000000000e+01,8.533084868995487682e+00,2.710209733600267867e+01,-5.125412386698893763e-02,1.324839015946285144e+03,2.166375992220024305e-01,nan,5.470115837303135109e+00,1.000000000000000000e+00
1.400000000000000000e+01,8.732679195817827633e+01,1.297235667973017570e+01,-3.799674066361645453e-02,9.838180976145308705e+02,1.142214679396169608e-02,nan,1.843449990060297949e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.397715089140510791e+01,2.656888779261501554e+01,-4.629763159691680646e-02,1.197342697878458239e+03,2.266166062992657215e-01,nan,5.470115837303135109e+00,1.000000000000000000e+00
1.500000000000000000e+01,3.354626152190144950e+01,4.485467743302001509e+01,-5.251033965725487168e-02,1.357152773182355531e+03,1.019519703825699786e-02,nan,1.400890236892379903e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.261146327653264905e+02,5.016881554153828660e+01,-2.301904697939496577e-02,5.985454705560022148e+02,5.002225048208530644e-02,nan,4.372216858518970461e+00,1.000000000000000000e+00
1.500000000000000000e+01,4.144208248571992215e+01,3.328292921205687804e+01,-2.798398214720515531e-02,7.262589660785230308e+02,1.477742532879999793e-02,nan,7.491233391042590561e+00,1.000000000000000000e+00
1.600000000000000000e+01,4.598188703616191475e+01,9.405830543459309467e+00,-5.746677250195429687e-02,1.484647562645716334e+03,2.575310753020587651e-02,nan,1.794459942350946946e+01,1.000000000000000000e+00
