time/h	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	3 uM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	Ab42	Ab42	Ab42	Ab42
0.0000	16191	16158	16347	17158	16607	16247	16292	16134	15974	16271	16136	16023	15727	15512	15748	15973
0.036111	15756	15490	16525	16353	15993	15994	15424	15630	15997	15327	15976	16291	15409	15540	15481	14863
0.072222	15496	15307	15975	16161	15986	15440	15594	15472	15755	15394	15655	15578	14890	14989	15633	14759
0.10833	15022	15361	15831	15816	15733	15599	15131	15171	15737	15693	15253	15252	15031	15240	15066	14875
0.14444	15023	15264	15709	15667	15737	14959	15393	15081	15338	15620	15448	15059	14549	14690	15205	13941
0.18056	15067	14650	15647	15559	15444	14960	15348	15282	15843	15015	15310	15020	14361	14921	15132	14634
0.21667	14962	14382	15383	15647	15454	15588	14861	14955	15300	15393	14924	15421	14801	14906	14955	14373
0.25278	14498	14893	15602	15650	15261	14918	15089	14684	15172	14874	14800	14991	14674	14957	14890	14373
0.28889	14597	14445	15011	15331	15665	15039	14533	14885	15040	15072	14885	15188	14883	14682	14814	14574
0.32500	14500	14393	14928	15520	15131	15288	15118	14336	15351	14727	15321	15300	14385	14884	15194	14282
0.36111	14512	14475	15164	15580	15502	15456	14788	14642	15243	15157	14560	15326	14817	14848	15077	14491
0.39722	14343	14350	14866	15391	15343	14494	14836	14925	15373	15035	14797	15110	14281	14795	15253	14470
0.43333	14505	14401	14984	15262	15104	14760	14525	14639	15510	14893	14877	14960	14237	14891	14881	14489
0.46944	14879	14402	14469	15755	15179	14962	15280	14564	15298	14772	15058	15013	14482	15022	15068	14571
0.50556	14508	14265	15123	15434	15104	14815	15011	14119	15165	14867	14672	14925	14538	14876	14909	14584
0.54167	14513	14448	15176	15570	14970	14494	14643	14698	15098	15127	14529	14932	14700	15014	15273	14404
0.57778	14556	14384	15374	15605	15102	14466	14646	14793	14985	14714	15078	15054	14894	15062	15245	15075
0.61389	14646	14014	14990	15756	15221	14650	14490	14868	14935	14736	14713	15161	15239	15329	15250	15094
