time/h	150 nM B6	150 nM B6	150 nM B6	150 nM B6	75 nM B6	75 nM B6	75 nM B6	75 nM B6	38 nM B6	38 nM B6	38 nM B6	38 nM B6	19 nM B6	19 nM B6	19 nM B6	19 nM B6	9.4 nM B6	9.4 nM B6	9.4 nM B6	9.4 nM B6	4.7 nM B6	4.7 nM B6	4.7 nM B6	4.7 nM B6	2.3 nM B6	2.3 nM B6	2.3 nM B6	2.3 nM B6	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone
0.0000	12813	10568	11845	10934	9978.0	10178	10243	10245	9695.0	9788.0	10167	10179	9528.0	9617.0	9957.0	10474	9338.0	9429.0	9156.0	9529.0	9579.0	9160.0	9190.0	9590.0	8995.0	8912.0	9255.0	9138.0	9295.0	9606.0	9311.0	9161.0
0.020834	11582	10456	11891	10558	10153	9981.0	10248	10394	9551.0	9510.0	9946.0	10276	9792.0	9858.0	10065	10375	9259.0	9249.0	9099.0	9517.0	9576.0	8851.0	9482.0	9892.0	9072.0	9323.0	9165.0	9644.0	8816.0	8958.0	8853.0	8767.0
0.041666	11812	10506	11666	10342	9512.0	10275	10360	10916	9535.0	9594.0	9693.0	9830.0	9078.0	9422.0	10059	9772.0	9269.0	9156.0	9134.0	9433.0	9065.0	9003.0	9571.0	9414.0	9317.0	8939.0	8858.0	9276.0	9013.0	8770.0	9223.0	8911.0
0.062500	11557	10289	11551	10437	9444.0	9803.0	10176	10379	9215.0	9500.0	9715.0	9967.0	9545.0	9456.0	9765.0	9569.0	9514.0	9537.0	8995.0	9407.0	9243.0	8856.0	9152.0	9467.0	8952.0	8843.0	8959.0	9159.0	8963.0	8956.0	8755.0	8951.0
0.083334	11816	10134	11492	10633	9725.0	9871.0	10007	10310	9642.0	9317.0	9654.0	9769.0	9176.0	9332.0	9849.0	9961.0	9105.0	9148.0	9224.0	9547.0	9086.0	8952.0	8814.0	9458.0	9060.0	8937.0	8914.0	9173.0	9020.0	8890.0	9204.0	9107.0
0.10417	11391	10352	11687	10218	9213.0	9710.0	10130	9999.0	9449.0	9621.0	9364.0	9944.0	9615.0	9245.0	9791.0	9804.0	9292.0	9082.0	9253.0	9357.0	9220.0	8697.0	9239.0	9611.0	8906.0	9137.0	9082.0	9768.0	9236.0	8991.0	8870.0	9092.0
0.12500	10888	9889.0	11273	10460	9387.0	9873.0	9940.0	10243	9512.0	9174.0	9642.0	9967.0	8948.0	9340.0	9678.0	10011	9374.0	9435.0	9105.0	9315.0	8986.0	9028.0	9123.0	9607.0	8953.0	9090.0	9234.0	9555.0	9148.0	8839.0	8950.0	8605.0
0.14584	10818	9859.0	11551	10471	9479.0	9513.0	9910.0	10037	9207.0	9469.0	9454.0	10002	9186.0	9411.0	9818.0	10121	9420.0	9294.0	9429.0	9282.0	8400.0	8874.0	9301.0	9170.0	9017.0	8997.0	9156.0	9482.0	9273.0	8948.0	9201.0	9085.0
0.16666	11049	9653.0	11194	10001	9649.0	9954.0	9630.0	10195	9454.0	9148.0	9483.0	9994.0	8980.0	9756.0	9776.0	10282	9237.0	8944.0	9229.0	9532.0	8788.0	8677.0	9315.0	9232.0	8874.0	8746.0	9088.0	9602.0	9052.0	9111.0	8786.0	9119.0
0.18750	10864	9928.0	11139	10514	9752.0	9505.0	9773.0	10210	9316.0	9428.0	9663.0	9860.0	9261.0	9334.0	9300.0	9816.0	9058.0	8989.0	9071.0	9356.0	9232.0	8941.0	9280.0	9184.0	8885.0	8697.0	9095.0	9623.0	9155.0	9105.0	8978.0	9158.0
