Dataset	m0	half_time	log(m0)	log(half_time)
230531_20nMJB6_20uMAb42: A11	200.0	1694.813459359132	5.298317366548036	7.435327960282784
230531_20nMJB6_20uMAb42: B11	200.0	1794.066374996514	5.298317366548036	7.492240040260136
230531_20nMJB6_20uMAb42: D11	200.0	1535.9651499455465	5.298317366548036	7.336914224612687
230531_20nMJB6_20uMAb42: C11	200.0	1781.0318878710768	5.298317366548036	7.4849481876049975
230531_20nMJB6_20uMAb42: A02	50.0	1640.5690597302012	3.912023005428146	7.402798448272321
230531_20nMJB6_20uMAb42: B02	50.0	1564.2757455413862	3.912023005428146	7.355178213455758
230531_20nMJB6_20uMAb42: C02	50.0	1660.744832832841	3.912023005428146	7.415021475194938
230531_20nMJB6_20uMAb42: D02	50.0	1392.0354215848347	3.912023005428146	7.2385222871114365
230531_20nMJB6_20uMAb42: A03	25.0	993.4188379097583	3.2188758248682006	6.901152365559447
230531_20nMJB6_20uMAb42: B03	25.0	1164.803419118571	3.2188758248682006	7.060307612807765
230531_20nMJB6_20uMAb42: C03	25.0	966.3058281296461	3.2188758248682006	6.873480376374475
230531_20nMJB6_20uMAb42: D03	25.0	1066.5337566139847	3.2188758248682006	6.972169189181699
230531_20nMJB6_20uMAb42: A04	9.0	906.9216235855912	2.1972245773362196	6.810056033576033
230531_20nMJB6_20uMAb42: B04	9.0	904.7607483772432	2.1972245773362196	6.807670542314975
230531_20nMJB6_20uMAb42: C04	9.0	819.2794337824961	2.1972245773362196	6.708425214650958
230531_20nMJB6_20uMAb42: D04	9.0	823.0798468302369	2.1972245773362196	6.713053215205804
230531_20nMJB6_20uMAb42: A05	3.0	814.6816132274226	1.0986122886681098	6.702797378297247
230531_20nMJB6_20uMAb42: B05	3.0	842.134526977982	1.0986122886681098	6.735939772238037
230531_20nMJB6_20uMAb42: C05	3.0	820.6176452119308	1.0986122886681098	6.71005728259427
230531_20nMJB6_20uMAb42: D05	3.0	767.7464313628697	1.0986122886681098	6.643459511134121
230531_20nMJB6_20uMAb42: E01	2.0	790.24617867033	0.6931471805599453	6.672344515488123
230531_20nMJB6_20uMAb42: F01	2.0	784.717334474072	0.6931471805599453	6.6653235694642685
230531_20nMJB6_20uMAb42: G01	2.0	748.3665797994157	0.6931471805599453	6.6178929378702644
230531_20nMJB6_20uMAb42: H01	2.0	689.6219083912426	0.6931471805599453	6.536143488553716
230531_20nMJB6_20uMAb42: A06	1.0	804.9172623918816	0.0	6.6907394924989605
230531_20nMJB6_20uMAb42: B06	1.0	853.5916346564234	0.0	6.749452899865042
230531_20nMJB6_20uMAb42: C06	1.0	825.492457006959	0.0	6.715980125834437
230531_20nMJB6_20uMAb42: D06	1.0	769.5783962069676	0.0	6.645842827500843
230531_20nMJB6_20uMAb42: A07	0.5	790.0946652719665	-0.6931471805599453	6.672152767740276
230531_20nMJB6_20uMAb42: B07	0.5	831.694686445334	-0.6931471805599453	6.723465410066611
230531_20nMJB6_20uMAb42: C07	0.5	813.0968765583208	-0.6931471805599453	6.7008502618072265
230531_20nMJB6_20uMAb42: D07	0.5	782.9248050746663	-0.6931471805599453	6.663036656991807
230531_20nMJB6_20uMAb42: A08	0.25	795.8759447485014	-1.3862943611198906	6.679443325392871
230531_20nMJB6_20uMAb42: B08	0.25	856.3916786466295	-1.3862943611198906	6.752727840001611
230531_20nMJB6_20uMAb42: C08	0.25	824.578295469588	-1.3862943611198906	6.714872098642843
230531_20nMJB6_20uMAb42: D08	0.25	798.7775009820168	-1.3862943611198906	6.683082435123479
230531_20nMJB6_20uMAb42: A09	0.13	793.0179202288375	-2.0402208285265546	6.675845819398227
230531_20nMJB6_20uMAb42: B09	0.13	833.6784847773343	-2.0402208285265546	6.725847818171406
230531_20nMJB6_20uMAb42: C09	0.13	780.8784367710603	-2.0402208285265546	6.660419486983572
230531_20nMJB6_20uMAb42: D09	0.13	792.6803468654797	-2.0402208285265546	6.675420046884676
230531_20nMJB6_20uMAb42: E02	0.067	777.335500474062	-2.703062659591171	6.6558720467152765
230531_20nMJB6_20uMAb42: F02	0.067	762.4022510604343	-2.703062659591171	6.636474304933265
230531_20nMJB6_20uMAb42: G02	0.067	742.261184240286	-2.703062659591171	6.609701181553636
230531_20nMJB6_20uMAb42: H02	0.067	686.6905905623057	-2.703062659591171	6.531883813133313
230531_20nMJB6_20uMAb42: A10	0.033	774.2311726452696	-3.4112477175156566	6.651870501664232
230531_20nMJB6_20uMAb42: B10	0.033	838.737494466578	-3.4112477175156566	6.731897778447859
230531_20nMJB6_20uMAb42: C10	0.033	791.8014496964607	-3.4112477175156566	6.674310665557524
230531_20nMJB6_20uMAb42: D10	0.033	761.8722035166478	-3.4112477175156566	6.63577882970102
