frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,9.281143739923103908e+01,2.234636338400816413e+01,-7.454751981218149526e-02,2.048739902491589874e+03,9.644663582715429229e-03,nan,2.712618594303901531e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.400842094191297065e+02,3.971995909901995248e+01,-1.534497504988204582e-03,4.335900639931166012e+01,3.270004810307050036e-01,nan,5.036424130783655784e+01,1.000000000000000000e+00
6.000000000000000000e+00,2.613798484095739028e+01,4.559467773103405364e+01,-4.663444947442400845e-02,1.282077514909476577e+03,9.165610216504305185e-03,nan,1.662433668827479494e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.965964095106447473e+01,4.913636215432114085e+01,-6.913433945593688845e-02,1.900061103415970138e+03,9.098400485089919165e-03,nan,2.285227233496510024e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.569113743718467902e+01,2.291142425237175573e+01,-5.256765331166013411e-02,1.445039316131099213e+03,9.616449515259972713e-03,nan,2.156532254849822650e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.027612137267602499e+01,4.061774517787237926e+01,-4.009758669857785285e-02,1.102535574077270894e+03,1.249129380991753635e-02,nan,1.662433668827479494e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.696047298987037522e+01,5.177721897378531679e+01,-1.375829154098199766e-03,3.900101011817519492e+01,2.987727146357536112e-01,nan,2.285227233496510024e+01,1.000000000000000000e+00
8.000000000000000000e+00,4.481634178406235236e+01,2.832492986898945375e+01,-3.134868343922556089e-02,8.622375710135623876e+02,1.192706805203391784e-02,nan,1.655477578995639831e+01,1.000000000000000000e+00
1.300000000000000000e+01,7.654966525898339569e+01,1.405725810164473444e+01,-2.453833636452191005e-02,6.751840908561862307e+02,1.039501394051700611e-02,nan,1.951073134437977430e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.122543776523639281e+01,2.613354434007299787e+01,-1.470953956881832338e-03,4.161371475933135855e+01,3.013546944816528628e-01,nan,1.655477578995639831e+01,1.000000000000000000e+00
1.800000000000000000e+01,4.608328302449096014e+01,6.902454867025997309e+00,-4.839352555338809203e-02,1.330392424388027848e+03,8.436988478655482737e-03,nan,2.447692081355452132e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.975097663759618172e+01,4.522146879278126974e+00,-6.058810833280083019e-02,1.665329707750435318e+03,1.079556213176235957e-02,nan,2.643967143838659695e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.004380135224992898e+01,5.110064732409171739e+01,-1.626188266033778279e-02,4.478624210870411275e+02,1.526081651578825582e-02,nan,2.803399893476967719e+01,1.000000000000000000e+00
