frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,9.230395315558581615e+01,2.875440757370454392e+01,-1.334361774095996992e-03,3.786206409129330552e+01,3.359859061773836642e-01,nan,7.317653020722925561e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.261890770052799127e+01,3.152971270927431391e+01,-2.614289157353410012e-02,7.192549190618744888e+02,9.037555855025969365e-03,nan,1.723173914061275980e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.695950061716310131e+01,3.482164291440030013e+01,-1.419737557302411420e-02,3.911585216740448914e+02,8.906418622966705279e-03,nan,1.272185654558900225e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.559695248463376060e+01,3.528925272493690812e+01,-1.511624209996257837e-03,4.273076684206470333e+01,3.195147958152401158e-01,nan,7.317653020722925561e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.022580818766208495e+02,4.059730529976322799e+01,-1.623164957561025338e-03,4.579435299743740728e+01,2.896874360771699575e-01,nan,8.517397895714077904e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.255366772761368566e+01,5.184491524201539647e+01,-1.289575984623085808e-03,3.663197439239669961e+01,3.715858831199746470e-01,nan,6.048668499831493683e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.767881606054474730e+01,8.005688281576725629e+00,-2.991240553293585819e-02,8.227886592477358363e+02,9.277951762076130926e-03,nan,2.403714273133030233e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.306612334340852613e+02,3.000848960746934324e+01,1.379205172531716445e-03,-3.909373608208537121e+01,3.097011551623790604e-01,nan,9.314841791987202413e+00,1.000000000000000000e+00
8.000000000000000000e+00,7.939720316327783678e+01,4.730776482086955781e+01,-1.117461592272931152e-03,3.190466817420819012e+01,3.729628162123523882e-01,nan,1.272185654558900225e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.730843647272803310e+01,2.507960256361511853e+01,-1.708682725187119552e-03,4.814319012339942105e+01,3.377213001360477307e-01,nan,6.043926682913233428e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.176045944678695605e+02,8.238813868383315864e+00,-1.890163402717212485e-03,5.312775140066730017e+01,2.348821088984223149e-01,nan,1.630085494059419560e+01,1.000000000000000000e+00
1.000000000000000000e+01,9.954023550654639507e+01,5.288103947121156523e+01,-1.341907459868739048e-03,3.806931443675779292e+01,3.232773429903761375e-01,nan,1.224504700315820216e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.847768945658734197e+01,5.306653595872813867e+01,-1.495913611062857189e-03,4.229925840738228260e+01,3.472295956930474548e-01,nan,5.217805613956735478e+00,1.000000000000000000e+00
1.200000000000000000e+01,8.345585964053738337e+01,2.888838395035732987e+01,-1.541561068657703974e-03,4.355301474458391908e+01,2.411007060761592991e-01,nan,1.093727482361969194e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.235294125483946033e+02,3.600043490629992249e+01,-1.449158130312304437e-03,4.101506902688691980e+01,3.078315838654757108e-01,nan,6.633975326837441955e+00,1.000000000000000000e+00
1.300000000000000000e+01,2.466436273427965631e+01,1.772286469166450473e+01,-1.500262246948099593e-03,4.241869835182993853e+01,3.000823924934583609e-01,nan,6.357300942274354050e+00,1.000000000000000000e+00
1.300000000000000000e+01,3.536296235708587687e+01,4.031854516058744053e+01,-1.343163433709979255e-03,3.810381110416895467e+01,3.475256280783386442e-01,nan,1.803512863099704333e+01,1.000000000000000000e+00
1.400000000000000000e+01,7.018472750101422264e+01,4.368687194653203676e+01,-1.029803175683368689e-02,2.840588653499504517e+02,2.377147803513623980e-02,nan,1.256553858358578779e+01,1.000000000000000000e+00
1.400000000000000000e+01,2.536814430895772787e+01,1.140463972211917820e+01,-1.398813667256744919e-03,3.963230440154561762e+01,2.924516457194639152e-01,nan,6.357300942274354050e+00,1.000000000000000000e+00
1.400000000000000000e+01,2.037440320520675030e+01,3.028814340954926010e+01,-1.347324055874499910e-03,3.821808705030748143e+01,3.021391473273273842e-01,nan,6.043926682913233428e+00,1.000000000000000000e+00
1.700000000000000000e+01,8.874359619958065082e+01,3.846250650281833572e+01,-2.582481031529627186e-02,7.105184764586446136e+02,8.105594610309796444e-03,nan,1.093727482361969194e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.241621303627471349e+02,1.413656923462908566e+01,-1.977845659265147025e-03,5.553603853426492520e+01,2.220405012063383365e-01,nan,8.703553125878089602e+00,1.000000000000000000e+00
1.900000000000000000e+01,5.925284912206556953e+01,4.988257973527240807e+01,-1.205717068822948022e-03,3.432869940940727105e+01,2.855928843316750676e-01,nan,1.256553858358578779e+01,1.000000000000000000e+00
2.000000000000000000e+01,7.383237871026359755e+01,5.314687232560009988e+01,-1.017354315944363381e-03,2.915511455808070096e+01,3.654653787173290924e-01,nan,1.494049159594188403e+01,1.000000000000000000e+00
2.100000000000000000e+01,3.505954648049223010e+01,8.050722952209758532e+00,-3.161537896130627023e-02,8.695626493099215395e+02,1.150180039104786722e-02,nan,1.987906738522725547e+01,1.000000000000000000e+00
2.100000000000000000e+01,2.785637208426740230e+01,4.772955388326418813e+01,-2.732962302061669319e-02,7.518497699195537507e+02,8.281204831899535712e-03,nan,3.147021275276675567e+01,1.000000000000000000e+00
2.500000000000000000e+01,7.593806910651238695e+01,2.878461372507731397e+01,-1.311392225762797329e-03,3.723118083288682811e+01,3.215011138150338788e-01,nan,7.863599361629192153e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.518352935983672403e+01,8.398952080536702169e+00,-1.545347175773593897e-03,4.365700423359342608e+01,3.051371889245273472e-01,nan,1.987906738522725547e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.253808415025311263e+02,6.374365992838161077e+00,-1.900371491755719353e-03,5.340812750477240911e+01,2.009591205636710454e-01,nan,2.610729490443842593e+01,1.000000000000000000e+00
2.700000000000000000e+01,4.517137106972360527e+01,2.311434480182980522e+01,-1.436237224784182301e-03,4.066018251092692282e+01,3.148183062399532162e-01,nan,1.828767432485823008e+01,1.000000000000000000e+00
2.700000000000000000e+01,8.459427741280325108e+01,2.128420361579686571e+01,-1.604638333953817102e-03,4.528549942752667334e+01,2.774875868941206747e-01,nan,1.145364981345663935e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.291271004412456307e+02,3.402992937261446116e+01,-1.178573140620850935e-03,3.358316233476924850e+01,3.744725846638015110e-01,nan,2.246107784300557242e+01,1.000000000000000000e+00
2.900000000000000000e+01,7.756376931062490598e+01,3.647833153680939944e+01,-1.632063733008436287e-03,4.603876740074440477e+01,2.514568687056721874e-01,nan,7.863599361629192153e+00,1.000000000000000000e+00
2.900000000000000000e+01,6.288171281466296136e+01,4.618200328876941541e+01,-1.462413575489218860e-03,4.137914403278301023e+01,3.637474098805543177e-01,nan,6.354628463351984280e+00,1.000000000000000000e+00
3.100000000000000000e+01,4.120027666060899207e+01,4.096565963872564708e+01,-1.600246453685796660e-03,4.516487172976671616e+01,2.923283842643734642e-01,nan,7.514907627042076932e+00,1.000000000000000000e+00
3.200000000000000000e+01,6.073434526153036472e+01,9.526670793664330006e+00,-1.984959110266114324e-02,5.464026779293527625e+02,1.248193900855765204e-02,nan,2.065988989919885555e+01,1.000000000000000000e+00
3.600000000000000000e+01,3.740247621513232446e+01,3.448102021780852056e+01,-1.500942770472398977e-02,4.134624036403375840e+02,1.542401275841354114e-02,nan,7.514907627042076932e+00,1.000000000000000000e+00
3.600000000000000000e+01,1.052459613584342861e+02,4.804335012418095374e+01,-1.314688192433702621e-02,3.623055879373761741e+02,1.740363972154901351e-02,nan,1.218490707316151322e+01,1.000000000000000000e+00
3.800000000000000000e+01,4.667465592230799842e+01,3.070967439584896397e+01,-1.692035943978485160e-03,4.768596843934464857e+01,3.383798432327390637e-01,nan,1.000981347633272200e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.177836383196957257e+02,2.415519340945198223e+01,-1.497269698942098066e-03,4.233650481412613686e+01,3.267060683022952050e-01,nan,7.258699073930667822e+00,1.000000000000000000e+00
3.900000000000000000e+01,1.297424707665181813e+02,5.054464334327959563e+01,-2.055798224563437464e-03,5.767708927166435728e+01,2.033837664209621199e-01,nan,1.515441500660113583e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.106623392094959968e+02,2.556082893438384929e+01,-1.380428587797562527e-03,3.912733849333459801e+01,2.536802753575124747e-01,nan,7.258699073930667822e+00,1.000000000000000000e+00
4.000000000000000000e+01,2.807205347374075188e+01,4.882644607386941971e+01,-1.594168437365378263e-03,4.499793249851806110e+01,3.502308918163330453e-01,nan,1.711280314632344357e+01,1.000000000000000000e+00
4.100000000000000000e+01,6.989278791007452085e+00,2.001166322608281689e+01,-1.604814917029318997e-03,4.529034947091611940e+01,2.539879024887020664e-01,nan,1.281225929106541273e+01,1.000000000000000000e+00
