frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,7.502125618681728270e+01,3.301171940278636185e+01,-1.550077879934051587e-03,4.378693809263204173e+01,3.278300151306523524e-01,nan,1.427573625932836165e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.575680519272760449e+01,5.209827469400453737e+01,-2.181705202955442485e-02,6.004411005548338380e+02,8.363499361549897593e-03,nan,3.647404370053299516e+01,1.000000000000000000e+00
8.000000000000000000e+00,9.767056639958160247e+01,3.636539305917805365e+01,-1.341795294431235696e-03,3.806623369282386449e+01,3.748661533828613335e-01,nan,2.007434423029339499e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.905947711877927020e+01,2.004044976216110996e+01,-1.747214750476780735e-03,4.920151348766889754e+01,2.770592107009057781e-01,nan,1.296681429729093615e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.372312138102122674e+02,6.825933223179385223e+00,-1.896981337096186309e-03,5.331501327426676795e+01,3.121673963485059877e-01,nan,8.033966688180242954e+00,1.000000000000000000e+00
1.200000000000000000e+01,7.061261856475234744e+00,2.078002884225383440e+01,-1.669410145685736122e-03,4.706452664415072462e+01,2.865601045592196527e-01,nan,3.531792795960377163e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.175955424072358966e+02,3.097918184611032899e+01,-1.680713354543182702e-03,4.737498138757847954e+01,2.753078129140666963e-01,nan,2.064015358802777200e+01,1.000000000000000000e+00
1.200000000000000000e+01,4.330541945103892232e+01,1.196456532363908210e+01,-1.851012888640077292e-03,5.205244057909699507e+01,2.688910385780914902e-01,nan,1.444573824483600433e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.696005452254101442e+01,7.244720092352012308e+00,-1.522766019453064210e-02,4.194563928238506492e+02,1.357320366530012645e-02,nan,1.296681429729093615e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.115115716872672209e+02,5.090519597746317260e+01,-3.349874314218895775e-03,9.322027576470152610e+01,1.314212762221248498e-01,nan,2.007434423029339499e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.097925483379167702e+02,9.834435919200252840e+00,-1.452207172625439397e-03,4.109881424127363658e+01,3.479531631369795486e-01,nan,1.893221417690190478e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.347254820333190821e+02,1.445914545716433786e+01,-1.479744575670758093e-03,4.185515852411582927e+01,3.125345034794441146e-01,nan,8.033966688180242954e+00,1.000000000000000000e+00
1.400000000000000000e+01,9.117152269588619617e+01,4.787840826653349779e+01,-1.611802036040740774e-03,4.548225818173862933e+01,3.181714179178207758e-01,nan,9.085264299733523785e+00,1.000000000000000000e+00
1.600000000000000000e+01,4.922797253789462246e+01,2.514040375508979608e+01,-1.464209442719525706e-03,4.142846945065741693e+01,3.098096080115377848e-01,nan,1.279827585129110723e+01,1.000000000000000000e+00
1.800000000000000000e+01,3.475920695675597472e+01,4.226456334108227963e+01,1.310976048205360865e-03,-3.721975007030924587e+01,3.736989589522714539e-01,nan,3.555155546595481830e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.235113016647380419e+02,2.288144863468098222e+01,-1.662890606000351880e-03,4.688546050056093151e+01,2.718799192688743371e-01,nan,1.000067393082755629e+01,1.000000000000000000e+00
1.900000000000000000e+01,9.340204061222111420e+01,3.907120569018035638e+01,-1.732322344368120290e-03,4.879247759566729314e+01,3.095301418160736340e-01,nan,9.085264299733523785e+00,1.000000000000000000e+00
1.900000000000000000e+01,3.935679889299400713e+01,1.699449707517008434e+01,-1.598164702467167559e-03,4.510769420180888289e+01,3.126040735822263050e-01,nan,1.279827585129110723e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.065278198331667454e+02,4.248912326351587865e+01,-1.511054975041615980e-03,4.271513219406144657e+01,2.962202976321980374e-01,nan,4.582973252944591458e+00,1.000000000000000000e+00
2.100000000000000000e+01,1.986965366567470781e+01,3.818105299818515164e+01,-7.486752110622351720e-03,2.068440573891814438e+02,3.706091811234180078e-02,nan,9.661028531832473121e+00,1.000000000000000000e+00
2.100000000000000000e+01,1.187697342472358457e+02,3.699009072936274833e+01,-1.379442126271969915e-03,3.910024427047350315e+01,3.374832980542631367e-01,nan,6.771039465217156383e+00,1.000000000000000000e+00
2.100000000000000000e+01,3.297042327362131431e+01,4.533692137611657813e+01,-1.702142908527971192e-03,4.796356705099702822e+01,3.260413893828452148e-01,nan,3.555155546595481830e+00,1.000000000000000000e+00
