frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.253353201033657172e+02,3.109653485375336146e+01,-2.107450685050071132e-02,5.799929288898365485e+02,7.078461076103903515e-02,nan,3.536098308044299898e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.233553729904176777e+01,3.970541134452015797e+01,-3.304971261667271482e-02,9.106878878658465055e+02,8.865884633708298601e-03,nan,1.147070784682990663e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.317370107524486400e+01,3.594890439423718931e+01,-3.848113890880784649e-02,1.060676566969187434e+03,1.175679137487262160e-02,nan,1.147070784682990663e+01,1.000000000000000000e+00
9.000000000000000000e+00,8.610938741331509050e+00,1.875537367224963603e+01,-5.726329881674434470e-03,1.561534682435579384e+02,5.052540160422214210e-02,nan,1.562537592533958097e+01,1.000000000000000000e+00
9.000000000000000000e+00,9.427274368980525310e+01,1.419933180215060631e+01,1.264866480743725985e-03,-3.295028617286088490e+01,3.552228204210460261e-01,nan,3.030203800389470814e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.631922478425747869e+01,1.540278006472746952e+01,-4.654894283494097340e-02,1.283468737765592323e+03,1.201537481617154235e-02,nan,7.456909364122637385e+00,1.000000000000000000e+00
1.300000000000000000e+01,2.202126446627709910e+01,2.677507047194501411e+01,-1.473881736740029202e-02,4.050330480653104246e+02,9.833703739209442851e-03,nan,1.562537592533958097e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.275335143305945422e+02,3.377486615545538484e+01,-2.904313852561751091e-02,8.000464608585024280e+02,9.999104565275696022e-02,nan,7.005826662605588950e+00,1.000000000000000000e+00
1.500000000000000000e+01,6.011810176695143326e+01,8.986080684586776002e+00,-3.553296439368795311e-03,9.614521292933861218e+01,1.231516531009571036e-01,nan,7.456909364122637385e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.247503780565939877e+02,2.734557694848874831e+01,-5.605569353257131016e-02,1.545997381810176194e+03,1.226836409422804586e-02,nan,7.005826662605588950e+00,1.000000000000000000e+00
1.700000000000000000e+01,2.557544966219871085e+01,7.673521804889070097e+00,-1.586731103139583932e-02,4.361963677782699733e+02,1.570593189810942647e-02,nan,1.942939509832498857e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.209487540516683310e+02,4.000789056840363855e+01,-4.603502293474321869e-03,1.251466170489114091e+02,9.362794882097369431e-02,nan,9.066954354320602150e+00,1.000000000000000000e+00
2.100000000000000000e+01,7.488674106922422880e+01,2.087377916427408309e+01,-4.015889008059050913e-02,1.107007616786461313e+03,9.838854761780813085e-03,nan,3.529489828560195974e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.312727257760874693e+02,4.591835746032668908e+01,-4.183066107345595475e-02,1.153173524136848528e+03,1.030786600902522387e-02,nan,1.189613429005928680e+01,1.000000000000000000e+00
2.200000000000000000e+01,3.027080724707116843e+01,2.838819554134700240e+01,-1.499065844748455681e-02,4.119876321679234934e+02,9.263386424114561368e-02,nan,6.726374646838078064e+00,1.000000000000000000e+00
2.200000000000000000e+01,3.344862001660870732e+01,3.431656984560531498e+01,-1.762923325704286726e-02,4.848517988001885897e+02,1.537002393978200709e-01,nan,6.726374646838078064e+00,1.000000000000000000e+00
2.600000000000000000e+01,5.073270830330366721e+01,4.660921283331926190e+01,-3.600943675745035821e-02,9.924205839402324045e+02,1.335577851677183236e-02,nan,1.076546674722050945e+01,1.000000000000000000e+00
2.800000000000000000e+01,7.570599038479463161e+01,1.207879646630075143e+01,-1.374977797164658559e-02,3.777207539143113877e+02,1.272508523836024530e-02,nan,2.766010761953380737e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.234945911477140896e+02,2.802665635013585899e+01,-1.555832440992553937e-03,4.098530270340852866e+01,2.791017776467834555e-01,nan,1.652415241858788875e+01,1.000000000000000000e+00
3.100000000000000000e+01,6.132985512263370254e+01,4.850546006801042154e+01,-1.926729603848921848e-02,5.300868548725227356e+02,2.203939928655174185e-02,nan,1.076546674722050945e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.074089303817877727e+01,2.004765882665330068e+01,-7.295434187112240232e-02,2.012653064241387483e+03,1.140993447170002284e-02,nan,2.520305936064560015e+01,1.000000000000000000e+00
3.300000000000000000e+01,2.196083204187719318e+01,4.261549367826263079e+01,-9.746461652338490184e-03,2.671692901790228802e+02,2.446108469102736827e-02,nan,1.345692470950834085e+01,1.000000000000000000e+00
3.300000000000000000e+01,9.699463584121295057e+00,4.816055149405904245e+01,-3.392133716885305239e-02,9.347577745261655764e+02,1.234349453256744500e-02,nan,1.345692470950834085e+01,1.000000000000000000e+00
3.300000000000000000e+01,4.820856690543205048e+01,9.083257195853489563e+00,-2.176019675112792970e-02,5.989282355547729821e+02,1.355283005620000480e-02,nan,2.766010761953380737e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.183788729522368612e+02,4.373897764576837943e+01,-5.237245767359525496e-03,1.426474246500466450e+02,5.543696758356830845e-02,nan,1.652415241858788875e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.390821987275844762e+01,2.379493540896052295e+01,-3.133992824674306215e-03,8.456615580352428196e+01,1.247416034000908835e-01,nan,2.047090560562564221e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.265343965333645428e+02,2.915493039298402422e+01,-9.474834082004827962e-02,2.614493711414007521e+03,7.397908320064039422e-03,nan,1.670948829718542328e+01,1.000000000000000000e+00
4.200000000000000000e+01,9.665255606153063184e+01,1.242531988428942569e+01,-3.498631465375760807e-02,9.641670968006725388e+02,1.077853046393817404e-02,nan,3.093359849536566841e+01,1.000000000000000000e+00
4.300000000000000000e+01,8.597688782167301724e+01,4.478179557415263190e+01,-3.610389248720360239e-02,9.950289761704548255e+02,1.012993180403720661e-02,nan,3.382653407452329475e+01,1.000000000000000000e+00
4.400000000000000000e+01,6.467035956919744422e+01,1.850887679223298932e+01,-2.070991121549841264e-03,5.521139468541586837e+01,3.479722152374797872e-01,nan,3.255565322837797027e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.240225949511874148e+02,2.683949648412211886e+01,1.653156769420248678e-03,-4.367291120260281190e+01,2.712443854123056663e-01,nan,9.920936539559550127e+00,1.000000000000000000e+00
4.700000000000000000e+01,1.238456560794389816e+02,3.675885505499918082e+01,-1.652555809548025400e-03,4.365631571320817272e+01,2.944978838585923242e-01,nan,9.920936539559550127e+00,1.000000000000000000e+00
4.800000000000000000e+01,1.009581098358264200e+02,8.635111560199622005e+00,-4.297835852682721502e-02,1.184867155934943639e+03,1.103430262202098611e-02,nan,2.938316021286760105e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.633136857116144824e+01,1.591275505023403447e+01,-1.980292418914564659e-02,5.448782106760352235e+02,1.195769384835887461e-02,nan,1.635314942882108369e+01,1.000000000000000000e+00
5.000000000000000000e+01,9.291735690341875298e+00,3.067314343078267314e+01,-1.708070196724554429e-02,4.697041231845428797e+02,1.702902583955812066e-02,nan,1.141935995662622716e+01,1.000000000000000000e+00
5.000000000000000000e+01,3.270253482098362241e+01,3.935846117009048584e+01,-7.965083487138660545e-02,2.197576523699687641e+03,1.056770204891055442e-02,nan,1.355126687901447013e+01,1.000000000000000000e+00
5.200000000000000000e+01,6.608074328692761412e+01,2.047073996329798007e+01,-6.480207812411332632e-03,1.769717853769636804e+02,4.020700540792432331e-02,nan,3.211487977405006689e+01,1.000000000000000000e+00
5.500000000000000000e+01,2.002868732158422205e+01,3.456154303567937802e+01,-3.101437079117389667e-02,8.544819825454701459e+02,1.321421993993865396e-02,nan,1.141935995662622716e+01,1.000000000000000000e+00
5.500000000000000000e+01,8.222524436192725261e+01,4.823259487144533608e+01,-2.136998951883934197e-02,5.881526741829314915e+02,1.340780759470971972e-02,nan,1.004129886480196099e+01,1.000000000000000000e+00
5.600000000000000000e+01,1.168222451965035589e+02,5.117982685992353709e+01,-6.660435450466986769e-03,1.819487663605822831e+02,3.333433447669709171e-02,nan,1.921632332607266846e+01,1.000000000000000000e+00
5.900000000000000000e+01,6.315972275722219642e+00,5.111549178976485308e+01,-2.047708858751259419e-03,5.456845567531592422e+01,1.945953935080231290e-01,nan,1.624498905405321736e+01,1.000000000000000000e+00
6.500000000000000000e+01,1.363978745500002390e+02,1.405584097827194867e+01,-6.429935476904367897e-02,1.773645847117406674e+03,9.000705771839867531e-03,nan,3.602384124035073398e+01,1.000000000000000000e+00
6.600000000000000000e+01,4.453276257608673205e+01,4.412789022031003583e+01,-2.109600467346972597e-02,5.805865906459371217e+02,1.662472249276114589e-02,nan,2.163434632341645170e+01,1.000000000000000000e+00
6.700000000000000000e+01,1.587927440724641137e+01,1.262546300169581315e+01,-5.726462781488405110e-03,1.561571382680558315e+02,4.027410280197973869e-02,nan,2.439327572625851914e+01,1.000000000000000000e+00
