frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.285015315559056432e+02,7.874752110621658474e+00,-1.336320666708456671e-03,3.492349144028271013e+01,3.471653889347655619e-01,nan,2.230888558426809709e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.190253042143096565e+02,3.352597491362293880e+01,-8.324787071564591218e-03,2.279097879753671521e+02,3.860079121553516845e-02,nan,1.862194512889116993e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.156689842938624224e+01,4.742885974240196845e+01,-2.483387530639331615e-03,6.659970952931998056e+01,2.405596042796853684e-01,nan,1.257006570386199051e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.009458076180690398e+02,4.157414503565725994e+01,-5.908407108444899136e-02,1.629625939835546205e+03,9.081818756176307517e-03,nan,1.978992772818238421e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.566937734489235368e+01,3.039423324255884751e+01,-3.941322034559799348e-02,1.086415968739830078e+03,1.190389027711702408e-02,nan,1.752166753597755289e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.834251445692160942e+01,3.415292409313196487e+01,-1.552401664363004842e-03,4.089056190655562517e+01,2.989865636641767521e-01,nan,2.559514582914956549e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.380744816063790381e+02,2.802531049849534028e+01,-1.877176973910399740e-03,4.985922263475693228e+01,2.645600240048572305e-01,nan,8.890839712778337400e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.211450903806915846e+02,1.403896467325932385e+01,-1.384661023493968411e-03,3.625840898710499971e+01,3.530245562738683063e-01,nan,1.211770921901643838e+01,1.000000000000000000e+00
1.300000000000000000e+01,4.189973552267343138e+01,1.577399615502850594e+01,-1.179313785993855307e-02,3.236881941315044173e+02,2.329807580421994206e-02,nan,1.640510288556837892e+01,1.000000000000000000e+00
1.300000000000000000e+01,3.282351510819479046e+01,3.208625250648357508e+01,-1.612868061682600591e-03,4.256033971008331918e+01,3.300483894034380583e-01,nan,1.866728379512630198e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.288929078839079523e+02,2.726098876200887489e+01,-1.390093225617203537e-03,3.640841909076160476e+01,3.579835549854324395e-01,nan,9.213331847819073772e+00,1.000000000000000000e+00
1.400000000000000000e+01,5.337456661254230994e+01,2.749814440319828890e+01,-1.588123176715251035e-03,4.187701043132809531e+01,3.602612559260469638e-01,nan,1.640510288556837892e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.192467825084042943e+02,3.171692467433676654e+01,-1.987576350182035292e-03,5.290789819991976373e+01,2.861307815232652096e-01,nan,9.719865670779194389e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.310573906689009505e+02,7.068657670479567834e+00,-1.967612659452758553e-03,5.235660146100466505e+01,2.657828178167663813e-01,nan,1.211770921901643838e+01,1.000000000000000000e+00
1.600000000000000000e+01,2.672622980438173457e+01,5.305180192111431126e+01,-1.951349785005828145e-03,5.190750265610130754e+01,2.705523797367452854e-01,nan,1.524880399382667839e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.013247247251279504e+02,2.269246371274702057e+01,-1.365547601422129054e-03,3.573059239243795560e+01,3.348702128700786762e-01,nan,1.298184792959162515e+01,1.000000000000000000e+00
