frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.245158352524139467e+01,5.866997743716908964e+00,-2.523013866807556019e-03,6.769398965021260040e+01,1.752039352697889463e-01,nan,1.741925213933425454e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.215480801358212517e+02,1.414041978893850704e+01,-9.668219281449483976e-03,2.650086293823277401e+02,1.795067750981771404e-02,nan,2.841693296311611761e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.402904157681547304e+01,3.652905142768698710e+01,-1.449057899880094608e-03,3.803672685575074297e+01,3.489909453847307441e-01,nan,1.961326510856375549e+01,1.000000000000000000e+00
6.000000000000000000e+00,2.844809587992227051e+01,3.963948422272244443e+01,-1.879168541617213823e-03,4.991421971906284938e+01,2.847871813653392037e-01,nan,1.853692312494236205e+01,1.000000000000000000e+00
6.000000000000000000e+00,2.644014665478078641e+01,1.624728900478430305e+01,-1.593201367162813860e-03,4.201724451285619466e+01,3.103622791914997237e-01,nan,1.741925213933425454e+01,1.000000000000000000e+00
6.000000000000000000e+00,9.280143094621790567e+01,4.719252657555546904e+01,-1.241997640721046858e-03,3.231876382069454934e+01,3.258026171351773304e-01,nan,2.158963419944076279e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.790660844076540315e+01,7.760906268933016605e+00,-1.843518903330437775e-02,5.071082441232551901e+02,1.636057396835799427e-02,nan,9.283396096456884905e+00,1.000000000000000000e+00
8.000000000000000000e+00,5.922723629278824831e+01,4.978751069464223633e+01,-1.829755714284328700e-03,4.854968592926388027e+01,2.350598077447342282e-01,nan,7.341904246617959373e+00,1.000000000000000000e+00
9.000000000000000000e+00,5.225212762971882796e+01,4.749591363039190384e+01,-1.878287085060222940e-03,4.988987832187561366e+01,2.716571973633675752e-01,nan,6.568420917166384321e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.623247420566877963e+01,4.486762026788622393e+01,-1.477003574139091257e-03,3.880844583771107636e+01,3.682654913667008367e-01,nan,4.885383060897639851e+00,1.000000000000000000e+00
1.000000000000000000e+01,7.514263243583931740e+01,1.694742525370687503e+01,-2.037168629906515628e-03,5.427738756229388883e+01,1.385774875499756753e-01,nan,1.086001636588180119e+01,1.000000000000000000e+00
1.100000000000000000e+01,8.716754901821202850e+01,2.528697761331403271e+01,-1.529516530369692904e-03,4.025858959686411964e+01,3.249962259770430295e-01,nan,8.750686606386933519e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.262457765820225433e+02,4.229447437933235676e+01,-1.868536285791234063e-03,4.962061028363026338e+01,3.122321149604182500e-01,nan,3.873116415915156097e+00,1.000000000000000000e+00
1.100000000000000000e+01,6.734282408172511225e+01,3.707626894663713557e+01,-1.398230251407248624e-03,3.663312282131686004e+01,2.988730935895896890e-01,nan,8.365229635504054073e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.407885763797798617e+01,3.307274534927525877e+01,-1.973463237469405204e-03,5.251816500279083755e+01,2.854199942555050162e-01,nan,2.023320348337858476e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.827260666989005955e+01,3.443750126251796928e+01,-1.215354851554809393e-03,3.158302397268091255e+01,3.638521749580512221e-01,nan,9.446265864811735469e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.109115906609719531e+02,2.594492323594398897e+01,-1.869126234676531453e-02,5.141797012274853387e+02,1.223309413027506842e-02,nan,1.705818607828027211e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.371177204443253856e+02,1.421391088329434282e+01,-2.519218969534849258e-03,6.758919367238806331e+01,1.725810261861419059e-01,nan,1.096945995306011312e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.656691641148535155e+01,3.999369822679096842e+01,-2.015662096041267917e-03,5.368348525504713109e+01,2.778944664679475762e-01,nan,4.885383060897639851e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.311603555159947803e+02,5.003109898988686410e+00,-1.828935236079950143e-03,4.852702844751069478e+01,2.393300645200879817e-01,nan,1.096945995306011312e+01,1.000000000000000000e+00
1.500000000000000000e+01,2.501656412515653827e+01,1.286128251889837060e+01,-2.294925068028644093e-03,6.139532410509512061e+01,1.448767370038863689e-01,nan,1.606110596059914997e+01,1.000000000000000000e+00
1.500000000000000000e+01,9.439709821305048365e+01,3.021730564729010027e+01,-1.385687075311087257e-03,3.628674337819562368e+01,3.041872071192729399e-01,nan,8.750686606386933519e+00,1.000000000000000000e+00
1.600000000000000000e+01,1.173200810846810924e+02,4.316928804208976089e+01,-1.497575254496224346e-03,3.937653219251819081e+01,2.528773977137298568e-01,nan,8.968463583903792724e+00,1.000000000000000000e+00
1.600000000000000000e+01,6.406277229903831483e+01,4.477161345858775121e+01,-1.204675710562303978e-03,3.128811980473821208e+01,3.210194696546768700e-01,nan,7.316123304493287627e+00,1.000000000000000000e+00
