frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,6.889739130632452913e+00,1.219673571960116298e+01,-4.650681665895585459e-03,1.264494740462781408e+02,6.122087777877005532e-02,nan,2.817425762531116362e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.506044855045968944e+01,1.174960763833004584e+01,-1.271017791772200908e-03,3.312015444802293018e+01,3.219635853902180767e-01,nan,2.356799955038544780e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.038985054339157585e+02,4.722054811389991613e+01,-1.263139077581379617e-03,3.290258398476814961e+01,3.179645321472689412e-01,nan,2.080455209923907844e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.040582791064286283e+01,3.679091484866546580e+01,-7.765254171504740177e-03,2.124583032122649513e+02,4.267508720035273484e-02,nan,2.279851178795512112e+01,1.000000000000000000e+00
6.000000000000000000e+00,9.706197216809437123e+01,2.757134454339175633e+01,-1.870217457236202866e-03,4.966703578419210174e+01,2.990239818608656508e-01,nan,1.332694026156766931e+01,1.000000000000000000e+00
1.000000000000000000e+01,3.023303060130755071e+01,3.481791140672993379e+01,-1.601658282768117503e-02,4.403185040916432627e+02,2.042199786598786204e-02,nan,2.356799955038544780e+01,1.000000000000000000e+00
1.000000000000000000e+01,8.318645097144639067e+01,3.769388367820231878e+01,-1.653686063121892176e-03,4.368752763278104112e+01,2.676511148253514216e-01,nan,1.098656712995977536e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.380039147151877366e+00,2.370607666677372549e+01,-1.565086798828870711e-03,4.124086152592789745e+01,3.561280276443434811e-01,nan,5.901353052544338951e+00,1.000000000000000000e+00
1.300000000000000000e+01,4.873827774623553921e+01,1.254487961146054431e+01,-1.635135503890268504e-03,4.317525447907766534e+01,2.816506202098922884e-01,nan,1.698770520008018536e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.401350435468087596e+01,3.955924485977098470e+01,-1.542105027199271693e-03,4.060622057072068714e+01,3.597058366391286954e-01,nan,1.098656712995977536e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.286475219970537864e+01,3.903356893420954776e+01,1.369934749983933633e-03,-3.585174337238736797e+01,3.484647835601407673e-01,nan,8.308947131984433909e+00,1.000000000000000000e+00
