time/h	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone	47 nM CTDSTA	47 nM CTDSTA	47 nM CTDSTA	47 nM CTDSTA	94 nM CTDSTA	94 nM CTDSTA	94 nM CTDSTA	94 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	187 nM CTDSTA	375 nM CTDSTA	375 nM CTDSTA	375 nM CTDSTA	375 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	750 nM CTDSTA	1500 nM CTDSTA	1500 nM CTDSTA	1500 nM CTDSTA	1500 nM CTDSTA	3000 nM CTDSTA	3000 nM CTDSTA	3000 nM CTDSTA	3000 nM CTDSTA	Fit 0	Fit 47	Fit 94	Fit 187	Fit 375	Fit 750	Fit 1500	Fit 3000
0.0000	0.013659	0.0075245	0.0074859	0.018896	0.018787	0.014411	0.015365	0.011833		0.014127				0.020852		0.013840				0.0056636									0.022624		0.011906	0.027994								
0.036111	0.0092687	0.0079232	0.0041225	0.0034303	0.0057684	0.0072509	0.0091184	0.0056627		0.011996				0.0024329		0.018794				0.0061493									0.015370		0.014405	0.014111								
0.072222	0.0021032	7.7836e-05	0.0060373	0.0019813	-0.00011557	0.0055272	0.0092418	0.0041467		0.0036708				0.0037401		0.0056139				0.0020207									0.011033		0.0066837	0.010800								
0.10833	0.0040499	0.0036517	-0.0011052	0.0035975	-0.0012657	0.00032266	1.8508e-05	0.0018424		0.0019371				0.0095741		-0.00041246				0.00041411									0.0031280		0.0046621	0.0048499								
0.14444	-0.0026048	-0.0041794	0.00064580	-0.0094160	-0.00081565	0.0051128	-0.00015115	0.00084188		-0.00088007				0.0081498		-0.0039802				-0.0051156									0.0031446		0.0029495	0.0022803								
0.18056	-0.0052004	-0.00089037	-0.00027377	0.00023965	0.0033682	-0.0018155	0.00032698	-0.0026904		0.0030568				-0.0036548		-0.0047011				-0.0081981									0.0038785		0.0020791	0.00041778								
0.21667	0.00087441	-0.0011039	-0.0025034	-0.0033969	-0.0067330	0.00065415	0.00058918	0.0015544	0.0091462	0.00040211	0.0010926	0.0017581		0.0037206	0.0012566	0.0027116		0.0022632	0.0079023	-0.0019958		0.00061947	-0.0047325	0.0016631	0.0036541		0.0045088		0.0021273		-0.0016270	0.0019354								
0.25278	-0.00087901	-0.00037779	-0.0033222	-0.0033969	-0.0046661	-0.0023956	-0.0063669	-0.0050705	0.0043915	-4.9361e-05	0.0026621	-0.0047169		-0.0064059	-0.0010866	-0.0052372		0.0023893	0.0013107	-0.0031727		0.0056754	0.014108	-0.00015251	0.0071254		0.011166		-0.0056113		0.0014474	0.0019871								
0.28889	0.0020065	-0.0042933	-0.0042796	-0.00059634	-0.0031326	-0.0022630	-0.0030508	-0.0035545	0.0023906	-0.0067131	0.0014576	0.00027085		-0.0025426	0.00051966	-0.0015955		-0.0037066	0.0045856	-0.0093003		0.0019961	0.0073951	-0.010925	0.0064873		0.0035140		-0.0039602		-0.0068493	-0.0035143								
0.32500	-0.0048691	-0.0014172	0.00050723	-0.0046648	-0.0061496	-0.0091582	-0.0028811	0.00046288	0.0047481	-0.0034444	-0.0022655	0.0098292		-0.0092741	0.0087587	0.00047485		0.0061099	0.0018530	0.0048977		-0.0060383	-0.0017880	0.0030914	0.0043943		0.00024896		-0.0055779		-0.0080145	-0.00025481								
0.36111	0.0010953	-0.0019298	-0.00096660	-0.0017528	-0.00043227	-0.0037382	-0.00050589	-0.0012350	0.0057189	-0.0058462	-0.0014442	0.0050047		-0.00088412	-0.0056218	0.00095548		0.00064462	-0.0044674	0.0074010		-0.0067391	-0.0017131	0.0053913	0.0058236		0.00073362		-0.0053778		-0.0047014	0.00077994								
0.39722	-0.0063050	-0.0026844	0.0012505	-0.0020454	-0.00086565	-0.0035227	-0.0046086	-0.0038425	0.00096415	-0.0025415	0.0085569	0.00070614		-0.0032645	-0.0011433	-0.0030374		-0.0010580	-0.0039042	0.00054488		-0.0021337	-0.0056059	0.0072069	-0.00050640		0.0031059		-0.0081964		-0.0088849	-0.0024795								
0.43333	-0.0069124	-0.0013175	-0.0034356	-0.0017807	-0.0020324	-0.0030918	-0.0042384	-0.0046612	0.0010038	-0.0040584	-0.0055870	0.0026650	0.0076159	-0.0060352	0.00036849	-0.0058103	0.0031896	0.00024524	-0.0026109	0.0061680		-0.0059382	0.00095699	-0.00061248	-0.0064791		-0.010618	-0.0054638	-0.0054946		-0.0072283	-0.0047042								
0.46944	-0.0035299	0.00054770	-0.0010800	-0.00063814	-0.00013224	-0.0088432	-0.0072923	-0.0027813	-0.0095755	-0.0066589	0.0014941	-0.00045464	0.0036857	-0.0083961	0.0037888	-0.0048305	-0.0015864	0.0059837	0.0010395	-0.00093096		0.0037732	0.0065966	-0.0066646	0.0030159		-0.010311	-0.0028394	0.00074300		-0.014458	0.0037979								
0.50556	-0.0027567	-0.0015311	-0.0030829	-0.00045701	-0.0015824	0.0015492	-0.0055648	-0.0025085	-0.0050585	-0.0049975	-0.0043095	-0.0067301	0.0012201	-0.0065425	-0.0035054	-0.0064573	-0.0025134	-0.00067965	0.00047630	0.00075038		0.013134	0.0039265	0.0012758	-0.0072703		0.0056822	-0.0019646	-0.0054445		-0.0052770	-0.0017379								
