time/h	Ab42 alone	Ab42 alone	Ab42 alone	Ab42 alone	47 nM CTD	47 nM CTD	47 nM CTD	47 nM CTD	94 nM CTD	94 nM CTD	94 nM CTD	94 nM CTD	187 nM CTD	187 nM CTD	187 nM CTD	187 nM CTD	375 nM CTD	375 nM CTD	375 nM CTD	375 nM CTD	750 nM CTD	750 nM CTD	750 nM CTD	750 nM CTD	1500 nM CTD	1500 nM CTD	1500 nM CTD	1500 nM CTD	3000 nM CTD	3000 nM CTD	3000 nM CTD	3000 nM CTD	Fit 0	Fit 47	Fit 94	Fit 187	Fit 375	Fit 750	Fit 1500	Fit 3000
0.0000	0.013659	0.0075245	0.0074859	0.018896			0.012038	0.013853	0.026032		0.027142		0.017245																0.059906											
0.036111	0.0092687	0.0079232	0.0041225	0.0034303			0.0075762	0.0085093	0.018039		0.015597		0.021314																0.023055											
0.072222	0.0021032	7.7836e-05	0.0060373	0.0019813			0.0066404	0.0030764	0.0020761		0.0078778		0.0047159																0.032868											
0.10833	0.0040499	0.0036517	-0.0011052	0.0035975			0.0056829	0.0041049	0.015460		0.011054		0.0048157																0.011202											
0.14444	-0.0026048	-0.0041794	0.00064580	-0.0094160			-0.0040014	0.0044402	0.0032844		0.013349		0.0081602																0.0095811											
0.18056	-0.0052004	-0.00089037	-0.00027377	0.00023965			0.0049430	0.0085764	8.2006e-06		0.0041455		0.0074114																-0.0040430											
0.21667	0.00087441	-0.0011039	-0.0025034	-0.0033969	0.0024275	-0.00020494	0.0052912	-0.0022894	0.0043764	0.0087181	-0.0026005	0.0025138	0.0040420	-0.0047493	0.012191	0.0076443	0.0090720	0.0071886	0.017417	0.0070260			0.010246	0.0086456	0.0013967			0.0094428	0.010992		0.0015124	0.0033392								
0.25278	-0.00087901	-0.00037779	-0.0033222	-0.0033969	-0.0016280	-0.00043976	-0.0014987	-0.0014175	-0.0077756	0.0051585	-0.0013718	0.0073557	-0.012231	0.0083866	0.0098211	0.0021187	0.0000	0.0026400	0.0027290	0.0095468			0.0071807	0.0011971	0.019332			0.0096440	0.0044196		-0.0013967	0.0045380								
0.28889	0.0020065	-0.0042933	-0.0042796	-0.00059634	0.0022106	-0.0046665	-0.0031744	-3.1300e-05	-0.0034306	0.011376	-0.0050346	-0.0018941	-0.0010247	-0.0047035	-0.0021199	-0.0012153	-0.014106	-0.0051194	0.0031809	0.0024725			-0.0031310	0.0034348	-0.0086901			0.00078996	0.0010286		-0.0059012	0.0063677								
0.32500	-0.0048691	-0.0014172	0.00050723	-0.0046648	-0.010108	0.00011528	-0.0043931	-0.0099805	-0.0077523	-0.010790	-0.0075151	0.00054966	-0.0033709	0.0025281	-0.0034673	-0.0031504	0.0034244	-0.00016946	0.017446	0.0039904			0.0029693	-0.00021286	-0.0058695			0.0045558	-0.0047332		0.0029201	-0.0098788								
0.36111	0.0010953	-0.0019298	-0.00096660	-0.0017528	0.0075240	-0.00054649	-0.0074834	-0.0022671	-0.0026871	0.0047656	-0.0086510	0.0011892	-0.0092113	0.0057091	-0.0026077	-0.0026142	0.0046255	0.0036567	0.0032374	-0.0041951			0.0017616	-0.0056996	-0.0016079			0.0014511	-0.012776		0.00038632	-0.0086170								
0.39722	-0.0063050	-0.0026844	0.0012505	-0.0020454	0.0012130	-0.00054649	-0.0059600	-0.0081248	-0.0054288	-0.0026540	-0.0088596	0.00068669	-0.011532	0.0036266	0.0076141	-0.00081893	-0.0011755	0.0028808	-0.0020448	0.0047222			-0.0016446	0.0055191	-0.00074944			0.0013936	0.0037294		-0.0056509	-0.0031594								
0.43333	-0.0069124	-0.0013175	-0.0034356	-0.0017807	-0.0084811	-0.00099479	-0.0057424	-0.0043016	-0.0083564	-0.0018682	-0.013056	-0.0015059	-0.0014490	-0.0070148	0.0013184	0.00057995	0.00025555	0.0010078	-0.0037961	0.0033128	-0.0059458	0.0036666	-6.5373e-05	0.0055498	0.00050758	-0.0048823	-0.0043458	0.0041246	-0.011575	-0.0048437	-0.0023038	-0.00028865								
0.46944	-0.0035299	0.00054770	-0.0010800	-0.00063814	-0.0055750	-0.0075058	-0.0061559	-0.0014398	-0.0020365	0.0077704	-0.0032959	-0.0076495	-0.0050930	-0.0087541	-0.0075328	-0.0017282	0.00033222	0.0048340	0.0053277	0.0014154	-0.0027825	0.0052740	0.0099986	0.011006	-0.010192	0.0075935	-0.0041019	-0.0028609	-0.0076140	0.0067177	0.0025760	-0.0028755								
0.50556	-0.0027567	-0.0015311	-0.0030829	-0.00045701	0.0088252	-0.0051575	-0.0037620	-0.012708	-0.016675	-0.0067915	-0.0071210	-0.0043150	-0.0045689	-0.0037194	-0.0010512	-0.0019847	-0.011781	-0.0053334	-0.0044457	-0.0066616	0.0032063	0.00098756	0.0047344	-0.0040444	-0.0036007	0.0010498	0.0022391	-0.00050364	-0.00047189	0.0021937	-0.0043684	-0.013475								
0.54167	-0.00052004	0.00043380	0.0015024	-0.0029650	-0.00019663	-0.0022329	-0.0052854	-0.0028260	-0.010076	0.0044420	-0.013172	0.00084657	-0.015950	-0.0012937	-0.00021489	-0.0024510	0.0072321	0.0014627	-0.0025250	-0.00069869	-0.0038267	-0.014740	-0.0028523	0.00092127	0.0068540	-0.00038732	0.010257	-0.0067704	0.00072847	-0.0069801	0.0092701	-0.0052730								
