Non-labelled			Labelled		
Conc. (uM)	RH (nm)	std (nm)	Conc. (uM)	RH (nm)	std (nm)
0,1	4,936666667	0,338575447	0,02	4,790833333	0,377948008
0,12	5,006666667	0,903400981	0,03	4,735833333	0,419750106
0,25	6,316666667	0,503620227	0,04	4,724375	0,516540514
0,5	7,883333333	0,435009578	0,06	5,025	0,407419819
1	8,705	0,939130804	0,08	5,061666667	0,4651067
2,3	9,516666667	0,503891523	0,1	4,985	0,730920963
4	9,846666667	0,186100331	0,16	5,303333333	0,846278842
6	10,69333333	0,405133723	0,32	5,940833333	0,581884999
8,2	11,11666667	0,730365205	0,64	7,1125	0,723100961
14	11,72333333	0,358096821	1	7,473055556	0,674877767
23	12,70333333	0,280237994	2	8,442222222	0,825708468
28	12,07	nan	6	9,646666667	0,733711133
			16	11,53333333	0,612178001
			27	11,81666667	0,820771994
			40	11,73333333	0,115470054
			50	12,13333333	0,841427359
			83	12,36666667	0,636396103
			100	10,96	0,279284801
