"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"4.3078e+03","9.9175e-14","1.0000e-13","2.0011e-06","2.0023e-06","1.0000e+00","7.1870e-01","4.8583e-02"," 5.24 %"
"4.4107e+03","9.9175e-14","1.0000e-13","1.9544e-06","1.9555e-06","1.0159e+00","7.1870e-01","1.2383e-03"," 0.13 %"
"4.5145e+03","9.9175e-14","1.0000e-13","1.9094e-06","1.9106e-06","1.0317e+00","7.1870e-01","2.1791e-03"," 0.23 %"
"4.6191e+03","9.9175e-14","1.0000e-13","1.8662e-06","1.8673e-06","1.0476e+00","7.1870e-01","6.8962e-04"," 0.07 %"
"5.2631e+03","1.1334e-13","1.1429e-13","1.8718e-06","1.8730e-06","1.0000e+00","7.1870e-01","7.4647e-04"," 0.08 %"
"5.7722e+03","1.1334e-13","1.1429e-13","1.7067e-06","1.7078e-06","1.0635e+00","7.1870e-01","1.3235e-03"," 0.14 %"
"6.2801e+03","1.2751e-13","1.2857e-13","1.7648e-06","1.7658e-06","1.0000e+00","7.1870e-01","1.9848e-04"," 0.02 %"
"6.5815e+03","1.2751e-13","1.2857e-13","1.6840e-06","1.6850e-06","1.0317e+00","7.1870e-01","1.3174e-03"," 0.14 %"
"7.0424e+03","1.2751e-13","1.2857e-13","1.5738e-06","1.5747e-06","1.0794e+00","7.1870e-01","1.3271e-03"," 0.14 %"
"1.6924e+04","1.2751e-13","1.2857e-13","6.5489e-07","6.5528e-07","1.9365e+00","7.1870e-01","2.0440e-03"," 0.22 %"
"1.7132e+04","1.2751e-13","1.2857e-13","6.4692e-07","6.4730e-07","1.9524e+00","7.1870e-01","2.0237e-03"," 0.22 %"
"1.7342e+04","1.2751e-13","1.2857e-13","6.3911e-07","6.3949e-07","1.9683e+00","7.1870e-01","4.7735e-04"," 0.05 %"
"1.7763e+04","1.2751e-13","1.2857e-13","6.2395e-07","6.2432e-07","2.0000e+00","7.1870e-01","4.8053e-04"," 0.05 %"
"8.6147e+03","1.4168e-13","1.4286e-13","1.4295e-06","1.4303e-06","1.1111e+00","7.1870e-01","1.6732e-03"," 0.18 %"
"2.0066e+04","1.4168e-13","1.4286e-13","6.1372e-07","6.1408e-07","1.9524e+00","7.1870e-01","3.8928e-03"," 0.42 %"
"2.0557e+04","1.4168e-13","1.4286e-13","5.9905e-07","5.9940e-07","1.9841e+00","7.1870e-01","1.2017e-02"," 1.29 %"
"2.0804e+04","1.4168e-13","1.4286e-13","5.9193e-07","5.9228e-07","2.0000e+00","7.1870e-01","2.8723e-02"," 3.10 %"
"2.2029e+04","1.5585e-13","1.5714e-13","6.1491e-07","6.1527e-07","1.8889e+00","7.1870e-01","6.6488e-04"," 0.07 %"
"2.2308e+04","1.5585e-13","1.5714e-13","6.0724e-07","6.0760e-07","1.9048e+00","7.1870e-01","5.0044e-03"," 0.54 %"
"2.2587e+04","1.5585e-13","1.5714e-13","5.9973e-07","6.0008e-07","1.9206e+00","7.1870e-01","1.1378e-02"," 1.23 %"
"2.2868e+04","1.5585e-13","1.5714e-13","5.9237e-07","5.9272e-07","1.9365e+00","7.1870e-01","1.5273e-02"," 1.65 %"
"2.3149e+04","1.5585e-13","1.5714e-13","5.8516e-07","5.8550e-07","1.9524e+00","7.1870e-01","1.7894e-02"," 1.93 %"
"2.3716e+04","1.5585e-13","1.5714e-13","5.7117e-07","5.7151e-07","1.9841e+00","7.1870e-01","3.8764e-03"," 0.42 %"
"2.4002e+04","1.5585e-13","1.5714e-13","5.6438e-07","5.6472e-07","2.0000e+00","7.1870e-01","7.8112e-03"," 0.84 %"
"1.1083e+04","1.7002e-13","1.7143e-13","1.3334e-06","1.3342e-06","1.0952e+00","7.1870e-01","1.7207e-03"," 0.19 %"
"2.4471e+04","1.7002e-13","1.7143e-13","6.0389e-07","6.0425e-07","1.8571e+00","7.1870e-01","6.3471e-03"," 0.68 %"
"2.5101e+04","1.7002e-13","1.7143e-13","5.8873e-07","5.8908e-07","1.8889e+00","7.1870e-01","4.1811e-03"," 0.45 %"
"2.6377e+04","1.7002e-13","1.7143e-13","5.6025e-07","5.6058e-07","1.9524e+00","7.1870e-01","4.5905e-02"," 4.95 %"
"2.6699e+04","1.7002e-13","1.7143e-13","5.5348e-07","5.5381e-07","1.9683e+00","7.1870e-01","3.7949e-02"," 4.09 %"
"2.7023e+04","1.7002e-13","1.7143e-13","5.4685e-07","5.4718e-07","1.9841e+00","7.1870e-01","1.3388e-02"," 1.44 %"
"2.7348e+04","1.7002e-13","1.7143e-13","5.4036e-07","5.4068e-07","2.0000e+00","7.1870e-01","7.3084e-03"," 0.79 %"
"1.0902e+04","1.8418e-13","1.8571e-13","1.4684e-06","1.4693e-06","1.0000e+00","7.1870e-01","1.0416e-03"," 0.11 %"
"2.3458e+04","1.8418e-13","1.8571e-13","6.8245e-07","6.8286e-07","1.6667e+00","7.1870e-01","3.1745e-03"," 0.34 %"
"2.3794e+04","1.8418e-13","1.8571e-13","6.7282e-07","6.7322e-07","1.6825e+00","7.1870e-01","8.1546e-03"," 0.88 %"
"2.5497e+04","1.8418e-13","1.8571e-13","6.2787e-07","6.2825e-07","1.7619e+00","7.1870e-01","5.0021e-04"," 0.05 %"
"2.6189e+04","1.8418e-13","1.8571e-13","6.1128e-07","6.1164e-07","1.7936e+00","7.1870e-01","4.1256e-03"," 0.44 %"
"2.2206e+04","1.9835e-13","2.0000e-13","7.7637e-07","7.7684e-07","1.4921e+00","7.1870e-01","1.3422e-03"," 0.14 %"
"2.2919e+04","1.9835e-13","2.0000e-13","7.5224e-07","7.5269e-07","1.5238e+00","7.1870e-01","9.3910e-04"," 0.10 %"
"2.4733e+04","1.9835e-13","2.0000e-13","6.9708e-07","6.9749e-07","1.6032e+00","7.1870e-01","4.7602e-04"," 0.05 %"
"2.5101e+04","1.9835e-13","2.0000e-13","6.8685e-07","6.8726e-07","1.6191e+00","7.1870e-01","2.1906e-03"," 0.24 %"
"2.5471e+04","1.9835e-13","2.0000e-13","6.7687e-07","6.7728e-07","1.6349e+00","7.1870e-01","6.8302e-03"," 0.74 %"
"2.7838e+04","2.1252e-13","2.1429e-13","6.6356e-07","6.6396e-07","1.6191e+00","7.1870e-01","1.3298e-03"," 0.14 %"
"2.8660e+04","2.1252e-13","2.1429e-13","6.4451e-07","6.4490e-07","1.6508e+00","7.1870e-01","1.4432e-02"," 1.56 %"
"2.9075e+04","2.1252e-13","2.1429e-13","6.3533e-07","6.3570e-07","1.6667e+00","7.1870e-01","1.2070e-02"," 1.30 %"
"2.9491e+04","2.1252e-13","2.1429e-13","6.2636e-07","6.2673e-07","1.6825e+00","7.1870e-01","1.5221e-02"," 1.64 %"
"2.9909e+04","2.1252e-13","2.1429e-13","6.1760e-07","6.1797e-07","1.6984e+00","7.1870e-01","4.5948e-03"," 0.50 %"
"3.0330e+04","2.1252e-13","2.1429e-13","6.0904e-07","6.0940e-07","1.7143e+00","7.1870e-01","2.7056e-03"," 0.29 %"
"3.1176e+04","2.1252e-13","2.1429e-13","5.9250e-07","5.9286e-07","1.7460e+00","7.1870e-01","2.1418e-03"," 0.23 %"
"2.8001e+04","2.2669e-13","2.2857e-13","7.0366e-07","7.0407e-07","1.5238e+00","7.1870e-01","1.4055e-04"," 0.02 %"
"2.8881e+04","2.2669e-13","2.2857e-13","6.8223e-07","6.8263e-07","1.5556e+00","7.1870e-01","7.3985e-03"," 0.80 %"
"2.9324e+04","2.2669e-13","2.2857e-13","6.7191e-07","6.7231e-07","1.5714e+00","7.1870e-01","9.8825e-03"," 1.06 %"
"2.9770e+04","2.2669e-13","2.2857e-13","6.6186e-07","6.6225e-07","1.5873e+00","7.1870e-01","8.5728e-03"," 0.92 %"
"3.0217e+04","2.2669e-13","2.2857e-13","6.5206e-07","6.5244e-07","1.6032e+00","7.1870e-01","9.1568e-03"," 0.99 %"
"3.0667e+04","2.2669e-13","2.2857e-13","6.4249e-07","6.4287e-07","1.6191e+00","7.1870e-01","6.7181e-04"," 0.07 %"
"3.1119e+04","2.2669e-13","2.2857e-13","6.3316e-07","6.3353e-07","1.6349e+00","7.1870e-01","1.3515e-02"," 1.46 %"
"3.1574e+04","2.2669e-13","2.2857e-13","6.2405e-07","6.2442e-07","1.6508e+00","7.1870e-01","3.2405e-03"," 0.35 %"
"3.2950e+04","2.2669e-13","2.2857e-13","5.9799e-07","5.9834e-07","1.6984e+00","7.1870e-01","7.3973e-03"," 0.80 %"
"3.0667e+04","2.4085e-13","2.4286e-13","6.8265e-07","6.8305e-07","1.5238e+00","7.1870e-01","4.7690e-02"," 5.14 %"
"3.1148e+04","2.4085e-13","2.4286e-13","6.7212e-07","6.7252e-07","1.5397e+00","7.1870e-01","1.8471e-01","19.90 %"
"3.1631e+04","2.4085e-13","2.4286e-13","6.6186e-07","6.6225e-07","1.5556e+00","7.1870e-01","4.2908e-02"," 4.62 %"
"3.2116e+04","2.4085e-13","2.4286e-13","6.5185e-07","6.5224e-07","1.5714e+00","7.1870e-01","3.7964e-02"," 4.09 %"
"3.2604e+04","2.4085e-13","2.4286e-13","6.4210e-07","6.4248e-07","1.5873e+00","7.1870e-01","1.7665e-02"," 1.90 %"
"3.3587e+04","2.4085e-13","2.4286e-13","6.2331e-07","6.2368e-07","1.6191e+00","7.1870e-01","1.2217e-02"," 1.32 %"
"3.2374e+04","2.5502e-13","2.5714e-13","6.8470e-07","6.8511e-07","1.4921e+00","7.1870e-01","2.0683e-02"," 2.23 %"
"3.2892e+04","2.5502e-13","2.5714e-13","6.7392e-07","6.7432e-07","1.5079e+00","7.1870e-01","4.1758e-02"," 4.50 %"
"3.3413e+04","2.5502e-13","2.5714e-13","6.6341e-07","6.6381e-07","1.5238e+00","7.1870e-01","4.4244e-03"," 0.48 %"
"3.4991e+04","2.5502e-13","2.5714e-13","6.3349e-07","6.3386e-07","1.5714e+00","7.1870e-01","1.0646e-03"," 0.11 %"
"3.6593e+04","2.5502e-13","2.5714e-13","6.0575e-07","6.0611e-07","1.6191e+00","7.1870e-01","1.0078e-02"," 1.09 %"
"3.7373e+04","2.6919e-13","2.7143e-13","6.2605e-07","6.2642e-07","1.5556e+00","7.1870e-01","2.7874e-03"," 0.30 %"
"3.7947e+04","2.6919e-13","2.7143e-13","6.1659e-07","6.1696e-07","1.5714e+00","7.1870e-01","2.3649e-03"," 0.25 %"
"4.2859e+04","2.8336e-13","2.8571e-13","5.7466e-07","5.7500e-07","1.6191e+00","7.1870e-01","2.6397e-06"," 0.00 %"
"4.7346e+04","2.8336e-13","2.8571e-13","5.2020e-07","5.2051e-07","1.7302e+00","7.1870e-01","6.0887e-03"," 0.66 %"
"5.0940e+04","2.9753e-13","3.0000e-13","5.0767e-07","5.0797e-07","1.7302e+00","7.1870e-01","2.6557e-03"," 0.29 %"
"5.2349e+04","2.9753e-13","3.0000e-13","4.9401e-07","4.9430e-07","1.7619e+00","7.1870e-01","2.3211e-03"," 0.25 %"
"6.7080e+04","3.1169e-13","3.1429e-13","4.0388e-07","4.0412e-07","1.9841e+00","7.1870e-01","7.9206e-05"," 0.01 %"
"4.3808e+04","3.2586e-13","3.2857e-13","6.4655e-07","6.4693e-07","1.4286e+00","7.1870e-01","9.0865e-04"," 0.10 %"
"4.4540e+04","3.2586e-13","3.2857e-13","6.3592e-07","6.3630e-07","1.4444e+00","7.1870e-01","7.0536e-04"," 0.08 %"
"4.5276e+04","3.2586e-13","3.2857e-13","6.2558e-07","6.2595e-07","1.4603e+00","7.1870e-01","6.3238e-04"," 0.07 %"
"4.6016e+04","3.2586e-13","3.2857e-13","6.1551e-07","6.1588e-07","1.4762e+00","7.1870e-01","5.5297e-04"," 0.06 %"
"4.6760e+04","3.2586e-13","3.2857e-13","6.0572e-07","6.0608e-07","1.4921e+00","7.1870e-01","4.6459e-03"," 0.50 %"
"4.7508e+04","3.2586e-13","3.2857e-13","5.9618e-07","5.9653e-07","1.5079e+00","7.1870e-01","2.0904e-03"," 0.23 %"
"4.8261e+04","3.2586e-13","3.2857e-13","5.8689e-07","5.8724e-07","1.5238e+00","7.1870e-01","1.2561e-03"," 0.14 %"
"4.9017e+04","3.2586e-13","3.2857e-13","5.7784e-07","5.7818e-07","1.5397e+00","7.1870e-01","1.7201e-03"," 0.19 %"
"4.9777e+04","3.2586e-13","3.2857e-13","5.6901e-07","5.6935e-07","1.5556e+00","7.1870e-01","4.5296e-03"," 0.49 %"
"5.1308e+04","3.2586e-13","3.2857e-13","5.5203e-07","5.5236e-07","1.5873e+00","7.1870e-01","9.2493e-04"," 0.10 %"
"5.2855e+04","3.2586e-13","3.2857e-13","5.3587e-07","5.3619e-07","1.6191e+00","7.1870e-01","6.1752e-04"," 0.07 %"
"7.0996e+04","3.4003e-13","3.4286e-13","4.1629e-07","4.1654e-07","1.8889e+00","7.1870e-01","2.0292e-03"," 0.22 %"
"7.1892e+04","3.4003e-13","3.4286e-13","4.1110e-07","4.1135e-07","1.9048e+00","7.1870e-01","2.6076e-03"," 0.28 %"
"7.3697e+04","3.4003e-13","3.4286e-13","4.0103e-07","4.0127e-07","1.9365e+00","7.1870e-01","2.6196e-03"," 0.28 %"
"7.4605e+04","3.4003e-13","3.4286e-13","3.9615e-07","3.9639e-07","1.9524e+00","7.1870e-01","3.5433e-03"," 0.38 %"
"7.5517e+04","3.4003e-13","3.4286e-13","3.9137e-07","3.9160e-07","1.9683e+00","7.1870e-01","1.3555e-03"," 0.15 %"
"7.6432e+04","3.4003e-13","3.4286e-13","3.8668e-07","3.8691e-07","1.9841e+00","7.1870e-01","2.0790e-03"," 0.22 %"
"7.7351e+04","3.4003e-13","3.4286e-13","3.8209e-07","3.8232e-07","2.0000e+00","7.1870e-01","9.4153e-04"," 0.10 %"
"9.2299e+04","3.8253e-13","3.8571e-13","3.6024e-07","3.6045e-07","2.0000e+00","7.1870e-01","6.2761e-04"," 0.07 %"
"9.7474e+04","3.9670e-13","4.0000e-13","3.5375e-07","3.5396e-07","2.0000e+00","7.1870e-01","1.4203e-04"," 0.02 %"
"6.0957e+04","4.2504e-13","4.2857e-13","6.0606e-07","6.0642e-07","1.3651e+00","7.1870e-01","9.1059e-05"," 0.01 %"
"6.3096e+04","4.2504e-13","4.2857e-13","5.8552e-07","5.8587e-07","1.3968e+00","7.1870e-01","2.9067e-04"," 0.03 %"
"6.8549e+04","4.2504e-13","4.2857e-13","5.3894e-07","5.3926e-07","1.4762e+00","7.1870e-01","3.2559e-04"," 0.04 %"
"1.0047e+05","4.2504e-13","4.2857e-13","3.6770e-07","3.6792e-07","1.9048e+00","7.1870e-01","9.6648e-04"," 0.10 %"
"1.0554e+05","4.2504e-13","4.2857e-13","3.5005e-07","3.5026e-07","1.9683e+00","7.1870e-01","4.3765e-04"," 0.05 %"
"1.0682e+05","4.2504e-13","4.2857e-13","3.4586e-07","3.4607e-07","1.9841e+00","7.1870e-01","2.3029e-03"," 0.25 %"
"1.0810e+05","4.2504e-13","4.2857e-13","3.4175e-07","3.4195e-07","2.0000e+00","7.1870e-01","1.2576e-02"," 1.36 %"
"1.0819e+05","4.3921e-13","4.4286e-13","3.5286e-07","3.5307e-07","1.9365e+00","7.1870e-01","2.2636e-04"," 0.02 %"
"1.1086e+05","4.3921e-13","4.4286e-13","3.4436e-07","3.4456e-07","1.9683e+00","7.1870e-01","2.0125e-04"," 0.02 %"
"1.1355e+05","4.3921e-13","4.4286e-13","3.3619e-07","3.3639e-07","2.0000e+00","7.1870e-01","7.0665e-04"," 0.08 %"
"8.2941e+04","4.5337e-13","4.5714e-13","4.7512e-07","4.7540e-07","1.5714e+00","7.1870e-01","3.7330e-04"," 0.04 %"
"9.3195e+04","4.5337e-13","4.5714e-13","4.2284e-07","4.2309e-07","1.6984e+00","7.1870e-01","6.7395e-05"," 0.01 %"
"1.1017e+05","4.6754e-13","4.7143e-13","3.6888e-07","3.6910e-07","1.8413e+00","7.1870e-01","5.7693e-04"," 0.06 %"
"1.1303e+05","4.6754e-13","4.7143e-13","3.5954e-07","3.5975e-07","1.8730e+00","7.1870e-01","5.8253e-04"," 0.06 %"
"1.3043e+05","4.8171e-13","4.8571e-13","3.2102e-07","3.2121e-07","2.0000e+00","7.1870e-01","5.4180e-04"," 0.06 %"
"1.4210e+05","5.1005e-13","5.1429e-13","3.1197e-07","3.1216e-07","2.0000e+00","7.1870e-01","3.2922e-04"," 0.04 %"
"1.4631e+05","5.2421e-13","5.2857e-13","3.1143e-07","3.1162e-07","1.9841e+00","7.1870e-01","2.3270e-04"," 0.03 %"
"1.5411e+05","5.3838e-13","5.4286e-13","3.0365e-07","3.0384e-07","2.0000e+00","7.1870e-01","8.6641e-05"," 0.01 %"
"1.3428e+05","5.5255e-13","5.5714e-13","3.5766e-07","3.5787e-07","1.7778e+00","7.1870e-01","1.3796e-05"," 0.00 %"
"1.4522e+05","5.5255e-13","5.5714e-13","3.3073e-07","3.3092e-07","1.8730e+00","7.1870e-01","5.0400e-05"," 0.01 %"
"1.4892e+05","5.5255e-13","5.5714e-13","3.2249e-07","3.2269e-07","1.9048e+00","7.1870e-01","1.1479e-04"," 0.01 %"
"1.5079e+05","5.5255e-13","5.5714e-13","3.1850e-07","3.1869e-07","1.9206e+00","7.1870e-01","2.1658e-05"," 0.00 %"
"1.5266e+05","5.5255e-13","5.5714e-13","3.1460e-07","3.1478e-07","1.9365e+00","7.1870e-01","8.4714e-05"," 0.01 %"
"1.5454e+05","5.5255e-13","5.5714e-13","3.1077e-07","3.1095e-07","1.9524e+00","7.1870e-01","3.9033e-05"," 0.00 %"
