"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"7.3554e+03","9.9184e-14","1.0000e-13","1.1721e-06","1.1727e-06","1.4286e+00","7.1870e-01","6.9060e-07"," 0.00 %"
"1.0902e+04","9.9184e-14","1.0000e-13","7.9076e-07","7.9115e-07","1.8571e+00","7.1870e-01","3.3352e-06"," 0.00 %"
"1.2184e+04","9.9184e-14","1.0000e-13","7.0757e-07","7.0791e-07","2.0000e+00","7.1870e-01","3.6191e-05"," 0.01 %"
"1.3482e+04","1.2379e-13","1.2481e-13","7.9810e-07","7.9850e-07","1.7143e+00","7.1870e-01","3.7672e-06"," 0.00 %"
"1.5202e+04","1.2379e-13","1.2481e-13","7.0781e-07","7.0816e-07","1.8571e+00","7.1870e-01","8.9104e-06"," 0.00 %"
"1.6990e+04","1.2379e-13","1.2481e-13","6.3334e-07","6.3365e-07","2.0000e+00","7.1870e-01","1.8038e-05"," 0.00 %"
"1.5531e+04","1.4840e-13","1.4962e-13","8.3056e-07","8.3096e-07","1.5714e+00","7.1870e-01","6.3608e-07"," 0.00 %"
"1.7696e+04","1.4840e-13","1.4962e-13","7.2893e-07","7.2929e-07","1.7143e+00","7.1870e-01","6.0670e-06"," 0.00 %"
"1.9954e+04","1.4840e-13","1.4962e-13","6.4646e-07","6.4678e-07","1.8571e+00","7.1870e-01","1.2226e-05"," 0.00 %"
"2.2300e+04","1.4840e-13","1.4962e-13","5.7845e-07","5.7873e-07","2.0000e+00","7.1870e-01","1.1811e-04"," 0.02 %"
"2.5117e+04","1.7301e-13","1.7444e-13","5.9872e-07","5.9902e-07","1.8571e+00","7.1870e-01","3.1043e-05"," 0.01 %"
"2.8071e+04","1.7301e-13","1.7444e-13","5.3573e-07","5.3600e-07","2.0000e+00","7.1870e-01","2.7242e-04"," 0.05 %"
"2.7194e+04","1.9762e-13","1.9925e-13","6.3167e-07","6.3198e-07","1.7143e+00","7.1870e-01","3.4495e-06"," 0.00 %"
"3.4268e+04","1.9762e-13","1.9925e-13","5.0127e-07","5.0151e-07","2.0000e+00","7.1870e-01","6.7734e-04"," 0.13 %"
"3.6565e+04","2.2223e-13","2.2406e-13","5.2828e-07","5.2854e-07","1.8571e+00","7.1870e-01","5.2910e-06"," 0.00 %"
"4.0864e+04","2.2223e-13","2.2406e-13","4.7270e-07","4.7293e-07","2.0000e+00","7.1870e-01","1.3275e-03"," 0.25 %"
"1.6913e+04","2.4684e-13","2.4887e-13","1.2686e-06","1.2692e-06","1.0000e+00","7.1870e-01","5.5059e-07"," 0.00 %"
"3.3316e+04","2.4684e-13","2.4887e-13","6.4399e-07","6.4431e-07","1.5714e+00","7.1870e-01","8.5538e-07"," 0.00 %"
"4.2804e+04","2.4684e-13","2.4887e-13","5.0125e-07","5.0150e-07","1.8571e+00","7.1870e-01","1.2827e-05"," 0.00 %"
"4.7837e+04","2.4684e-13","2.4887e-13","4.4852e-07","4.4874e-07","2.0000e+00","7.1870e-01","1.5595e-03"," 0.30 %"
"1.9504e+04","2.7145e-13","2.7368e-13","1.2097e-06","1.2103e-06","1.0000e+00","7.1870e-01","6.3547e-07"," 0.00 %"
"3.8421e+04","2.7145e-13","2.7368e-13","6.1411e-07","6.1441e-07","1.5714e+00","7.1870e-01","1.0296e-06"," 0.00 %"
"5.5166e+04","2.7145e-13","2.7368e-13","4.2770e-07","4.2791e-07","2.0000e+00","7.1870e-01","2.0496e-04"," 0.04 %"
"3.7933e+04","2.9606e-13","2.9850e-13","6.7841e-07","6.7874e-07","1.4286e+00","7.1870e-01","1.0242e-06"," 0.00 %"
"4.3763e+04","2.9606e-13","2.9850e-13","5.8803e-07","5.8832e-07","1.5714e+00","7.1870e-01","9.7080e-07"," 0.00 %"
"5.6225e+04","2.9606e-13","2.9850e-13","4.5769e-07","4.5792e-07","1.8571e+00","7.1870e-01","1.3847e-05"," 0.00 %"
"6.2836e+04","2.9606e-13","2.9850e-13","4.0954e-07","4.0974e-07","2.0000e+00","7.1870e-01","6.8706e-05"," 0.01 %"
"4.2759e+04","3.2067e-13","3.2331e-13","6.5185e-07","6.5217e-07","1.4286e+00","7.1870e-01","3.9025e-07"," 0.00 %"
"7.0831e+04","3.2067e-13","3.2331e-13","3.9351e-07","3.9371e-07","2.0000e+00","7.1870e-01","5.4484e-05"," 0.01 %"
"7.0813e+04","3.4528e-13","3.4812e-13","4.2382e-07","4.2403e-07","1.8571e+00","7.1870e-01","2.4728e-05"," 0.00 %"
"7.9139e+04","3.4528e-13","3.4812e-13","3.7923e-07","3.7942e-07","2.0000e+00","7.1870e-01","1.8161e-05"," 0.00 %"
"7.8517e+04","3.6989e-13","3.7293e-13","4.0948e-07","4.0968e-07","1.8571e+00","7.1870e-01","2.3607e-05"," 0.00 %"
"8.7749e+04","3.6989e-13","3.7293e-13","3.6640e-07","3.6658e-07","2.0000e+00","7.1870e-01","9.7934e-05"," 0.02 %"
"6.7313e+04","3.9450e-13","3.9774e-13","5.0941e-07","5.0966e-07","1.5714e+00","7.1870e-01","1.2943e-06"," 0.00 %"
"8.6482e+04","3.9450e-13","3.9774e-13","3.9650e-07","3.9669e-07","1.8571e+00","7.1870e-01","1.5359e-05"," 0.00 %"
"9.6650e+04","3.9450e-13","3.9774e-13","3.5478e-07","3.5496e-07","2.0000e+00","7.1870e-01","1.0693e-04"," 0.02 %"
"9.4699e+04","4.1911e-13","4.2256e-13","3.8468e-07","3.8487e-07","1.8571e+00","7.1870e-01","3.7050e-06"," 0.00 %"
"1.0583e+05","4.1911e-13","4.2256e-13","3.4421e-07","3.4438e-07","2.0000e+00","7.1870e-01","6.0595e-05"," 0.01 %"
"1.0316e+05","4.4372e-13","4.4737e-13","3.7386e-07","3.7405e-07","1.8571e+00","7.1870e-01","1.6439e-06"," 0.00 %"
"1.7895e+05","6.4059e-13","6.4586e-13","3.1115e-07","3.1131e-07","1.8571e+00","7.1870e-01","2.3270e-06"," 0.00 %"
"1.9999e+05","6.4059e-13","6.4586e-13","2.7842e-07","2.7855e-07","2.0000e+00","7.1870e-01","1.5221e-06"," 0.00 %"
"2.3723e+05","8.3747e-13","8.4436e-13","3.0685e-07","3.0700e-07","1.7143e+00","7.1870e-01","1.8744e-06"," 0.00 %"
"2.9894e+05","8.3747e-13","8.4436e-13","2.4350e-07","2.4362e-07","2.0000e+00","7.1870e-01","2.1070e-06"," 0.00 %"
"3.0266e+05","9.8513e-13","9.9323e-13","2.8292e-07","2.8306e-07","1.7143e+00","7.1870e-01","4.5518e-06"," 0.00 %"
"3.8139e+05","9.8513e-13","9.9323e-13","2.2451e-07","2.2462e-07","2.0000e+00","7.1870e-01","2.7700e-06"," 0.00 %"
"2.3892e+05","1.0097e-12","1.0181e-12","3.6735e-07","3.6753e-07","1.4286e+00","7.1870e-01","1.9063e-06"," 0.00 %"
"3.9577e+05","1.0097e-12","1.0181e-12","2.2176e-07","2.2187e-07","2.0000e+00","7.1870e-01","8.3920e-06"," 0.00 %"
"4.1033e+05","1.0344e-12","1.0429e-12","2.1911e-07","2.1921e-07","2.0000e+00","7.1870e-01","7.4038e-06"," 0.00 %"
"4.2506e+05","1.0590e-12","1.0677e-12","2.1654e-07","2.1665e-07","2.0000e+00","7.1870e-01","2.9143e-05"," 0.01 %"
"4.3996e+05","1.0836e-12","1.0925e-12","2.1407e-07","2.1418e-07","2.0000e+00","7.1870e-01","3.3868e-05"," 0.01 %"
"4.0717e+05","1.1082e-12","1.1173e-12","2.3657e-07","2.3669e-07","1.8571e+00","7.1870e-01","3.6691e-06"," 0.00 %"
