"Molec.Weight","S_Apparent","S_20_W","D_Apparent","D_20_W","f/f0","Vbar20","Concentration","Conc.Percent"
"1.8144e+04","1.7242e-13","1.7387e-13","8.2600e-07","8.2656e-07","1.5000e+00","7.1870e-01","3.6819e-05"," 0.01 %"
"2.3475e+04","2.4568e-13","2.4774e-13","9.0964e-07","9.1026e-07","1.2500e+00","7.1870e-01","8.5348e-05"," 0.02 %"
"2.7061e+04","2.7010e-13","2.7236e-13","8.6755e-07","8.6813e-07","1.2500e+00","7.1870e-01","6.0077e-04"," 0.14 %"
"2.2047e+04","2.9452e-13","2.9699e-13","1.1611e-06","1.1619e-06","1.0000e+00","7.1870e-01","6.1459e-03"," 1.47 %"
"4.0503e+04","2.9452e-13","2.9699e-13","6.3201e-07","6.3244e-07","1.5000e+00","7.1870e-01","2.8422e-05"," 0.01 %"
"5.7517e+04","3.1893e-13","3.2161e-13","4.8196e-07","4.8229e-07","1.7500e+00","7.1870e-01","3.5830e-06"," 0.00 %"
"7.0273e+04","3.1893e-13","3.2161e-13","3.9448e-07","3.9474e-07","2.0000e+00","7.1870e-01","1.8925e-04"," 0.05 %"
"2.7752e+04","3.4335e-13","3.4623e-13","1.0753e-06","1.0761e-06","1.0000e+00","7.1870e-01","2.5632e-04"," 0.06 %"
"5.0984e+04","3.4335e-13","3.4623e-13","5.8534e-07","5.8574e-07","1.5000e+00","7.1870e-01","1.2019e-04"," 0.03 %"
"7.8496e+04","3.4335e-13","3.4623e-13","3.8019e-07","3.8045e-07","2.0000e+00","7.1870e-01","2.3787e-04"," 0.06 %"
"5.6519e+04","3.6777e-13","3.7085e-13","5.6558e-07","5.6596e-07","1.5000e+00","7.1870e-01","7.4477e-05"," 0.02 %"
"7.1222e+04","3.6777e-13","3.7085e-13","4.4882e-07","4.4912e-07","1.7500e+00","7.1870e-01","2.6615e-04"," 0.06 %"
"8.7017e+04","3.6777e-13","3.7085e-13","3.6735e-07","3.6760e-07","2.0000e+00","7.1870e-01","4.2933e-04"," 0.10 %"
"4.7348e+04","3.9219e-13","3.9548e-13","7.1995e-07","7.2044e-07","1.2500e+00","7.1870e-01","2.9231e-03"," 0.70 %"
"1.0949e+05","4.8986e-13","4.9397e-13","3.8889e-07","3.8915e-07","1.7500e+00","7.1870e-01","1.0708e-04"," 0.03 %"
"1.3377e+05","4.8986e-13","4.9397e-13","3.1830e-07","3.1851e-07","2.0000e+00","7.1870e-01","3.3502e-04"," 0.08 %"
"9.3461e+04","5.1428e-13","5.1859e-13","4.7828e-07","4.7860e-07","1.5000e+00","7.1870e-01","2.4251e-04"," 0.06 %"
"1.1777e+05","5.1428e-13","5.1859e-13","3.7954e-07","3.7980e-07","1.7500e+00","7.1870e-01","3.7088e-03"," 0.88 %"
"1.4389e+05","5.1428e-13","5.1859e-13","3.1065e-07","3.1086e-07","2.0000e+00","7.1870e-01","2.3659e-03"," 0.56 %"
"5.4539e+04","5.3870e-13","5.4322e-13","8.5851e-07","8.5909e-07","1.0000e+00","7.1870e-01","1.6629e-03"," 0.40 %"
