frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,2.740797610597463319e+01,8.084189993029498922e+00,-1.007446083418901336e-02,2.655706604487041886e+02,4.745270221903008512e-02,nan,5.851675034825341015e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.746003779334508010e+01,1.419435757440562895e+01,-9.043651415029751658e-03,2.390550525527741286e+02,6.801260961592603405e-02,nan,7.502054170027821378e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.021787547457908829e+01,2.117111528081894889e+01,-1.235988868879752019e-02,3.243589366721221836e+02,4.371435071970075636e-02,nan,7.502054170027821378e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.216431910093847932e+02,3.301563798980381392e+01,-1.575806625773986183e-02,4.117705787313402652e+02,1.342330131417202033e-02,nan,1.416472030773583590e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.068411559672518507e+02,3.742234433303205776e+01,-1.362675519030966641e-02,3.569466631579574027e+02,2.429366983452296846e-02,nan,1.544407013011724317e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.235492072282877558e+02,4.708764552461884279e+01,-8.423412757913530460e-03,2.231005950863246881e+02,2.183609272137342350e-01,nan,3.128963613228044505e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.175037526981224119e+02,4.899808842540107889e+01,-1.231157449845782584e-02,3.231161461979125420e+02,1.081406998820010346e-01,nan,6.340135057981488131e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.246802162227441357e+01,5.098264530364201619e+01,-1.677731196925745516e-02,4.379887322851284353e+02,5.328331137865904843e-02,nan,5.956503260128066302e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.245280253329158704e+00,2.210019428413636078e+01,-3.668984388037665328e-02,9.502006684168985657e+02,9.366185189225606500e-03,nan,1.427483756052396124e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.374006127498738117e+01,3.926674645199106095e+01,-1.404892517733246499e-02,3.678061815454168482e+02,3.228581012684743623e-01,nan,8.612580898504440086e+00,1.000000000000000000e+00
6.000000000000000000e+00,6.832877974915797381e+01,3.984274876875062432e+01,-8.781690682141173390e-03,2.323166119173856146e+02,4.352856181445086126e-02,nan,1.995354650174567723e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.343818202292793558e+02,3.920971798560887578e+01,-9.250641198063448006e-03,2.443794702612013339e+02,6.549120445360689935e-02,nan,7.213490921065219830e+00,1.000000000000000000e+00
