frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
6.000000000000000000e+00,1.181637719511154359e+02,4.259709692844819529e+01,-2.053601387174457463e-02,5.680530640003834151e+02,1.049850526082896085e-02,nan,1.983280001646060597e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.433702642130899676e+02,5.310051052367528968e+01,-1.767041510987102252e-03,4.215996162931033098e+01,3.067549679984896693e-01,nan,2.316226441228665678e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.153124462662642173e+02,2.297033208215150424e+01,1.556378006861886898e-03,-3.625732180378609115e+01,3.150085975507198599e-01,nan,7.171965953590112797e+00,1.000000000000000000e+00
7.000000000000000000e+00,8.015671922757961454e+01,2.839001701485836548e+01,-1.462119195894292980e-03,3.361625773417306107e+01,3.307376858701591704e-01,nan,2.207184737453950518e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.760340792280948818e+01,2.869573521345686018e+01,-3.882582556887159697e-02,1.080520429304590834e+03,7.877621458525885245e-03,nan,3.567382095454124169e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.100702106503513988e+01,5.009812530606505732e+01,1.404631118212681983e-03,-3.200548315684231682e+01,3.273708823765196785e-01,nan,9.479546161898614542e+00,1.000000000000000000e+00
1.000000000000000000e+01,5.088079548901780669e+01,4.155018884887169861e+01,-1.502336620657158863e-03,3.474312104194476092e+01,3.436889955005171249e-01,nan,4.012881089339199292e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.097744585279762930e+02,1.841316328452854023e+01,1.576422345745792522e-03,-3.681894975858418917e+01,3.256599810027488440e-01,nan,7.171965953590112797e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.034570106902983042e+02,2.796596885165466873e+01,-1.067613716600918777e-02,2.917864123100191591e+02,1.503656214936410773e-02,nan,7.235746326186686339e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.154711511925660261e+01,5.344069370087435544e+01,-2.494279557792724450e-02,6.915279169860460797e+02,1.450032026686665088e-02,nan,1.921174661370298509e+01,1.000000000000000000e+00
1.700000000000000000e+01,2.384250503522539333e+01,3.867876311021579028e+01,-2.162790785066481813e-02,5.986471477359027631e+02,2.090795120536459439e-02,nan,1.921174661370298509e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.987598450812023465e+00,1.079480328126349598e+01,-1.940175102103763524e-02,5.362718349593249059e+02,1.144106863405569552e-02,nan,3.258225117624512279e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.078823641157021029e+01,5.217056813692998674e+01,-3.274131726021852623e-02,9.100368839438261830e+02,8.542899325442387948e-03,nan,3.715811368179736007e+01,1.000000000000000000e+00
2.000000000000000000e+01,3.853559776375617218e+01,2.241245183903254912e+01,-2.277095746321484634e-02,6.306745755222435719e+02,1.404097975289719802e-02,nan,1.197505733248907944e+01,1.000000000000000000e+00
2.100000000000000000e+01,8.200031381967166055e+01,1.808429333119004312e+01,-2.390356387405943861e-02,6.624093923100706434e+02,1.484757731548524973e-02,nan,5.014589097433173492e+00,1.000000000000000000e+00
2.300000000000000000e+01,1.100312180522424796e+02,3.268718972753756447e+01,1.635002777630604424e-03,-3.846033131480369605e+01,3.669108342825295743e-01,nan,2.281056667748680411e+01,1.000000000000000000e+00
2.400000000000000000e+01,4.731025320398750722e+01,3.056152663446908946e+01,1.992605331685411933e-03,-4.848009760530679557e+01,2.898542212761153758e-01,nan,1.197505733248907944e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.434093716393275599e+02,6.014841632056640464e+00,-4.694759622898398571e-02,1.308086600062193611e+03,7.255758170617965241e-03,nan,2.393742722985665239e+01,1.000000000000000000e+00
2.600000000000000000e+01,7.852117719033942933e+01,6.075662963839664421e+00,-1.895229174800817581e-02,5.236783094886864092e+02,1.367073595235035466e-02,nan,1.250246355664398301e+01,1.000000000000000000e+00
2.600000000000000000e+01,7.848124550104742525e+01,2.165672415416630514e+01,-2.610780879144123170e-02,7.241707490698713627e+02,5.781794254586847259e-02,nan,5.014589097433173492e+00,1.000000000000000000e+00
2.900000000000000000e+01,4.710758332346479449e+01,1.602506291851467068e+01,-3.835590091824125220e-02,1.067353478677217026e+03,1.619928364616329830e-02,nan,1.453787647649169124e+01,1.000000000000000000e+00
3.000000000000000000e+01,7.212328341214117700e+01,2.085272126925553238e+01,-4.019999841659561285e-02,1.119023763860863255e+03,1.194224450831793405e-02,nan,6.408595989989847475e+00,1.000000000000000000e+00
3.200000000000000000e+01,9.950329476291702235e+01,1.331996825547031804e+01,-3.363313446335566836e-02,9.350249603654357315e+02,1.154445171210427556e-02,nan,2.803699280566538832e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.867861211447187486e+01,1.718632170394690561e+01,-2.775776493906962836e-02,7.704013332795176439e+02,1.944929634320469169e-02,nan,1.162453416933134953e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.713694678953918427e+01,3.729182214963924480e+01,-3.642390815150392536e-02,1.013220431308982711e+03,2.068028126893317609e-02,nan,2.016452033016988565e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.256622515302519929e+02,2.340867215783719857e+01,-4.494515800435146952e-02,1.251979721645120890e+03,4.085706401049982173e-02,nan,1.731042119281185876e+01,1.000000000000000000e+00
3.700000000000000000e+01,3.896353184627253086e+01,2.583609468299593104e+01,-1.650705509716306890e-02,4.551645377366942853e+02,1.624714206037247699e-02,nan,1.667394356143041634e+01,1.000000000000000000e+00
3.800000000000000000e+01,7.355423879868081372e+01,1.947388846780496863e+01,-2.890005526582484219e-02,8.024074864241495106e+02,1.309320269608192921e-01,nan,1.551450601811882990e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.178792202569692904e+01,1.360999255428918708e+01,-1.884765915117702587e-03,4.545851473722959923e+01,3.749459081144970174e-01,nan,1.771842421705961357e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.357304165879450863e+02,3.748996237725948788e+01,-1.783694111728893880e-03,4.262655552152352101e+01,3.501125130157650700e-01,nan,1.731042119281185876e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.409041736758543664e+02,1.389782752571856328e+01,-4.699192521567131103e-02,1.309328666377060472e+03,1.803823247514368955e-02,nan,1.796586642243851983e+01,1.000000000000000000e+00
4.000000000000000000e+01,4.673124561400177868e+01,4.059017942968205972e+01,-2.190676338900615291e-02,6.064604792999842857e+02,1.369857440865500653e-01,nan,1.667394356143041634e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.724578360867827698e+01,2.876852060304235792e+01,-1.938949763820634400e-02,5.359285039879840724e+02,1.626559580871478339e-02,nan,1.854533858654696488e+01,1.000000000000000000e+00
4.100000000000000000e+01,7.751853907871021931e+01,4.222902795821959643e+01,-2.269091566292899889e-02,6.284318618636258407e+02,1.203363855304173669e-01,nan,1.240345223071990155e+01,1.000000000000000000e+00
4.300000000000000000e+01,8.367439845999572867e+01,7.714540466502354477e+00,-5.721560296715322291e-02,1.595788761635677702e+03,2.817443306129785441e-02,nan,1.551450601811882990e+01,1.000000000000000000e+00
4.500000000000000000e+01,3.302570216396827618e+01,1.370656229026912243e+01,-1.859988768553776789e-02,5.138042011923677137e+02,1.851364847979863892e-02,nan,2.007944841957383986e+01,1.000000000000000000e+00
4.500000000000000000e+01,8.849112287772845775e+01,4.801245531691210289e+01,-1.902078102130220702e-03,4.594358976221482038e+01,2.988288436473643950e-01,nan,4.069164515883579192e+00,1.000000000000000000e+00
4.700000000000000000e+01,8.819453413921731055e+01,5.207079672412692872e+01,1.779270400351353528e-03,-4.250260631132632483e+01,3.666343032381528255e-01,nan,4.069164515883579192e+00,1.000000000000000000e+00
4.800000000000000000e+01,1.152556731917606641e+02,1.709694640876340799e+01,-2.438789106890473096e-02,6.759798918645593631e+02,2.310650451678409878e-01,nan,1.177582812147354296e+01,1.000000000000000000e+00
4.800000000000000000e+01,6.281277543925975948e+01,2.039296675240955636e+01,-4.197649788483839156e-02,1.168800000873609861e+03,1.033159650771020566e-02,nan,2.339639981803926005e+01,1.000000000000000000e+00
4.900000000000000000e+01,6.424443837635334376e+01,5.015719847544111332e+01,-2.111856045758315342e-02,5.843756002273994454e+02,1.303084362905859717e-02,nan,5.666452688425523299e+00,1.000000000000000000e+00
4.900000000000000000e+01,8.139502304855783521e+00,5.296414056220860544e+01,1.726282551325778857e-03,-4.101792490328652718e+01,3.418857821890557425e-01,nan,2.691538400817173482e+01,1.000000000000000000e+00
5.000000000000000000e+01,8.603774550051869596e+01,3.328157403708090101e+01,-2.316208778327468951e-02,6.416337656949419852e+02,4.329798196633083407e-02,nan,1.493378464541008377e+01,1.000000000000000000e+00
