frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,6.212817705031832105e+01,8.953493079592719894e+00,-3.296018959904391948e-02,9.161695294118730999e+02,1.342502256158006890e-02,nan,1.569314937582107028e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.396747579385969402e+02,9.775074445933784162e+00,-3.290325464336746331e-02,9.145742529151879125e+02,5.549141143280122979e-02,nan,2.178247355304787547e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.041343521407419104e+02,1.304169748750899060e+01,-9.153894205807255879e-03,2.491342597298971668e+02,4.750788184747256615e-02,nan,1.358913901285801451e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.303122835436332139e+02,2.944282030795057636e+01,-5.371743660136560003e-03,1.431611224762101813e+02,1.953142110361333339e-01,nan,2.178247355304787547e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.851359335975428166e+01,3.343792286760872656e+01,-1.323725053001139490e-02,3.635469661981585432e+02,1.904974818031612838e-02,nan,1.968740800197015162e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.694304780576711877e+01,3.578703537327814388e+01,-3.675013612003325686e-02,1.022361104285240458e+03,1.641768573928525932e-02,nan,1.785435200966479741e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.051469230876112348e+01,2.309295075499684202e+01,-1.889866642501047403e-03,4.560143344883603334e+01,3.300108436347759522e-01,nan,1.211565178297043310e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.314926297159796889e+02,5.128890047052210122e+01,-4.008958899700006129e-02,1.115930171356912751e+03,8.522109349140660761e-03,nan,2.187794404316991859e+01,1.000000000000000000e+00
9.000000000000000000e+00,4.016582555798228071e+01,1.768377959371616726e+01,-2.844519878367707949e-02,7.896627350369922169e+02,7.934770651151556997e-03,nan,1.355679195763906542e+01,1.000000000000000000e+00
9.000000000000000000e+00,9.100943073185451482e+00,3.512583616229229477e+01,1.382323594145831898e-03,-3.138044238144741982e+01,3.532483098998808746e-01,nan,1.211565178297043310e+01,1.000000000000000000e+00
1.000000000000000000e+01,8.501892903871365093e+01,5.157813534752710183e+01,-2.319285061760729700e-03,5.763342861506700388e+01,3.127628284344322607e-01,nan,1.291179042127642873e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.038650335742786979e+01,1.595789728970107291e+01,-1.778018927405184031e-03,4.246754093973621025e+01,3.126099807017277410e-01,nan,1.119408921410430757e+01,1.000000000000000000e+00
