pH	SLS - buffer contr.
7,99	-248
7,85	-147,2637
7,69	-387,128709
7,57	-380,295692
7,5	-299,01956
7,44	-221,46347
7,37	39,805834
7,32	104,347872
7,27	228,846044
7,22	239,2345
7,17	240,952393
7,12	395,260539
7,08	617,92438
7,04	630,985824
6,98	921,860903
6,9	2061,751183
6,86	4699,999013
6,82	9673,059264
6,79	13967,27412
6,76	17315,82992
6,73	20709,91219
6,69	23393,72232
6,67	28116,06693
6,6	31754,87615
6,53	35627,1937
6,47	37420,86021
6,41	45400,86389
6,33	39170,09213
6,26	40184,76344
6,18	41013,43882
6,1	45040,81532
5,99	40839,65554
5,88	40867,20658
5,72	38425,1971
5,54	34294,3713
5,25	4827,2
5	1052,589973
4,84	932,008388
4,66	740,476383
4,46	1022,573989
4,29	939,921146
4,04	825,197296
3,77	743,75
3,45	806,923319
3,19	676,119714
3,06	751,470468
2,92	879,286066
