Distance / mm	5 nM	13 nM	21 nM	37 nM	69 nM	131 nM	256 nM	512 nM	1 uM	2 uM	4 uM	8 uM	16 uM	32 uM
0.0000	22.312	16.375	18.075	15.562	16.487	23.775	20.263	27.337	58.963	18.938	23.725	50.700	50.400	221.25
0.12850	23.562	16.362	17.950	15.512	16.263	22.325	19.413	24.087	53.812	21.300	23.112	47.100	49.037	230.84
0.25692	25.138	16.325	17.788	15.312	15.738	21.138	19.288	21.150	45.400	24.150	22.375	45.588	48.300	238.21
0.38542	27.538	16.263	17.362	15.062	15.450	19.888	19.550	19.700	40.250	22.600	22.112	46.388	48.450	244.68
0.51391	29.487	16.200	16.663	14.538	14.837	18.413	16.962	18.325	30.800	21.462	21.062	41.188	49.975	244.55
0.64234	32.888	16.212	15.950	13.962	14.062	16.450	15.137	16.550	21.500	22.737	21.950	38.425	58.287	246.46
0.77083	38.013	16.188	15.462	13.712	13.812	15.262	14.337	15.562	19.538	22.875	28.000	44.800	63.838	252.69
0.89933	45.500	17.675	19.237	15.163	17.225	16.938	14.738	17.075	20.600	20.087	48.963	61.675	57.125	254.74
1.0278	57.700	28.225	31.625	19.812	30.362	25.812	20.038	27.725	19.337	17.650	73.300	100.29	55.775	254.43
1.1563	78.762	42.125	36.900	25.550	37.275	33.625	33.263	45.138	21.875	20.325	82.412	137.07	64.012	253.16
1.2847	127.44	49.800	62.550	57.450	47.425	52.800	63.412	50.188	24.500	45.275	85.762	144.74	78.312	247.57
1.4132	223.04	152.59	105.47	97.625	128.71	144.82	174.79	148.80	36.963	92.338	114.05	147.29	96.875	247.10
1.5417	236.91	185.59	89.950	118.06	135.63	165.25	214.76	212.39	82.200	131.51	144.27	144.61	136.77	246.61
1.6702	237.56	155.41	111.70	157.20	151.59	135.05	178.32	202.14	94.088	120.78	136.56	126.39	187.65	249.34
1.7986	229.45	139.71	115.68	198.69	178.54	93.787	135.77	168.11	116.60	117.88	124.63	120.32	211.27	244.14
1.9271	227.45	143.38	102.39	185.44	167.86	81.363	130.73	140.90	153.25	124.79	115.05	122.61	211.64	217.56
2.0556	225.56	151.01	93.525	127.81	124.82	83.750	139.74	128.38	187.74	131.01	113.05	130.55	191.05	193.82
2.1840	225.02	164.01	92.750	111.10	104.49	103.28	145.43	132.70	186.75	128.66	110.22	137.35	179.21	181.96
2.3125	235.27	163.18	79.900	107.72	104.40	146.29	165.50	173.84	171.63	119.99	112.14	143.77	204.15	182.45
2.4410	233.69	137.23	101.44	75.725	114.50	202.11	194.40	229.74	148.64	112.81	131.63	158.16	248.55	195.59
2.5694	228.60	82.588	85.875	55.287	96.088	179.35	185.48	243.87	111.91	133.93	168.13	191.30	254.04	218.82
2.6979	190.04	42.625	51.537	31.663	55.600	99.625	106.28	196.71	96.125	155.26	175.63	215.77	254.79	246.15
2.8264	156.86	26.925	36.350	27.850	44.912	55.825	48.963	91.037	104.60	111.53	118.10	199.48	254.75	254.46
2.9548	126.16	24.737	42.938	27.612	51.838	52.975	43.075	82.062	135.70	89.775	114.82	198.99	240.85	247.21
3.0833	93.575	24.837	48.075	24.775	54.950	58.175	50.325	85.463	154.91	95.625	126.30	205.52	219.07	237.50
