time / h	Ab42 alone	Ab42 alone	Ab42 alone	47 nM S100GSTctrl	47 nM S100GSTctrl	47 nM S100GSTctrl	94 nM S100GSTctrl	94 nM S100GSTctrl	94 nM S100GSTctrl	187 nM S100GSTctrl	187 nM S100GSTctrl	187 nM S100GSTctrl	375 nM S100GSTctrl	375 nM S100GSTctrl	375 nM S100GSTctrl	750 nM S100GSTctrl	750 nM S100GSTctrl	750 nM S100GSTctrl	1500 nM S100GSTctrl	1500 nM S100GSTctr	1500 nM S100GSTctr	3000 nM S100GSTctr	3000 nM S100GSTctr	3000 nM S100GSTctr	0 fit	47 fit	94 fit	187 fit	375 fit	750 fit	1500 fit	3000 fit
0.0000										0.0091085	0.0081946	0.0097690	0.0027672	0.0037261	-0.0013818	0.0056366	0.0088132	0.0057933														
0.025278										0.0052319	0.0063403	0.0071687	-0.0016730	0.0027070	0.00073415	0.0038102	0.0082126	0.0042315														
0.050556	0.0069261	0.0061957	0.0053242	0.0073086	0.0048533	0.0045288	0.0076878	0.0047960	0.0048676	0.0061805	0.0054531	0.0054541	0.0012986	0.0013709	0.00085771	0.0043844	0.0053981	0.0031286	0.0061441	0.010668	0.0043775	0.0061146	0.0083657	0.0068095								
0.075833	0.0039123	0.0062582	0.0063517	0.00072441	0.0098756	0.0013334	0.0029896	0.0051864	0.0073800	0.0075826	0.0020722	0.0051211	0.0010049	-0.00061448	-0.00037016	0.0041770	-0.00088043	0.0038068	0.0085183	0.0042808	0.0066744	0.0046319	0.0043333	0.0071328								
0.10111	0.0028193	-4.8236e-05	0.0043656	0.0023065	0.0033943	0.0062230	0.0037501	0.0055697	0.0037013	0.0054299	0.0017046	0.0012314	0.0010395	-0.00032007	0.00029397	0.0064820	0.0034915	0.0023546	0.0057947	0.0044959	0.0024623	-0.00055761	0.0015251	0.0026238								
0.12639	0.0013325	0.0027209	0.0050484	-2.4000e-05	0.0024804	0.0045788	0.0022369	0.0036599	0.00018926	-0.0027851	0.0019843	0.0028964	-0.0028651	0.0013407	0.00040208	0.0037623	0.00090045	0.0027108	0.0020784	-0.0012708	0.00091452	0.0035852	0.0018333	0.0020733								
0.15167	0.00096281	0.00093436	-0.00097878	0.0026286	0.0055214	-0.0016832	0.0033619	0.0028862	0.0031815	-0.0019438	-0.00014174	0.0017344	0.0017306	-0.0018148	0.0023481	-0.0032561	-0.0010969	0.0012997	-0.00042298	0.0018318	0.0041796	0.0032364	0.0026381	0.0014442								
0.17694	-0.0062864	0.0023189	-0.0026821	-0.0051397	3.8397e-05	-0.0014044	0.00022448	-9.0149e-05	0.0010223	-0.00051687	-0.0015325	-0.0044721	0.00097902	-0.0049249	-0.0045712	-8.9857e-05	-6.3320e-05	-0.0040433	0.00019640	0.00045009	-0.00085939	0.0019717	0.0022271	-0.00021613								
0.20222	0.00094673	0.0048379	-0.0027924	-0.0044292	-0.0012748	-0.0011399	-0.00050442	-0.00083597	0.0033948	-0.0056718	-0.0019561	-0.00012895	-0.0038844	-0.0032641	-0.00055550	0.0029807	-4.6559e-07	0.00023792	-0.00032769	-0.0014529	-0.0011916	0.0023816	-0.0030639	-0.0023745								
0.22750	-0.00067670	0.00052345	0.0033243	-0.0018335	-0.0037168	0.0010260	-0.0046481	-0.0031989	-0.00094366	-0.0031727	-0.0016603	-0.0021624	-0.0029342	-0.0024564	0.00068009	-0.0053617	-0.0018931	-0.00063888	-0.0012488	0.00046664	-0.0017923	0.00018374	-0.0021564	0.0013480								
0.25278	-0.0012955	-0.0058634	-0.0038475	-0.0017671	-0.0020888	-0.0022765	-0.0015423	0.0017152	-0.0028763	-0.0044346	-0.0055048	-0.0036928	0.00071987	-0.0012863	-0.0020382	-0.0032561	-0.0056365	-0.00083753	-0.00083590	-0.00070823	0.00041980	-0.0058430	-0.00034132	-0.0028639								
0.27806	-0.0063266	-0.00072712	-0.0022201	-0.0011419	-0.0011980	-0.0023337	-0.0030635	-0.0036798	-0.0033828	0.00010997	-0.0032029	-0.0034590	0.0026894	0.0035978	-0.00086440	-0.0044285	-0.0068377	-0.0077081	-0.0025591	-0.0021644	-0.00069684	-0.0047266	-0.0019680	-0.00039963								
0.30333	0.00082618	-0.0031032	-0.0023235	-0.0022124	-0.0039548	-0.0017118	-0.0016532	-0.0051854	-0.00048382	-0.0024139	-0.0053929	-0.0036786	-0.0015693	-0.00048615	0.00091949	-0.0053537	-0.0040791	-0.0024267	-0.0014473	0.00064038	-0.0023011	-0.0051714	-0.0040485	-0.0044018								
0.32861	-0.0028788	-0.0071318	-0.0029579	-0.0011893	-0.0040163	-0.0015474	-0.0021603	-0.0035544	-0.0018767	-0.0050862	-0.0031390	-0.0075967	-0.00072275	-0.0028112	0.0020856	-0.0062151	-0.0029197	-0.0052147	-0.0074982	-0.0033393	-0.0038136	-0.0021624	-0.0036717	-0.0039824								
0.35389	-0.0022198	-0.0019598	-0.0046406	0.0011507	-0.0049148	-0.0040494	-0.0022078	-0.0021115	-0.0039492	-0.0076184	-0.0032189	-0.0081847	0.0014196	0.0052359	0.0014601	-0.0032721	-0.0034086	-0.0026939	-0.00055797	-0.0083448	-0.0033259	-0.0026857	-0.0030724	-0.0051183								
0.37917	0.00099495	-0.0022725	-0.0017167	0.00037389	-0.0041238	-0.00022494	-0.0036577	-0.0038402	-0.0065550	-0.0064636	-0.0082463	-0.0089854	0.0071468	0.0027070	0.0034911	-0.0035991	-0.0030804	-0.0043105	-0.0039566	-0.0017093	-0.0031987	-0.0012728	-0.0024475	-0.0023483								
0.40444	0.00096281	-0.0026834	-0.00025469	0.0032444	-0.00087544	-0.0013187	-0.00081341	-0.0013169	-0.0036693	-0.0034201	-0.0036665	-0.0029984	0.0047799	0.0030392	0.0062403	-0.0012304	-0.00085250	-0.0021596	-0.0038772	-0.0038440	-0.0018488	0.00031457	-0.00015297	0.00027322								
0.42972	0.0028756	-0.0028263	0.0012486	0.0010749	-0.0013132	-0.00053947	-0.0038320	0.00019563	-0.00012396	-0.0032634	-0.0032828	-0.0064560	0.0023784	0.011683	0.0089740	0.0015770	0.0040572	0.00052563	-9.7407e-05	-0.0046465	-0.0011845	-0.0029299	-0.0032522	0.0014005								
0.45500	0.0074244	0.0017026	0.0018141	0.0022970	-0.00038397	-0.0025839	-0.00051234	-0.0040911	-0.0053221	-0.0019603	-0.0022918	-0.0041037	0.013125	0.0077422	0.0095069	0.0032997	0.00053729	0.0010873	-0.0019000	0.00092169	-0.0059338	0.0041958	-0.00039269	0.0018549								
0.48028	0.0069743	0.0023547	0.00084177	0.0061149	-9.2152e-05	0.00027545	0.0014129	0.00082296	-0.0026430	-0.00023644	0.0027036	-0.0049114	0.011578	0.011086	0.0094760	0.0072955	0.0034077	0.0027861	0.00068873	0.00082240	-0.00060497	0.0042306	0.0022015	0.010270								
0.50556	0.011748	0.0012827	0.0032209	0.0047507	-0.00024574	0.0048004	-0.00018751	0.0038062	0.0015155	-0.0027603	-0.00015772	-0.0053861	0.012235	0.0089802	0.0094374	0.0019200	0.0061663	0.0032040	0.0028407	0.0046697	0.0039676	0.0065070	0.0049754	0.0068008								
